,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=0946,2019-07-10
1,Matches/MatchScorecard_T20.asp?MatchCode=0941,2019-05-10
2,Matches/MatchScorecard_T20.asp?MatchCode=0685,2018-12-06
3,Matches/MatchScorecard_T20.asp?MatchCode=0687,2018-06-13
4,Matches/MatchScorecard_T20.asp?MatchCode=0656,2018-01-28
5,Matches/MatchScorecard_T20.asp?MatchCode=0655,2018-01-25
6,Matches/MatchScorecard_T20.asp?MatchCode=0634,2017-12-09
7,Matches/MatchScorecard_ODI.asp?MatchCode=4019,2017-11-04
8,Matches/MatchScorecard_T20.asp?MatchCode=0642,2017-10-27
9,Matches/MatchScorecard_T20.asp?MatchCode=0640,2017-10-26
10,Matches/MatchScorecard_ODI.asp?MatchCode=4081,2017-10-16
11,Matches/MatchScorecard_ODI.asp?MatchCode=4079,2017-10-13
12,Matches/MatchScorecard_T20.asp?MatchCode=0636,2017-09-15
13,Matches/MatchScorecard_T20.asp?MatchCode=0635,2017-09-13
14,Matches/MatchScorecard_ODI.asp?MatchCode=4018,2017-09-04
15,Matches/MatchScorecard_ODI.asp?MatchCode=4017,2017-07-04
16,Matches/MatchScorecard_ODI.asp?MatchCode=4034,2017-04-06
17,Matches/MatchScorecard_T20.asp?MatchCode=0617,2017-03-30
18,Matches/MatchScorecard_T20.asp?MatchCode=0616,2017-03-26
19,Matches/MatchScorecard_T20.asp?MatchCode=0619,2017-02-04
20,Matches/MatchScorecard_T20.asp?MatchCode=0618,2017-01-04
21,Matches/MatchScorecard_T20.asp?MatchCode=0561,2016-03-25
22,Matches/MatchScorecard_T20.asp?MatchCode=0558,2016-03-22
23,Matches/MatchScorecard_T20.asp?MatchCode=0554,2016-03-19
24,Matches/MatchScorecard_T20.asp?MatchCode=0549,2016-03-16
25,Matches/MatchScorecard_ODI.asp?MatchCode=3883,2016-01-31
26,Matches/MatchScorecard_ODI.asp?MatchCode=3879,2016-01-25
27,Matches/MatchScorecard_T20.asp?MatchCode=0496,2016-01-22
28,Matches/MatchScorecard_T20.asp?MatchCode=0492,2016-01-17
29,Matches/MatchScorecard_T20.asp?MatchCode=0491,2016-01-15
30,Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
31,Matches/MatchScorecard_T20.asp?MatchCode=0482,2015-11-27
32,Matches/MatchScorecard_ODI.asp?MatchCode=3863,2015-11-20
33,Matches/MatchScorecard_ODI.asp?MatchCode=3814,2015-11-07
34,Matches/MatchScorecard_T20.asp?MatchCode=0467,2015-09-29
35,Matches/MatchScorecard_T20.asp?MatchCode=0466,2015-09-27
36,Matches/MatchScorecard_T20.asp?MatchCode=0460,2015-07-30
37,Matches/MatchScorecard_ODI.asp?MatchCode=3822,2015-07-26
38,Matches/MatchScorecard_ODI.asp?MatchCode=3821,2015-07-22
39,Matches/MatchScorecard_ODI.asp?MatchCode=3820,2015-07-19
40,Matches/MatchScorecard_ODI.asp?MatchCode=3819,2015-07-15
41,Matches/MatchScorecard_ODI.asp?MatchCode=3776,2015-07-03
42,Matches/MatchScorecard_T20.asp?MatchCode=0427,2015-05-24
43,Matches/MatchScorecard_T20.asp?MatchCode=0426,2015-05-22
44,Matches/MatchScorecard_ODI.asp?MatchCode=3838,2015-05-10
45,Matches/MatchScorecard_T20.asp?MatchCode=0425,2015-04-24
46,Matches/MatchScorecard_ODI.asp?MatchCode=3772,2015-04-03
47,Matches/MatchScorecard_ODI.asp?MatchCode=3792,2015-03-20
48,Matches/MatchScorecard_ODI.asp?MatchCode=3789,2015-03-15
49,Matches/MatchScorecard_ODI.asp?MatchCode=3747,2015-03-02
50,Matches/MatchScorecard_ODI.asp?MatchCode=3757,2015-02-21
