matchid,date
../Matches/MatchScorecard_ODI.asp?MatchCode=4317,2019-10-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4339,2019-06-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4334,2019-06-23
../Matches/MatchScorecard_ODI.asp?MatchCode=4328,2019-06-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4323,2019-06-15
../Matches/MatchScorecard_ODI.asp?MatchCode=4351,2019-06-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4303,2019-05-30
../Matches/MatchScorecard_T20.asp?MatchCode=0781,2019-03-24
../Matches/MatchScorecard_T20.asp?MatchCode=0776,2019-03-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4272,2019-03-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4271,2019-03-13
../Matches/MatchScorecard_ODI.asp?MatchCode=4307,2019-02-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4188,2018-12-08
../Matches/MatchScorecard_ODI.asp?MatchCode=4226,2018-11-11
../Matches/MatchScorecard_ODI.asp?MatchCode=4130,2018-10-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4206,2018-09-30
../Matches/MatchScorecard_ODI.asp?MatchCode=4224,2018-09-11
../Matches/MatchScorecard_ODI.asp?MatchCode=4182,2018-07-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4128,2018-07-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4208,2018-06-10
../Matches/MatchScorecard_ODI.asp?MatchCode=4222,2018-04-11
../Matches/MatchScorecard_ODI.asp?MatchCode=4127,2018-04-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4207,2018-03-10
../Matches/MatchScorecard_ODI.asp?MatchCode=4135,2018-02-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4133,2018-02-13
../Matches/MatchScorecard_ODI.asp?MatchCode=4183,2018-01-08
../Matches/MatchScorecard_ODI.asp?MatchCode=4126,2018-01-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4086,2017-10-22
