,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=3954,2016-10-26
1,Matches/MatchScorecard_ODI.asp?MatchCode=3952,2016-10-20
2,Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
3,Matches/MatchScorecard_ODI.asp?MatchCode=3717,2014-12-14
4,Matches/MatchScorecard_ODI.asp?MatchCode=3715,2014-12-12
5,Matches/MatchScorecard_ODI.asp?MatchCode=3713,2014-08-12
6,Matches/MatchScorecard_T20.asp?MatchCode=0421,2014-05-12
7,Matches/MatchScorecard_T20.asp?MatchCode=0420,2014-04-12
8,Matches/MatchScorecard_ODI.asp?MatchCode=3578,2013-12-11
9,Matches/MatchScorecard_T20.asp?MatchCode=0346,2013-11-21
10,Matches/MatchScorecard_ODI.asp?MatchCode=3579,2013-11-16
11,Matches/MatchScorecard_ODI.asp?MatchCode=3570,2013-10-31
12,Matches/MatchScorecard_ODI.asp?MatchCode=3567,2013-10-29
13,Matches/MatchScorecard_ODI.asp?MatchCode=3576,2013-10-11
14,Matches/MatchScorecard_T20.asp?MatchCode=0337,2013-06-11
15,Matches/MatchScorecard_ODI.asp?MatchCode=3573,2013-03-11
