matchid,date
../Matches/MatchScorecard_ODI.asp?MatchCode=4291,2019-11-05
../Matches/MatchScorecard_ODI.asp?MatchCode=4317,2019-10-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4286,2019-07-05
../Matches/MatchScorecard_ODI.asp?MatchCode=4333,2019-06-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4312,2019-06-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4304,2019-05-31
../Matches/MatchScorecard_ODI.asp?MatchCode=4296,2019-05-17
../Matches/MatchScorecard_ODI.asp?MatchCode=4293,2019-05-13
../Matches/MatchScorecard_ODI.asp?MatchCode=4285,2019-05-05
../Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-05-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4256,2019-02-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4255,2019-02-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4254,2019-02-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4253,2019-02-20
../Matches/MatchScorecard_ODI.asp?MatchCode=4260,2019-01-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4220,2018-10-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4219,2018-10-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4216,2018-10-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4213,2018-10-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4150,2018-10-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4148,2018-08-03
../Matches/MatchScorecard_T20.asp?MatchCode=0707,2018-07-31
../Matches/MatchScorecard_ODI.asp?MatchCode=4181,2018-07-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4180,2018-07-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4179,2018-07-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4144,2018-06-03
../Matches/MatchScorecard_T20.asp?MatchCode=0682,2018-05-31
../Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-05-08
../Matches/MatchScorecard_T20.asp?MatchCode=0709,2018-04-08
../Matches/MatchScorecard_ODI.asp?MatchCode=4164,2018-03-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4161,2018-03-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4159,2018-03-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4154,2018-03-15
../Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-03-01
../Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
../Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
../Matches/MatchScorecard_ODI.asp?MatchCode=4101,2017-12-23
../Matches/MatchScorecard_ODI.asp?MatchCode=4100,2017-12-20
../Matches/MatchScorecard_ODI.asp?MatchCode=4043,2017-11-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4019,2017-11-04
../Matches/MatchScorecard_ODI.asp?MatchCode=4075,2017-09-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4073,2017-09-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4072,2017-09-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4070,2017-09-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4068,2017-09-19
../Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4040,2017-09-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4018,2017-09-04
../Matches/MatchScorecard_ODI.asp?MatchCode=4005,2017-09-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4017,2017-07-04
../Matches/MatchScorecard_ODI.asp?MatchCode=4053,2017-06-30
../Matches/MatchScorecard_ODI.asp?MatchCode=4052,2017-06-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4051,2017-06-23
../Matches/MatchScorecard_ODI.asp?MatchCode=4046,2017-06-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4057,2017-06-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4004,2017-05-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4001,2017-03-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4056,2017-02-07
../Matches/MatchScorecard_ODI.asp?MatchCode=3964,2016-11-25
../Matches/MatchScorecard_ODI.asp?MatchCode=3963,2016-11-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3961,2016-11-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3960,2016-11-16
../Matches/MatchScorecard_T20.asp?MatchCode=0422,2015-09-01
../Matches/MatchScorecard_T20.asp?MatchCode=0424,2015-01-14
../Matches/MatchScorecard_T20.asp?MatchCode=0201,2011-04-21
../Matches/MatchScorecard_T20.asp?MatchCode=0202,2011-04-06
