,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4319,2019-12-06
1,Matches/MatchScorecard_ODI.asp?MatchCode=4292,2019-11-05
2,Matches/MatchScorecard_T20.asp?MatchCode=0947,2019-09-10
3,Matches/MatchScorecard_ODI.asp?MatchCode=4287,2019-08-05
4,Matches/MatchScorecard_T20.asp?MatchCode=0946,2019-07-10
5,Matches/MatchScorecard_T20.asp?MatchCode=0743,2019-06-02
6,Matches/MatchScorecard_ODI.asp?MatchCode=4300,2019-05-19
7,Matches/MatchScorecard_ODI.asp?MatchCode=4297,2019-05-17
8,Matches/MatchScorecard_ODI.asp?MatchCode=4294,2019-05-14
9,Matches/MatchScorecard_T20.asp?MatchCode=1044,2019-05-11
10,Matches/MatchScorecard_T20.asp?MatchCode=0941,2019-05-10
11,Matches/MatchScorecard_T20.asp?MatchCode=0791,2019-05-05
12,Matches/MatchScorecard_T20.asp?MatchCode=1041,2019-03-11
13,Matches/MatchScorecard_ODI.asp?MatchCode=4308,2019-03-06
14,Matches/MatchScorecard_T20.asp?MatchCode=0741,2019-03-02
15,Matches/MatchScorecard_T20.asp?MatchCode=0740,2019-01-02
16,Matches/MatchScorecard_T20.asp?MatchCode=0685,2018-12-06
17,Matches/MatchScorecard_ODI.asp?MatchCode=4227,2018-11-11
18,Matches/MatchScorecard_T20.asp?MatchCode=0723,2018-10-31
19,Matches/MatchScorecard_T20.asp?MatchCode=0722,2018-10-28
20,Matches/MatchScorecard_T20.asp?MatchCode=0720,2018-10-26
21,Matches/MatchScorecard_T20.asp?MatchCode=0719,2018-10-24
22,Matches/MatchScorecard_ODI.asp?MatchCode=4204,2018-09-26
23,Matches/MatchScorecard_ODI.asp?MatchCode=4201,2018-09-23
24,Matches/MatchScorecard_ODI.asp?MatchCode=4200,2018-09-21
25,Matches/MatchScorecard_ODI.asp?MatchCode=4197,2018-09-19
26,Matches/MatchScorecard_ODI.asp?MatchCode=4194,2018-09-16
27,Matches/MatchScorecard_T20.asp?MatchCode=0705,2018-08-07
28,Matches/MatchScorecard_ODI.asp?MatchCode=4178,2018-07-22
29,Matches/MatchScorecard_ODI.asp?MatchCode=4177,2018-07-20
30,Matches/MatchScorecard_ODI.asp?MatchCode=4176,2018-07-18
31,Matches/MatchScorecard_ODI.asp?MatchCode=4174,2018-07-16
32,Matches/MatchScorecard_ODI.asp?MatchCode=4172,2018-07-13
33,Matches/MatchScorecard_T20.asp?MatchCode=0687,2018-06-13
34,Matches/MatchScorecard_T20.asp?MatchCode=0702,2018-05-07
35,Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-04-11
36,Matches/MatchScorecard_T20.asp?MatchCode=0700,2018-04-07
37,Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-03-04
38,Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-02-11
39,Matches/MatchScorecard_T20.asp?MatchCode=0697,2018-02-07
40,Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-02-04
41,Matches/MatchScorecard_T20.asp?MatchCode=0696,2018-01-07
42,Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-01-04
