matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=1082,2020-12-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4408,2020-09-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4405,2020-07-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4401,2020-04-02
../Matches/MatchScorecard_T20.asp?MatchCode=1084,2020-02-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4317,2019-10-06
../Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4323,2019-06-15
../Matches/MatchScorecard_T20.asp?MatchCode=0743,2019-06-02
../Matches/MatchScorecard_T20.asp?MatchCode=0741,2019-03-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4244,2019-01-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4241,2019-01-25
../Matches/MatchScorecard_T20.asp?MatchCode=0740,2019-01-02
../Matches/MatchScorecard_T20.asp?MatchCode=0644,2017-10-29
../Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
../Matches/MatchScorecard_T20.asp?MatchCode=0369,2014-12-03
../Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04
../Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
../Matches/MatchScorecard_T20.asp?MatchCode=0392,2014-03-27
../Matches/MatchScorecard_T20.asp?MatchCode=0371,2014-03-14
