matchid,date
../Matches/MatchScorecard_ODI.asp?MatchCode=4397,2020-12-01
../Matches/MatchScorecard_ODI.asp?MatchCode=4394,2020-09-01
../Matches/MatchScorecard_ODI.asp?MatchCode=4391,2020-07-01
../Matches/MatchScorecard_T20.asp?MatchCode=1122,2020-06-03
../Matches/MatchScorecard_T20.asp?MatchCode=1119,2020-04-03
../Matches/MatchScorecard_T20.asp?MatchCode=1060,2019-11-17
../Matches/MatchScorecard_T20.asp?MatchCode=1059,2019-11-16
../Matches/MatchScorecard_T20.asp?MatchCode=1057,2019-11-14
../Matches/MatchScorecard_T20.asp?MatchCode=1067,2019-11-12
../Matches/MatchScorecard_ODI.asp?MatchCode=4379,2019-11-11
../Matches/MatchScorecard_T20.asp?MatchCode=1065,2019-08-12
../Matches/MatchScorecard_T20.asp?MatchCode=1063,2019-06-12
