matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1082,2020-12-02
Matches/MatchScorecard_ODI.asp?MatchCode=4408,2020-09-02
Matches/MatchScorecard_ODI.asp?MatchCode=4405,2020-07-02
Matches/MatchScorecard_ODI.asp?MatchCode=4401,2020-04-02
Matches/MatchScorecard_T20.asp?MatchCode=1087,2020-02-16
Matches/MatchScorecard_T20.asp?MatchCode=1084,2020-02-14
Matches/MatchScorecard_T20.asp?MatchCode=1054,2019-10-11
Matches/MatchScorecard_T20.asp?MatchCode=0770,2019-10-03
Matches/MatchScorecard_T20.asp?MatchCode=1051,2019-08-11
Matches/MatchScorecard_T20.asp?MatchCode=0769,2019-08-03
Matches/MatchScorecard_T20.asp?MatchCode=0791,2019-05-05
Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-05-03
Matches/MatchScorecard_T20.asp?MatchCode=1040,2019-03-11
Matches/MatchScorecard_T20.asp?MatchCode=1035,2019-01-11
Matches/MatchScorecard_T20.asp?MatchCode=0721,2018-10-27
Matches/MatchScorecard_T20.asp?MatchCode=0661,2018-10-02
Matches/MatchScorecard_T20.asp?MatchCode=0706,2018-08-07
Matches/MatchScorecard_T20.asp?MatchCode=0660,2018-07-02
Matches/MatchScorecard_T20.asp?MatchCode=0694,2018-06-27
Matches/MatchScorecard_T20.asp?MatchCode=0704,2018-06-07
Matches/MatchScorecard_T20.asp?MatchCode=0699,2018-03-07
Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
Matches/MatchScorecard_T20.asp?MatchCode=0630,2017-06-25
Matches/MatchScorecard_T20.asp?MatchCode=0629,2017-06-23
Matches/MatchScorecard_T20.asp?MatchCode=0628,2017-06-21
Matches/MatchScorecard_T20.asp?MatchCode=0607,2017-01-29
Matches/MatchScorecard_T20.asp?MatchCode=0606,2017-01-26
Matches/MatchScorecard_T20.asp?MatchCode=0608,2017-01-02
Matches/MatchScorecard_ODI.asp?MatchCode=3889,2016-09-02
Matches/MatchScorecard_T20.asp?MatchCode=0580,2016-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=3908,2016-06-26
Matches/MatchScorecard_ODI.asp?MatchCode=3887,2016-06-02
Matches/MatchScorecard_T20.asp?MatchCode=0574,2016-05-07
Matches/MatchScorecard_ODI.asp?MatchCode=3932,2016-04-09
Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0564,2016-03-26
Matches/MatchScorecard_T20.asp?MatchCode=0559,2016-03-23
Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0550,2016-03-16
Matches/MatchScorecard_T20.asp?MatchCode=0570,2016-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3885,2016-03-02
Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
Matches/MatchScorecard_ODI.asp?MatchCode=3911,2016-02-07
Matches/MatchScorecard_ODI.asp?MatchCode=3930,2016-01-09
Matches/MatchScorecard_ODI.asp?MatchCode=3805,2015-12-06
Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
Matches/MatchScorecard_T20.asp?MatchCode=0481,2015-11-26
Matches/MatchScorecard_ODI.asp?MatchCode=3804,2015-09-06
Matches/MatchScorecard_ODI.asp?MatchCode=3780,2015-09-03
Matches/MatchScorecard_ODI.asp?MatchCode=3785,2015-03-13
Matches/MatchScorecard_ODI.asp?MatchCode=3727,2015-01-16
Matches/MatchScorecard_ODI.asp?MatchCode=3718,2014-12-16
Matches/MatchScorecard_ODI.asp?MatchCode=3716,2014-12-13
Matches/MatchScorecard_ODI.asp?MatchCode=3599,2014-12-01
Matches/MatchScorecard_ODI.asp?MatchCode=3714,2014-10-12
Matches/MatchScorecard_ODI.asp?MatchCode=3637,2014-09-05
Matches/MatchScorecard_ODI.asp?MatchCode=3664,2014-08-27
Matches/MatchScorecard_ODI.asp?MatchCode=3712,2014-07-12
Matches/MatchScorecard_ODI.asp?MatchCode=3641,2014-05-31
Matches/MatchScorecard_ODI.asp?MatchCode=3640,2014-05-28
Matches/MatchScorecard_ODI.asp?MatchCode=3639,2014-05-25
Matches/MatchScorecard_ODI.asp?MatchCode=3638,2014-05-22
Matches/MatchScorecard_T20.asp?MatchCode=0407,2014-05-20
Matches/MatchScorecard_T20.asp?MatchCode=0400,2014-03-31
Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0393,2014-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0370,2014-03-13
Matches/MatchScorecard_ODI.asp?MatchCode=3710,2014-03-12
Matches/MatchScorecard_ODI.asp?MatchCode=3642,2014-03-06
Matches/MatchScorecard_ODI.asp?MatchCode=3622,2014-02-28
Matches/MatchScorecard_T20.asp?MatchCode=0361,2014-02-02
Matches/MatchScorecard_ODI.asp?MatchCode=3608,2014-01-26
Matches/MatchScorecard_ODI.asp?MatchCode=3606,2014-01-24
Matches/MatchScorecard_ODI.asp?MatchCode=3602,2014-01-19
Matches/MatchScorecard_ODI.asp?MatchCode=3600,2014-01-17
Matches/MatchScorecard_ODI.asp?MatchCode=3559,2013-09-16
