,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4410,2020-11-02
1,Matches/MatchScorecard_ODI.asp?MatchCode=4406,2020-08-02
2,Matches/MatchScorecard_ODI.asp?MatchCode=4402,2020-05-02
3,Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
4,Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
5,Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
6,Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
7,Matches/MatchScorecard_T20.asp?MatchCode=1054,2019-10-11
8,Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-10-02
9,Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
10,Matches/MatchScorecard_T20.asp?MatchCode=1051,2019-08-11
11,Matches/MatchScorecard_ODI.asp?MatchCode=4315,2019-08-06
12,Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-08-02
13,Matches/MatchScorecard_ODI.asp?MatchCode=4355,2019-07-14
14,Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
15,Matches/MatchScorecard_ODI.asp?MatchCode=4337,2019-06-26
16,Matches/MatchScorecard_ODI.asp?MatchCode=4333,2019-06-22
17,Matches/MatchScorecard_ODI.asp?MatchCode=4328,2019-06-19
18,Matches/MatchScorecard_T20.asp?MatchCode=0911,2019-06-09
19,Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-06-02
20,Matches/MatchScorecard_T20.asp?MatchCode=1043,2019-05-11
21,Matches/MatchScorecard_ODI.asp?MatchCode=4311,2019-05-06
22,Matches/MatchScorecard_T20.asp?MatchCode=1040,2019-03-11
23,Matches/MatchScorecard_T20.asp?MatchCode=0902,2019-03-09
24,Matches/MatchScorecard_ODI.asp?MatchCode=4346,2019-03-07
25,Matches/MatchScorecard_ODI.asp?MatchCode=4249,2019-03-02
26,Matches/MatchScorecard_ODI.asp?MatchCode=4252,2019-02-20
27,Matches/MatchScorecard_ODI.asp?MatchCode=4251,2019-02-16
28,Matches/MatchScorecard_ODI.asp?MatchCode=4250,2019-02-13
29,Matches/MatchScorecard_ODI.asp?MatchCode=4248,2019-01-31
30,Matches/MatchScorecard_ODI.asp?MatchCode=4242,2019-01-26
31,Matches/MatchScorecard_T20.asp?MatchCode=1035,2019-01-11
32,Matches/MatchScorecard_T20.asp?MatchCode=0901,2019-01-09
33,Matches/MatchScorecard_ODI.asp?MatchCode=4305,2019-01-06
34,Matches/MatchScorecard_ODI.asp?MatchCode=4227,2018-11-11
35,Matches/MatchScorecard_T20.asp?MatchCode=0723,2018-10-31
36,Matches/MatchScorecard_ODI.asp?MatchCode=4149,2018-10-03
37,Matches/MatchScorecard_ODI.asp?MatchCode=4225,2018-09-11
38,Matches/MatchScorecard_ODI.asp?MatchCode=4223,2018-07-11
39,Matches/MatchScorecard_ODI.asp?MatchCode=4146,2018-06-03
40,Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-04-11
41,Matches/MatchScorecard_ODI.asp?MatchCode=4139,2018-03-03
42,Matches/MatchScorecard_T20.asp?MatchCode=0657,2018-03-02
43,Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
44,Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
45,Matches/MatchScorecard_T20.asp?MatchCode=0668,2018-02-21
46,Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
47,Matches/MatchScorecard_T20.asp?MatchCode=0664,2018-02-16
48,Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
49,Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-02-11
50,Matches/MatchScorecard_T20.asp?MatchCode=0656,2018-01-28
51,Matches/MatchScorecard_T20.asp?MatchCode=0655,2018-01-25
52,Matches/MatchScorecard_T20.asp?MatchCode=0654,2018-01-22
53,Matches/MatchScorecard_ODI.asp?MatchCode=4114,2018-01-18
54,Matches/MatchScorecard_ODI.asp?MatchCode=4110,2018-01-16
55,Matches/MatchScorecard_ODI.asp?MatchCode=4089,2017-10-29
56,Matches/MatchScorecard_ODI.asp?MatchCode=4088,2017-10-25
57,Matches/MatchScorecard_ODI.asp?MatchCode=4085,2017-10-22
58,Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-08-01
59,Matches/MatchScorecard_T20.asp?MatchCode=0647,2017-07-11
60,Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-06-01
61,Matches/MatchScorecard_T20.asp?MatchCode=0646,2017-04-11
62,Matches/MatchScorecard_ODI.asp?MatchCode=4002,2017-04-03
63,Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-03-01
64,Matches/MatchScorecard_ODI.asp?MatchCode=3997,2017-02-25
65,Matches/MatchScorecard_ODI.asp?MatchCode=3995,2017-02-22
66,Matches/MatchScorecard_ODI.asp?MatchCode=3992,2017-02-19
67,Matches/MatchScorecard_T20.asp?MatchCode=0609,2017-02-17
68,Matches/MatchScorecard_T20.asp?MatchCode=0645,2017-01-11
69,Matches/MatchScorecard_ODI.asp?MatchCode=3999,2017-01-03
70,Matches/MatchScorecard_ODI.asp?MatchCode=3968,2016-09-12
71,Matches/MatchScorecard_ODI.asp?MatchCode=3967,2016-06-12
72,Matches/MatchScorecard_ODI.asp?MatchCode=3966,2016-04-12
73,Matches/MatchScorecard_T20.asp?MatchCode=0221,2012-11-02
74,Matches/MatchScorecard_ODI.asp?MatchCode=3390,2012-03-03
75,Matches/MatchScorecard_T20.asp?MatchCode=0224,2012-02-19
76,Matches/MatchScorecard_T20.asp?MatchCode=0223,2012-02-17
77,Matches/MatchScorecard_T20.asp?MatchCode=0222,2012-02-14
