,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=3988,2017-05-02
1,Matches/MatchScorecard_ODI.asp?MatchCode=4002,2017-04-03
2,Matches/MatchScorecard_ODI.asp?MatchCode=3997,2017-02-25
3,Matches/MatchScorecard_ODI.asp?MatchCode=3995,2017-02-22
4,Matches/MatchScorecard_ODI.asp?MatchCode=3992,2017-02-19
5,Matches/MatchScorecard_ODI.asp?MatchCode=3999,2017-01-03
6,Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
7,Matches/MatchScorecard_ODI.asp?MatchCode=3719,2014-12-17
8,Matches/MatchScorecard_ODI.asp?MatchCode=3715,2014-12-12
9,Matches/MatchScorecard_ODI.asp?MatchCode=3687,2014-10-27
10,Matches/MatchScorecard_ODI.asp?MatchCode=3686,2014-10-24
11,Matches/MatchScorecard_ODI.asp?MatchCode=3685,2014-10-21
12,Matches/MatchScorecard_ODI.asp?MatchCode=3713,2014-08-12
13,Matches/MatchScorecard_T20.asp?MatchCode=0421,2014-05-12
14,Matches/MatchScorecard_T20.asp?MatchCode=0249,2012-06-30
15,Matches/MatchScorecard_ODI.asp?MatchCode=3368,2012-06-02
16,Matches/MatchScorecard_ODI.asp?MatchCode=3422,2012-05-07
17,Matches/MatchScorecard_ODI.asp?MatchCode=3366,2012-03-02
18,Matches/MatchScorecard_T20.asp?MatchCode=0250,2012-01-07
19,Matches/MatchScorecard_T20.asp?MatchCode=0197,2010-12-30
20,Matches/MatchScorecard_T20.asp?MatchCode=0195,2010-12-26
