matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=3895,2016-11-06
Matches/MatchScorecard_ODI.asp?MatchCode=3954,2016-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0573,2016-06-22
Matches/MatchScorecard_T20.asp?MatchCode=0572,2016-06-20
Matches/MatchScorecard_ODI.asp?MatchCode=3899,2016-06-15
Matches/MatchScorecard_ODI.asp?MatchCode=3897,2016-06-13
Matches/MatchScorecard_ODI.asp?MatchCode=3815,2015-12-07
Matches/MatchScorecard_ODI.asp?MatchCode=3812,2015-10-07
Matches/MatchScorecard_ODI.asp?MatchCode=3811,2015-06-24
Matches/MatchScorecard_ODI.asp?MatchCode=3810,2015-06-21
Matches/MatchScorecard_ODI.asp?MatchCode=3696,2014-11-16
Matches/MatchScorecard_ODI.asp?MatchCode=3693,2014-11-13
Matches/MatchScorecard_ODI.asp?MatchCode=3692,2014-09-11
Matches/MatchScorecard_ODI.asp?MatchCode=3670,2014-02-09
