,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4234,2019-12-01
1,Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-10-02
2,Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
3,Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-08-02
4,Matches/MatchScorecard_ODI.asp?MatchCode=4350,2019-06-07
5,Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-06-02
6,Matches/MatchScorecard_T20.asp?MatchCode=0767,2019-02-27
7,Matches/MatchScorecard_T20.asp?MatchCode=0766,2019-02-24
8,Matches/MatchScorecard_ODI.asp?MatchCode=4345,2019-02-07
9,Matches/MatchScorecard_ODI.asp?MatchCode=4248,2019-01-31
10,Matches/MatchScorecard_ODI.asp?MatchCode=4245,2019-01-28
11,Matches/MatchScorecard_ODI.asp?MatchCode=4236,2019-01-18
12,Matches/MatchScorecard_ODI.asp?MatchCode=4235,2019-01-15
13,Matches/MatchScorecard_T20.asp?MatchCode=0674,2018-12-03
14,Matches/MatchScorecard_T20.asp?MatchCode=0732,2018-11-25
15,Matches/MatchScorecard_T20.asp?MatchCode=0731,2018-11-23
16,Matches/MatchScorecard_T20.asp?MatchCode=0730,2018-11-21
17,Matches/MatchScorecard_T20.asp?MatchCode=0728,2018-11-11
18,Matches/MatchScorecard_ODI.asp?MatchCode=4205,2018-09-28
19,Matches/MatchScorecard_ODI.asp?MatchCode=4203,2018-09-25
20,Matches/MatchScorecard_ODI.asp?MatchCode=4201,2018-09-23
21,Matches/MatchScorecard_ODI.asp?MatchCode=4199,2018-09-21
22,Matches/MatchScorecard_ODI.asp?MatchCode=4197,2018-09-19
23,Matches/MatchScorecard_ODI.asp?MatchCode=4196,2018-09-18
24,Matches/MatchScorecard_T20.asp?MatchCode=0672,2018-08-03
25,Matches/MatchScorecard_ODI.asp?MatchCode=4175,2018-07-17
26,Matches/MatchScorecard_T20.asp?MatchCode=0695,2018-06-29
27,Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-06-11
28,Matches/MatchScorecard_T20.asp?MatchCode=0671,2018-06-03
29,Matches/MatchScorecard_T20.asp?MatchCode=0682,2018-05-31
30,Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-04-11
31,Matches/MatchScorecard_T20.asp?MatchCode=0677,2018-03-18
32,Matches/MatchScorecard_T20.asp?MatchCode=0675,2018-03-14
33,Matches/MatchScorecard_T20.asp?MatchCode=0670,2018-02-24
34,Matches/MatchScorecard_T20.asp?MatchCode=0650,2017-12-24
35,Matches/MatchScorecard_T20.asp?MatchCode=0649,2017-12-22
36,Matches/MatchScorecard_T20.asp?MatchCode=0648,2017-12-20
37,Matches/MatchScorecard_ODI.asp?MatchCode=4099,2017-12-17
38,Matches/MatchScorecard_ODI.asp?MatchCode=4098,2017-12-13
39,Matches/MatchScorecard_ODI.asp?MatchCode=4089,2017-10-29
40,Matches/MatchScorecard_ODI.asp?MatchCode=4088,2017-10-25
41,Matches/MatchScorecard_ODI.asp?MatchCode=4085,2017-10-22
42,Matches/MatchScorecard_ODI.asp?MatchCode=4096,2017-10-12
43,Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-09-07
44,Matches/MatchScorecard_ODI.asp?MatchCode=4057,2017-06-07
45,Matches/MatchScorecard_ODI.asp?MatchCode=4056,2017-02-07
46,Matches/MatchScorecard_ODI.asp?MatchCode=3628,2014-05-03
47,Matches/MatchScorecard_ODI.asp?MatchCode=3621,2014-02-28
48,Matches/MatchScorecard_ODI.asp?MatchCode=3619,2014-02-26
49,Matches/MatchScorecard_ODI.asp?MatchCode=3624,2014-01-03
50,Matches/MatchScorecard_ODI.asp?MatchCode=3530,2013-11-07
51,Matches/MatchScorecard_ODI.asp?MatchCode=3510,2013-11-06
52,Matches/MatchScorecard_ODI.asp?MatchCode=3529,2013-09-07
53,Matches/MatchScorecard_ODI.asp?MatchCode=3541,2013-07-28
54,Matches/MatchScorecard_ODI.asp?MatchCode=3539,2013-07-26
55,Matches/MatchScorecard_ODI.asp?MatchCode=3537,2013-07-24
56,Matches/MatchScorecard_ODI.asp?MatchCode=3521,2013-06-30
57,Matches/MatchScorecard_ODI.asp?MatchCode=3519,2013-06-23
58,Matches/MatchScorecard_ODI.asp?MatchCode=3518,2013-06-20
59,Matches/MatchScorecard_ODI.asp?MatchCode=3514,2013-06-15
60,Matches/MatchScorecard_ODI.asp?MatchCode=3505,2013-06-06
61,Matches/MatchScorecard_ODI.asp?MatchCode=3525,2013-05-07
62,Matches/MatchScorecard_ODI.asp?MatchCode=3545,2013-03-08
63,Matches/MatchScorecard_ODI.asp?MatchCode=3524,2013-02-07
64,Matches/MatchScorecard_ODI.asp?MatchCode=3544,2013-01-08
65,Matches/MatchScorecard_T20.asp?MatchCode=0174,2010-11-05
66,Matches/MatchScorecard_ODI.asp?MatchCode=3072,2010-11-01
67,Matches/MatchScorecard_ODI.asp?MatchCode=3161,2010-10-08
68,Matches/MatchScorecard_ODI.asp?MatchCode=3071,2010-10-01
69,Matches/MatchScorecard_ODI.asp?MatchCode=3171,2010-08-28
70,Matches/MatchScorecard_ODI.asp?MatchCode=3170,2010-08-25
71,Matches/MatchScorecard_ODI.asp?MatchCode=3169,2010-08-21
72,Matches/MatchScorecard_ODI.asp?MatchCode=3163,2010-08-16
73,Matches/MatchScorecard_ODI.asp?MatchCode=3130,2010-06-24
74,Matches/MatchScorecard_ODI.asp?MatchCode=3132,2010-06-22
75,Matches/MatchScorecard_ODI.asp?MatchCode=3113,2010-05-30
76,Matches/MatchScorecard_ODI.asp?MatchCode=3111,2010-05-28
77,Matches/MatchScorecard_ODI.asp?MatchCode=3118,2010-05-06
78,Matches/MatchScorecard_ODI.asp?MatchCode=3116,2010-03-06
79,Matches/MatchScorecard_ODI.asp?MatchCode=3093,2010-02-27
80,Matches/MatchScorecard_ODI.asp?MatchCode=3092,2010-02-24
81,Matches/MatchScorecard_ODI.asp?MatchCode=3091,2010-02-21
82,Matches/MatchScorecard_T20.asp?MatchCode=0156,2010-02-05
83,Matches/MatchScorecard_ODI.asp?MatchCode=3066,2009-12-27
84,Matches/MatchScorecard_ODI.asp?MatchCode=3065,2009-12-24
85,Matches/MatchScorecard_ODI.asp?MatchCode=3064,2009-12-21
86,Matches/MatchScorecard_T20.asp?MatchCode=0129,2009-12-12
87,Matches/MatchScorecard_ODI.asp?MatchCode=3014,2009-12-09
88,Matches/MatchScorecard_ODI.asp?MatchCode=3013,2009-11-09
89,Matches/MatchScorecard_ODI.asp?MatchCode=3031,2009-09-30
90,Matches/MatchScorecard_ODI.asp?MatchCode=2976,2009-06-28
91,Matches/MatchScorecard_ODI.asp?MatchCode=2975,2009-06-26
92,Matches/MatchScorecard_ODI.asp?MatchCode=2978,2009-05-07
93,Matches/MatchScorecard_ODI.asp?MatchCode=2977,2009-03-07
94,Matches/MatchScorecard_T20.asp?MatchCode=0052,2008-01-02
95,Matches/MatchScorecard_ODI.asp?MatchCode=2690,2007-12-05
96,Matches/MatchScorecard_ODI.asp?MatchCode=2627,2007-11-02
97,Matches/MatchScorecard_ODI.asp?MatchCode=2743,2007-10-17
98,Matches/MatchScorecard_ODI.asp?MatchCode=2689,2007-10-05
99,Matches/MatchScorecard_T20.asp?MatchCode=0043,2007-09-20
100,Matches/MatchScorecard_T20.asp?MatchCode=0032,2007-09-16
101,Matches/MatchScorecard_T20.asp?MatchCode=0029,2007-09-14
102,Matches/MatchScorecard_T20.asp?MatchCode=0026,2007-09-13
103,Matches/MatchScorecard_ODI.asp?MatchCode=2728,2007-08-30
104,Matches/MatchScorecard_ODI.asp?MatchCode=2727,2007-08-27
105,Matches/MatchScorecard_ODI.asp?MatchCode=2724,2007-08-24
106,Matches/MatchScorecard_ODI.asp?MatchCode=2722,2007-08-21
107,Matches/MatchScorecard_ODI.asp?MatchCode=2719,2007-08-16
108,Matches/MatchScorecard_ODI.asp?MatchCode=2621,2007-08-02
109,Matches/MatchScorecard_ODI.asp?MatchCode=2701,2007-06-29
110,Matches/MatchScorecard_ODI.asp?MatchCode=2700,2007-06-26
111,Matches/MatchScorecard_ODI.asp?MatchCode=2698,2007-06-23
112,Matches/MatchScorecard_ODI.asp?MatchCode=2632,2007-02-17
113,Matches/MatchScorecard_ODI.asp?MatchCode=2629,2007-02-14
114,Matches/MatchScorecard_ODI.asp?MatchCode=2729,2007-02-09
115,Matches/MatchScorecard_ODI.asp?MatchCode=2594,2007-01-27
116,Matches/MatchScorecard_ODI.asp?MatchCode=2592,2007-01-24
117,Matches/MatchScorecard_ODI.asp?MatchCode=2587,2007-01-21
118,Matches/MatchScorecard_ODI.asp?MatchCode=2703,2007-01-07
119,Matches/MatchScorecard_ODI.asp?MatchCode=2557,2006-11-29
120,Matches/MatchScorecard_ODI.asp?MatchCode=2553,2006-11-26
121,Matches/MatchScorecard_ODI.asp?MatchCode=2463,2006-04-15
122,Matches/MatchScorecard_ODI.asp?MatchCode=2563,2006-03-12
123,Matches/MatchScorecard_T20.asp?MatchCode=0010,2006-01-12
124,Matches/MatchScorecard_ODI.asp?MatchCode=2266,2004-11-09
125,Matches/MatchScorecard_ODI.asp?MatchCode=2263,2004-05-09
