,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=0736,2019-11-01
1,Matches/MatchScorecard_ODI.asp?MatchCode=4245,2019-01-28
2,Matches/MatchScorecard_ODI.asp?MatchCode=4242,2019-01-26
3,Matches/MatchScorecard_ODI.asp?MatchCode=4239,2019-01-23
4,Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-03-01
5,Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
6,Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
7,Matches/MatchScorecard_ODI.asp?MatchCode=4101,2017-12-23
8,Matches/MatchScorecard_ODI.asp?MatchCode=4100,2017-12-20
9,Matches/MatchScorecard_ODI.asp?MatchCode=3951,2016-10-16
10,Matches/MatchScorecard_ODI.asp?MatchCode=3888,2016-08-02
11,Matches/MatchScorecard_ODI.asp?MatchCode=3868,2015-12-31
12,Matches/MatchScorecard_ODI.asp?MatchCode=3866,2015-12-28
13,Matches/MatchScorecard_ODI.asp?MatchCode=3865,2015-12-26
14,Matches/MatchScorecard_ODI.asp?MatchCode=3828,2015-08-26
15,Matches/MatchScorecard_ODI.asp?MatchCode=3827,2015-08-23
16,Matches/MatchScorecard_T20.asp?MatchCode=0463,2015-08-14
17,Matches/MatchScorecard_ODI.asp?MatchCode=3503,2013-02-06
18,Matches/MatchScorecard_T20.asp?MatchCode=0300,2012-12-26
19,Matches/MatchScorecard_T20.asp?MatchCode=0298,2012-12-23
20,Matches/MatchScorecard_T20.asp?MatchCode=0296,2012-12-21
21,Matches/MatchScorecard_T20.asp?MatchCode=0221,2012-11-02
22,Matches/MatchScorecard_T20.asp?MatchCode=0282,2012-09-29
23,Matches/MatchScorecard_ODI.asp?MatchCode=3370,2012-09-02
24,Matches/MatchScorecard_ODI.asp?MatchCode=3429,2012-07-14
25,Matches/MatchScorecard_T20.asp?MatchCode=0249,2012-06-30
26,Matches/MatchScorecard_ODI.asp?MatchCode=3366,2012-03-02
27,Matches/MatchScorecard_ODI.asp?MatchCode=3385,2012-02-25
28,Matches/MatchScorecard_T20.asp?MatchCode=0225,2012-02-22
29,Matches/MatchScorecard_T20.asp?MatchCode=0224,2012-02-19
30,Matches/MatchScorecard_T20.asp?MatchCode=0223,2012-02-17
31,Matches/MatchScorecard_T20.asp?MatchCode=0286,2012-01-10
32,Matches/MatchScorecard_T20.asp?MatchCode=0250,2012-01-07
33,Matches/MatchScorecard_ODI.asp?MatchCode=3342,2011-10-22
34,Matches/MatchScorecard_ODI.asp?MatchCode=3340,2011-10-20
35,Matches/MatchScorecard_T20.asp?MatchCode=0215,2011-10-17
36,Matches/MatchScorecard_T20.asp?MatchCode=0213,2011-10-15
