,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=1082,2020-12-02
1,Matches/MatchScorecard_ODI.asp?MatchCode=4408,2020-09-02
2,Matches/MatchScorecard_ODI.asp?MatchCode=4405,2020-07-02
3,Matches/MatchScorecard_ODI.asp?MatchCode=4401,2020-04-02
4,Matches/MatchScorecard_T20.asp?MatchCode=1087,2020-02-16
5,Matches/MatchScorecard_T20.asp?MatchCode=1084,2020-02-14
6,Matches/MatchScorecard_ODI.asp?MatchCode=4354,2019-11-07
7,Matches/MatchScorecard_ODI.asp?MatchCode=4292,2019-11-05
8,Matches/MatchScorecard_T20.asp?MatchCode=1054,2019-10-11
9,Matches/MatchScorecard_T20.asp?MatchCode=0770,2019-10-03
10,Matches/MatchScorecard_T20.asp?MatchCode=1051,2019-08-11
11,Matches/MatchScorecard_ODI.asp?MatchCode=4314,2019-08-06
12,Matches/MatchScorecard_ODI.asp?MatchCode=4287,2019-08-05
13,Matches/MatchScorecard_T20.asp?MatchCode=0769,2019-08-03
14,Matches/MatchScorecard_ODI.asp?MatchCode=4355,2019-07-14
15,Matches/MatchScorecard_ODI.asp?MatchCode=4342,2019-06-30
16,Matches/MatchScorecard_ODI.asp?MatchCode=4336,2019-06-25
17,Matches/MatchScorecard_ODI.asp?MatchCode=4331,2019-06-21
18,Matches/MatchScorecard_ODI.asp?MatchCode=4326,2019-06-18
19,Matches/MatchScorecard_ODI.asp?MatchCode=4321,2019-06-14
20,Matches/MatchScorecard_ODI.asp?MatchCode=4303,2019-05-30
21,Matches/MatchScorecard_ODI.asp?MatchCode=4300,2019-05-19
22,Matches/MatchScorecard_ODI.asp?MatchCode=4294,2019-05-14
23,Matches/MatchScorecard_T20.asp?MatchCode=1043,2019-05-11
24,Matches/MatchScorecard_T20.asp?MatchCode=0791,2019-05-05
25,Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-05-03
26,Matches/MatchScorecard_T20.asp?MatchCode=1040,2019-03-11
27,Matches/MatchScorecard_ODI.asp?MatchCode=4346,2019-03-07
28,Matches/MatchScorecard_ODI.asp?MatchCode=4308,2019-03-06
29,Matches/MatchScorecard_ODI.asp?MatchCode=4284,2019-03-05
30,Matches/MatchScorecard_ODI.asp?MatchCode=4256,2019-02-27
31,Matches/MatchScorecard_ODI.asp?MatchCode=4255,2019-02-25
32,Matches/MatchScorecard_ODI.asp?MatchCode=4254,2019-02-22
33,Matches/MatchScorecard_ODI.asp?MatchCode=4253,2019-02-20
34,Matches/MatchScorecard_T20.asp?MatchCode=1035,2019-01-11
35,Matches/MatchScorecard_ODI.asp?MatchCode=4260,2019-01-03
36,Matches/MatchScorecard_ODI.asp?MatchCode=4171,2018-12-07
37,Matches/MatchScorecard_T20.asp?MatchCode=0721,2018-10-27
38,Matches/MatchScorecard_ODI.asp?MatchCode=4212,2018-10-20
39,Matches/MatchScorecard_ODI.asp?MatchCode=4211,2018-10-17
40,Matches/MatchScorecard_ODI.asp?MatchCode=4210,2018-10-13
41,Matches/MatchScorecard_ODI.asp?MatchCode=4209,2018-10-10
42,Matches/MatchScorecard_ODI.asp?MatchCode=4165,2018-10-06
43,Matches/MatchScorecard_ODI.asp?MatchCode=4149,2018-10-03
44,Matches/MatchScorecard_T20.asp?MatchCode=0706,2018-08-07
45,Matches/MatchScorecard_ODI.asp?MatchCode=4175,2018-07-17
46,Matches/MatchScorecard_ODI.asp?MatchCode=4173,2018-07-14
47,Matches/MatchScorecard_T20.asp?MatchCode=0660,2018-07-02
48,Matches/MatchScorecard_T20.asp?MatchCode=0694,2018-06-27
49,Matches/MatchScorecard_ODI.asp?MatchCode=4170,2018-06-24
50,Matches/MatchScorecard_ODI.asp?MatchCode=4169,2018-06-21
51,Matches/MatchScorecard_ODI.asp?MatchCode=4168,2018-06-19
52,Matches/MatchScorecard_ODI.asp?MatchCode=4166,2018-06-13
53,Matches/MatchScorecard_T20.asp?MatchCode=0704,2018-06-07
54,Matches/MatchScorecard_ODI.asp?MatchCode=4146,2018-06-03
55,Matches/MatchScorecard_T20.asp?MatchCode=0699,2018-03-07
56,Matches/MatchScorecard_ODI.asp?MatchCode=4139,2018-03-03
57,Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
58,Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
59,Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
60,Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
61,Matches/MatchScorecard_ODI.asp?MatchCode=4123,2018-01-26
62,Matches/MatchScorecard_ODI.asp?MatchCode=4117,2018-01-21
63,Matches/MatchScorecard_ODI.asp?MatchCode=4115,2018-01-18
64,Matches/MatchScorecard_ODI.asp?MatchCode=4108,2018-01-14
65,Matches/MatchScorecard_ODI.asp?MatchCode=4041,2017-10-06
66,Matches/MatchScorecard_ODI.asp?MatchCode=4075,2017-09-29
