matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4402,2020-05-02
Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
Matches/MatchScorecard_T20.asp?MatchCode=1081,2020-02-02
Matches/MatchScorecard_T20.asp?MatchCode=1080,2020-01-31
Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
Matches/MatchScorecard_T20.asp?MatchCode=0736,2019-11-01
Matches/MatchScorecard_T20.asp?MatchCode=1054,2019-10-11
Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-10-02
Matches/MatchScorecard_T20.asp?MatchCode=1051,2019-08-11
Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-08-02
Matches/MatchScorecard_ODI.asp?MatchCode=4233,2019-08-01
Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-06-02
Matches/MatchScorecard_T20.asp?MatchCode=1043,2019-05-11
Matches/MatchScorecard_ODI.asp?MatchCode=4232,2019-05-01
Matches/MatchScorecard_T20.asp?MatchCode=1040,2019-03-11
Matches/MatchScorecard_T20.asp?MatchCode=0902,2019-03-09
Matches/MatchScorecard_ODI.asp?MatchCode=4231,2019-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=4245,2019-01-28
Matches/MatchScorecard_ODI.asp?MatchCode=4242,2019-01-26
Matches/MatchScorecard_T20.asp?MatchCode=1035,2019-01-11
Matches/MatchScorecard_T20.asp?MatchCode=0901,2019-01-09
Matches/MatchScorecard_ODI.asp?MatchCode=4227,2018-11-11
Matches/MatchScorecard_T20.asp?MatchCode=0723,2018-10-31
Matches/MatchScorecard_ODI.asp?MatchCode=4149,2018-10-03
Matches/MatchScorecard_ODI.asp?MatchCode=4225,2018-09-11
Matches/MatchScorecard_ODI.asp?MatchCode=4223,2018-07-11
Matches/MatchScorecard_ODI.asp?MatchCode=4146,2018-06-03
Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-04-11
Matches/MatchScorecard_ODI.asp?MatchCode=4139,2018-03-03
Matches/MatchScorecard_T20.asp?MatchCode=0657,2018-03-02
Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
Matches/MatchScorecard_T20.asp?MatchCode=0668,2018-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0664,2018-02-16
Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-02-11
Matches/MatchScorecard_T20.asp?MatchCode=0656,2018-01-28
Matches/MatchScorecard_T20.asp?MatchCode=0655,2018-01-25
Matches/MatchScorecard_T20.asp?MatchCode=0654,2018-01-22
Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-08-01
Matches/MatchScorecard_T20.asp?MatchCode=0647,2017-07-11
Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-06-01
Matches/MatchScorecard_ODI.asp?MatchCode=4026,2017-05-21
Matches/MatchScorecard_ODI.asp?MatchCode=4024,2017-05-17
Matches/MatchScorecard_ODI.asp?MatchCode=4023,2017-05-14
Matches/MatchScorecard_T20.asp?MatchCode=0646,2017-04-11
Matches/MatchScorecard_ODI.asp?MatchCode=3995,2017-02-22
Matches/MatchScorecard_ODI.asp?MatchCode=3992,2017-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0645,2017-01-11
Matches/MatchScorecard_ODI.asp?MatchCode=3955,2016-10-29
Matches/MatchScorecard_ODI.asp?MatchCode=3954,2016-10-26
Matches/MatchScorecard_ODI.asp?MatchCode=3951,2016-10-16
Matches/MatchScorecard_ODI.asp?MatchCode=3888,2016-08-02
Matches/MatchScorecard_T20.asp?MatchCode=0487,2016-07-01
Matches/MatchScorecard_ODI.asp?MatchCode=3872,2016-05-01
Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0563,2016-03-26
Matches/MatchScorecard_T20.asp?MatchCode=0558,2016-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0552,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
Matches/MatchScorecard_ODI.asp?MatchCode=3870,2016-02-01
Matches/MatchScorecard_ODI.asp?MatchCode=3866,2015-12-28
Matches/MatchScorecard_T20.asp?MatchCode=0462,2015-09-08
Matches/MatchScorecard_ODI.asp?MatchCode=3828,2015-08-26
Matches/MatchScorecard_ODI.asp?MatchCode=3827,2015-08-23
Matches/MatchScorecard_ODI.asp?MatchCode=3826,2015-08-19
Matches/MatchScorecard_T20.asp?MatchCode=0464,2015-08-16
Matches/MatchScorecard_ODI.asp?MatchCode=3825,2015-07-08
Matches/MatchScorecard_ODI.asp?MatchCode=3824,2015-04-08
Matches/MatchScorecard_ODI.asp?MatchCode=3823,2015-02-08
Matches/MatchScorecard_T20.asp?MatchCode=0409,2014-06-07
Matches/MatchScorecard_T20.asp?MatchCode=0408,2014-05-07
