,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4148,2018-08-03
1,Matches/MatchScorecard_ODI.asp?MatchCode=4180,2018-07-25
2,Matches/MatchScorecard_ODI.asp?MatchCode=4179,2018-07-22
3,Matches/MatchScorecard_ODI.asp?MatchCode=4144,2018-06-03
4,Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-03-04
5,Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-02-04
6,Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-01-04
7,Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
8,Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
9,Matches/MatchScorecard_ODI.asp?MatchCode=4101,2017-12-23
10,Matches/MatchScorecard_ODI.asp?MatchCode=4100,2017-12-20
11,Matches/MatchScorecard_ODI.asp?MatchCode=4043,2017-11-06
12,Matches/MatchScorecard_ODI.asp?MatchCode=4019,2017-11-04
13,Matches/MatchScorecard_ODI.asp?MatchCode=4075,2017-09-29
14,Matches/MatchScorecard_ODI.asp?MatchCode=4073,2017-09-27
15,Matches/MatchScorecard_ODI.asp?MatchCode=4072,2017-09-24
16,Matches/MatchScorecard_ODI.asp?MatchCode=4070,2017-09-21
17,Matches/MatchScorecard_ODI.asp?MatchCode=4068,2017-09-19
18,Matches/MatchScorecard_ODI.asp?MatchCode=4040,2017-09-06
19,Matches/MatchScorecard_ODI.asp?MatchCode=4018,2017-09-04
20,Matches/MatchScorecard_ODI.asp?MatchCode=4005,2017-09-03
21,Matches/MatchScorecard_ODI.asp?MatchCode=4017,2017-07-04
22,Matches/MatchScorecard_ODI.asp?MatchCode=4053,2017-06-30
23,Matches/MatchScorecard_ODI.asp?MatchCode=4052,2017-06-25
24,Matches/MatchScorecard_ODI.asp?MatchCode=4051,2017-06-23
25,Matches/MatchScorecard_ODI.asp?MatchCode=4046,2017-06-14
26,Matches/MatchScorecard_ODI.asp?MatchCode=4057,2017-06-07
27,Matches/MatchScorecard_T20.asp?MatchCode=0627,2017-05-06
28,Matches/MatchScorecard_ODI.asp?MatchCode=4004,2017-05-03
29,Matches/MatchScorecard_T20.asp?MatchCode=0626,2017-03-06
30,Matches/MatchScorecard_ODI.asp?MatchCode=4001,2017-03-03
31,Matches/MatchScorecard_ODI.asp?MatchCode=4056,2017-02-07
32,Matches/MatchScorecard_T20.asp?MatchCode=0625,2017-02-06
33,Matches/MatchScorecard_T20.asp?MatchCode=0619,2017-02-04
34,Matches/MatchScorecard_T20.asp?MatchCode=0618,2017-01-04
35,Matches/MatchScorecard_ODI.asp?MatchCode=3853,2015-04-11
36,Matches/MatchScorecard_ODI.asp?MatchCode=3360,2011-11-12
