,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4339,2019-06-28
1,Matches/MatchScorecard_ODI.asp?MatchCode=4351,2019-06-07
2,Matches/MatchScorecard_ODI.asp?MatchCode=4303,2019-05-30
3,Matches/MatchScorecard_ODI.asp?MatchCode=4310,2019-05-06
4,Matches/MatchScorecard_T20.asp?MatchCode=0781,2019-03-24
5,Matches/MatchScorecard_T20.asp?MatchCode=0776,2019-03-22
6,Matches/MatchScorecard_T20.asp?MatchCode=0773,2019-03-19
7,Matches/MatchScorecard_ODI.asp?MatchCode=4272,2019-03-16
8,Matches/MatchScorecard_ODI.asp?MatchCode=4271,2019-03-13
9,Matches/MatchScorecard_ODI.asp?MatchCode=4307,2019-02-06
10,Matches/MatchScorecard_T20.asp?MatchCode=0716,2018-12-10
11,Matches/MatchScorecard_ODI.asp?MatchCode=4188,2018-12-08
12,Matches/MatchScorecard_ODI.asp?MatchCode=4130,2018-10-02
13,Matches/MatchScorecard_ODI.asp?MatchCode=4206,2018-09-30
14,Matches/MatchScorecard_T20.asp?MatchCode=0711,2018-08-14
15,Matches/MatchScorecard_ODI.asp?MatchCode=4187,2018-08-08
16,Matches/MatchScorecard_ODI.asp?MatchCode=4182,2018-07-29
17,Matches/MatchScorecard_ODI.asp?MatchCode=4128,2018-07-02
18,Matches/MatchScorecard_ODI.asp?MatchCode=4208,2018-06-10
19,Matches/MatchScorecard_ODI.asp?MatchCode=4186,2018-05-08
20,Matches/MatchScorecard_ODI.asp?MatchCode=4127,2018-04-02
21,Matches/MatchScorecard_ODI.asp?MatchCode=4207,2018-03-10
22,Matches/MatchScorecard_T20.asp?MatchCode=0670,2018-02-24
23,Matches/MatchScorecard_T20.asp?MatchCode=0669,2018-02-21
24,Matches/MatchScorecard_T20.asp?MatchCode=0667,2018-02-18
25,Matches/MatchScorecard_ODI.asp?MatchCode=4133,2018-02-13
26,Matches/MatchScorecard_ODI.asp?MatchCode=4183,2018-01-08
27,Matches/MatchScorecard_ODI.asp?MatchCode=4126,2018-01-02
28,Matches/MatchScorecard_ODI.asp?MatchCode=4042,2017-11-06
29,Matches/MatchScorecard_T20.asp?MatchCode=0644,2017-10-29
30,Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
31,Matches/MatchScorecard_ODI.asp?MatchCode=4083,2017-10-18
32,Matches/MatchScorecard_ODI.asp?MatchCode=4080,2017-10-15
33,Matches/MatchScorecard_ODI.asp?MatchCode=3990,2017-10-02
34,Matches/MatchScorecard_ODI.asp?MatchCode=4037,2017-07-06
35,Matches/MatchScorecard_ODI.asp?MatchCode=3989,2017-07-02
36,Matches/MatchScorecard_ODI.asp?MatchCode=4030,2017-05-29
37,Matches/MatchScorecard_ODI.asp?MatchCode=4028,2017-05-24
38,Matches/MatchScorecard_ODI.asp?MatchCode=4002,2017-04-03
39,Matches/MatchScorecard_ODI.asp?MatchCode=3987,2017-04-02
40,Matches/MatchScorecard_ODI.asp?MatchCode=4033,2017-03-06
41,Matches/MatchScorecard_ODI.asp?MatchCode=3997,2017-02-25
42,Matches/MatchScorecard_ODI.asp?MatchCode=3995,2017-02-22
43,Matches/MatchScorecard_ODI.asp?MatchCode=3992,2017-02-19
44,Matches/MatchScorecard_T20.asp?MatchCode=0609,2017-02-17
45,Matches/MatchScorecard_ODI.asp?MatchCode=3983,2017-01-28
46,Matches/MatchScorecard_ODI.asp?MatchCode=3999,2017-01-03
47,Matches/MatchScorecard_ODI.asp?MatchCode=3985,2017-01-02
48,Matches/MatchScorecard_ODI.asp?MatchCode=3950,2016-12-10
49,Matches/MatchScorecard_ODI.asp?MatchCode=3890,2016-12-02
50,Matches/MatchScorecard_ODI.asp?MatchCode=3896,2016-11-06
51,Matches/MatchScorecard_ODI.asp?MatchCode=3940,2016-09-30
52,Matches/MatchScorecard_ODI.asp?MatchCode=3935,2016-09-25
53,Matches/MatchScorecard_T20.asp?MatchCode=0539,2016-09-03
54,Matches/MatchScorecard_ODI.asp?MatchCode=3889,2016-09-02
55,Matches/MatchScorecard_ODI.asp?MatchCode=3947,2016-08-10
56,Matches/MatchScorecard_ODI.asp?MatchCode=3894,2016-07-06
57,Matches/MatchScorecard_ODI.asp?MatchCode=3907,2016-06-24
58,Matches/MatchScorecard_ODI.asp?MatchCode=3903,2016-06-19
59,Matches/MatchScorecard_ODI.asp?MatchCode=3900,2016-06-15
60,Matches/MatchScorecard_T20.asp?MatchCode=0533,2016-06-03
61,Matches/MatchScorecard_ODI.asp?MatchCode=3887,2016-06-02
62,Matches/MatchScorecard_ODI.asp?MatchCode=3945,2016-05-10
63,Matches/MatchScorecard_T20.asp?MatchCode=0532,2016-04-03
64,Matches/MatchScorecard_T20.asp?MatchCode=0555,2016-03-20
65,Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
66,Matches/MatchScorecard_ODI.asp?MatchCode=3892,2016-03-06
67,Matches/MatchScorecard_ODI.asp?MatchCode=3885,2016-03-02
68,Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
69,Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
70,Matches/MatchScorecard_ODI.asp?MatchCode=3942,2016-02-10
71,Matches/MatchScorecard_ODI.asp?MatchCode=3816,2015-12-07
72,Matches/MatchScorecard_ODI.asp?MatchCode=3841,2015-11-10
73,Matches/MatchScorecard_ODI.asp?MatchCode=3783,2015-11-03
74,Matches/MatchScorecard_ODI.asp?MatchCode=3845,2015-10-18
75,Matches/MatchScorecard_ODI.asp?MatchCode=3844,2015-10-14
76,Matches/MatchScorecard_ODI.asp?MatchCode=3813,2015-10-07
77,Matches/MatchScorecard_ODI.asp?MatchCode=3818,2015-07-15
78,Matches/MatchScorecard_T20.asp?MatchCode=0438,2015-07-07
79,Matches/MatchScorecard_ODI.asp?MatchCode=3776,2015-07-03
80,Matches/MatchScorecard_T20.asp?MatchCode=0469,2015-05-10
81,Matches/MatchScorecard_T20.asp?MatchCode=0437,2015-05-07
82,Matches/MatchScorecard_ODI.asp?MatchCode=3794,2015-03-24
83,Matches/MatchScorecard_ODI.asp?MatchCode=3790,2015-03-18
84,Matches/MatchScorecard_ODI.asp?MatchCode=3760,2015-02-22
85,Matches/MatchScorecard_ODI.asp?MatchCode=3750,2015-02-15
86,Matches/MatchScorecard_T20.asp?MatchCode=0468,2015-02-10
87,Matches/MatchScorecard_ODI.asp?MatchCode=3742,2015-01-28
88,Matches/MatchScorecard_ODI.asp?MatchCode=3740,2015-01-25
89,Matches/MatchScorecard_ODI.asp?MatchCode=3736,2015-01-21
90,Matches/MatchScorecard_ODI.asp?MatchCode=3732,2015-01-18
91,Matches/MatchScorecard_ODI.asp?MatchCode=3728,2015-01-16
92,Matches/MatchScorecard_T20.asp?MatchCode=0424,2015-01-14
93,Matches/MatchScorecard_ODI.asp?MatchCode=3648,2014-12-07
94,Matches/MatchScorecard_T20.asp?MatchCode=0369,2014-12-03
95,Matches/MatchScorecard_ODI.asp?MatchCode=3687,2014-10-27
96,Matches/MatchScorecard_ODI.asp?MatchCode=3686,2014-10-24
97,Matches/MatchScorecard_ODI.asp?MatchCode=3685,2014-10-21
98,Matches/MatchScorecard_T20.asp?MatchCode=0415,2014-09-11
99,Matches/MatchScorecard_ODI.asp?MatchCode=3647,2014-09-07
100,Matches/MatchScorecard_ODI.asp?MatchCode=3665,2014-08-29
101,Matches/MatchScorecard_ODI.asp?MatchCode=3663,2014-08-27
102,Matches/MatchScorecard_ODI.asp?MatchCode=3656,2014-08-21
103,Matches/MatchScorecard_ODI.asp?MatchCode=3654,2014-08-19
104,Matches/MatchScorecard_ODI.asp?MatchCode=3653,2014-08-17
105,Matches/MatchScorecard_T20.asp?MatchCode=0414,2014-07-11
106,Matches/MatchScorecard_ODI.asp?MatchCode=3673,2014-06-09
107,Matches/MatchScorecard_ODI.asp?MatchCode=3646,2014-06-07
108,Matches/MatchScorecard_T20.asp?MatchCode=0413,2014-05-11
109,Matches/MatchScorecard_ODI.asp?MatchCode=3671,2014-04-09
110,Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04
111,Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
112,Matches/MatchScorecard_T20.asp?MatchCode=0392,2014-03-27
113,Matches/MatchScorecard_T20.asp?MatchCode=0389,2014-03-24
114,Matches/MatchScorecard_T20.asp?MatchCode=0385,2014-03-22
115,Matches/MatchScorecard_T20.asp?MatchCode=0371,2014-03-14
116,Matches/MatchScorecard_ODI.asp?MatchCode=3669,2014-02-09
117,Matches/MatchScorecard_ODI.asp?MatchCode=3585,2013-11-30
118,Matches/MatchScorecard_ODI.asp?MatchCode=3584,2013-11-27
119,Matches/MatchScorecard_ODI.asp?MatchCode=3582,2013-11-24
120,Matches/MatchScorecard_T20.asp?MatchCode=0348,2013-11-22
121,Matches/MatchScorecard_T20.asp?MatchCode=0345,2013-11-20
122,Matches/MatchScorecard_T20.asp?MatchCode=0338,2013-11-13
123,Matches/MatchScorecard_ODI.asp?MatchCode=3588,2013-11-12
124,Matches/MatchScorecard_ODI.asp?MatchCode=3577,2013-11-11
125,Matches/MatchScorecard_ODI.asp?MatchCode=3569,2013-10-30
126,Matches/MatchScorecard_ODI.asp?MatchCode=3509,2013-10-06
127,Matches/MatchScorecard_ODI.asp?MatchCode=3587,2013-08-12
128,Matches/MatchScorecard_ODI.asp?MatchCode=3575,2013-08-11
129,Matches/MatchScorecard_ODI.asp?MatchCode=3543,2013-07-31
130,Matches/MatchScorecard_ODI.asp?MatchCode=3542,2013-07-28
131,Matches/MatchScorecard_ODI.asp?MatchCode=3540,2013-07-26
