matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=1128,2020-10-03
../Matches/MatchScorecard_T20.asp?MatchCode=1124,2020-08-03
../Matches/MatchScorecard_T20.asp?MatchCode=1120,2020-06-03
../Matches/MatchScorecard_T20.asp?MatchCode=1060,2019-11-17
../Matches/MatchScorecard_T20.asp?MatchCode=1059,2019-11-16
../Matches/MatchScorecard_T20.asp?MatchCode=0925,2019-09-21
../Matches/MatchScorecard_T20.asp?MatchCode=0914,2019-09-15
../Matches/MatchScorecard_T20.asp?MatchCode=0913,2019-09-14
../Matches/MatchScorecard_T20.asp?MatchCode=0764,2019-02-23
../Matches/MatchScorecard_T20.asp?MatchCode=0763,2019-02-21
../Matches/MatchScorecard_T20.asp?MatchCode=0684,2018-07-06
../Matches/MatchScorecard_T20.asp?MatchCode=0683,2018-05-06
../Matches/MatchScorecard_T20.asp?MatchCode=0681,2018-03-06
../Matches/MatchScorecard_T20.asp?MatchCode=0615,2017-12-03
../Matches/MatchScorecard_T20.asp?MatchCode=0614,2017-10-03
../Matches/MatchScorecard_T20.asp?MatchCode=0613,2017-08-03
../Matches/MatchScorecard_T20.asp?MatchCode=0627,2017-05-06
../Matches/MatchScorecard_T20.asp?MatchCode=0626,2017-03-06
../Matches/MatchScorecard_ODI.asp?MatchCode=3996,2017-02-24
../Matches/MatchScorecard_T20.asp?MatchCode=0625,2017-02-06
../Matches/MatchScorecard_T20.asp?MatchCode=0602,2017-01-20
../Matches/MatchScorecard_T20.asp?MatchCode=0595,2017-01-16
../Matches/MatchScorecard_T20.asp?MatchCode=0587,2016-12-18
../Matches/MatchScorecard_T20.asp?MatchCode=0586,2016-12-16
../Matches/MatchScorecard_T20.asp?MatchCode=0585,2016-12-14
