,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
1,Matches/MatchScorecard_T20.asp?MatchCode=0736,2019-11-01
2,Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
3,Matches/MatchScorecard_ODI.asp?MatchCode=4315,2019-08-06
4,Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-08-02
5,Matches/MatchScorecard_ODI.asp?MatchCode=4233,2019-08-01
6,Matches/MatchScorecard_ODI.asp?MatchCode=4355,2019-07-14
7,Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
8,Matches/MatchScorecard_ODI.asp?MatchCode=4337,2019-06-26
9,Matches/MatchScorecard_ODI.asp?MatchCode=4333,2019-06-22
10,Matches/MatchScorecard_ODI.asp?MatchCode=4328,2019-06-19
11,Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-06-02
12,Matches/MatchScorecard_T20.asp?MatchCode=1043,2019-05-11
13,Matches/MatchScorecard_ODI.asp?MatchCode=4311,2019-05-06
14,Matches/MatchScorecard_T20.asp?MatchCode=1040,2019-03-11
15,Matches/MatchScorecard_ODI.asp?MatchCode=4231,2019-03-01
16,Matches/MatchScorecard_ODI.asp?MatchCode=4252,2019-02-20
17,Matches/MatchScorecard_ODI.asp?MatchCode=4251,2019-02-16
18,Matches/MatchScorecard_ODI.asp?MatchCode=4250,2019-02-13
19,Matches/MatchScorecard_ODI.asp?MatchCode=4245,2019-01-28
20,Matches/MatchScorecard_ODI.asp?MatchCode=4242,2019-01-26
21,Matches/MatchScorecard_ODI.asp?MatchCode=4239,2019-01-23
22,Matches/MatchScorecard_T20.asp?MatchCode=1035,2019-01-11
23,Matches/MatchScorecard_ODI.asp?MatchCode=4305,2019-01-06
24,Matches/MatchScorecard_ODI.asp?MatchCode=4227,2018-11-11
25,Matches/MatchScorecard_ODI.asp?MatchCode=4225,2018-09-11
26,Matches/MatchScorecard_ODI.asp?MatchCode=4104,2018-08-01
27,Matches/MatchScorecard_ODI.asp?MatchCode=4223,2018-07-11
28,Matches/MatchScorecard_ODI.asp?MatchCode=4103,2018-06-01
29,Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-04-11
30,Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
31,Matches/MatchScorecard_ODI.asp?MatchCode=4114,2018-01-18
32,Matches/MatchScorecard_ODI.asp?MatchCode=4110,2018-01-16
33,Matches/MatchScorecard_ODI.asp?MatchCode=4105,2018-01-13
34,Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
35,Matches/MatchScorecard_ODI.asp?MatchCode=4101,2017-12-23
36,Matches/MatchScorecard_ODI.asp?MatchCode=4100,2017-12-20
37,Matches/MatchScorecard_ODI.asp?MatchCode=3988,2017-05-02
38,Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-03-01
39,Matches/MatchScorecard_ODI.asp?MatchCode=3997,2017-02-25
40,Matches/MatchScorecard_ODI.asp?MatchCode=3984,2017-01-30
41,Matches/MatchScorecard_ODI.asp?MatchCode=3970,2016-12-29
42,Matches/MatchScorecard_ODI.asp?MatchCode=3969,2016-12-26
43,Matches/MatchScorecard_ODI.asp?MatchCode=3968,2016-09-12
44,Matches/MatchScorecard_ODI.asp?MatchCode=3966,2016-04-12
