matchid,date
../Matches/MatchScorecard_ODI.asp?MatchCode=4234,2019-12-01
../Matches/MatchScorecard_ODI.asp?MatchCode=4354,2019-11-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4316,2019-09-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4266,2019-08-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4336,2019-06-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4329,2019-06-20
../Matches/MatchScorecard_ODI.asp?MatchCode=4351,2019-06-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4312,2019-06-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4263,2019-05-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4277,2019-03-31
../Matches/MatchScorecard_ODI.asp?MatchCode=4276,2019-03-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4275,2019-03-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4274,2019-03-23
../Matches/MatchScorecard_ODI.asp?MatchCode=4273,2019-03-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4270,2019-03-13
../Matches/MatchScorecard_T20.asp?MatchCode=0767,2019-02-27
../Matches/MatchScorecard_T20.asp?MatchCode=0766,2019-02-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4258,2019-02-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4236,2019-01-18
../Matches/MatchScorecard_ODI.asp?MatchCode=4235,2019-01-15
../Matches/MatchScorecard_ODI.asp?MatchCode=4306,2019-01-06
../Matches/MatchScorecard_T20.asp?MatchCode=0732,2018-11-25
../Matches/MatchScorecard_T20.asp?MatchCode=0731,2018-11-23
../Matches/MatchScorecard_T20.asp?MatchCode=0730,2018-11-21
../Matches/MatchScorecard_T20.asp?MatchCode=0729,2018-11-17
../Matches/MatchScorecard_ODI.asp?MatchCode=4226,2018-11-11
../Matches/MatchScorecard_T20.asp?MatchCode=0661,2018-10-02
../Matches/MatchScorecard_ODI.asp?MatchCode=4224,2018-09-11
../Matches/MatchScorecard_T20.asp?MatchCode=0705,2018-08-07
../Matches/MatchScorecard_T20.asp?MatchCode=0660,2018-07-02
../Matches/MatchScorecard_T20.asp?MatchCode=0694,2018-06-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4170,2018-06-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4169,2018-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4168,2018-06-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4167,2018-06-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4166,2018-06-13
../Matches/MatchScorecard_T20.asp?MatchCode=0703,2018-06-07
../Matches/MatchScorecard_T20.asp?MatchCode=0702,2018-05-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4222,2018-04-11
../Matches/MatchScorecard_T20.asp?MatchCode=0698,2018-03-07
../Matches/MatchScorecard_T20.asp?MatchCode=0657,2018-03-02
../Matches/MatchScorecard_T20.asp?MatchCode=0668,2018-02-21
../Matches/MatchScorecard_T20.asp?MatchCode=0664,2018-02-16
../Matches/MatchScorecard_T20.asp?MatchCode=0697,2018-02-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4123,2018-01-26
../Matches/MatchScorecard_ODI.asp?MatchCode=4117,2018-01-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4115,2018-01-18
../Matches/MatchScorecard_ODI.asp?MatchCode=4108,2018-01-14
../Matches/MatchScorecard_T20.asp?MatchCode=0638,2017-10-10
../Matches/MatchScorecard_ODI.asp?MatchCode=4074,2017-09-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4071,2017-09-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4069,2017-09-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4067,2017-09-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3988,2017-05-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3984,2017-01-30
../Matches/MatchScorecard_ODI.asp?MatchCode=4076,2017-01-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3833,2015-11-09
../Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
