,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4419,2020-04-03
1,Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
2,Matches/MatchScorecard_ODI.asp?MatchCode=4415,2020-02-29
3,Matches/MatchScorecard_T20.asp?MatchCode=1109,2020-02-26
4,Matches/MatchScorecard_T20.asp?MatchCode=1091,2020-02-23
5,Matches/MatchScorecard_T20.asp?MatchCode=1089,2020-02-21
6,Matches/MatchScorecard_ODI.asp?MatchCode=4400,2020-01-19
7,Matches/MatchScorecard_ODI.asp?MatchCode=4399,2020-01-17
8,Matches/MatchScorecard_ODI.asp?MatchCode=4398,2020-01-14
9,Matches/MatchScorecard_ODI.asp?MatchCode=4319,2019-12-06
10,Matches/MatchScorecard_ODI.asp?MatchCode=4354,2019-11-07
11,Matches/MatchScorecard_T20.asp?MatchCode=1020,2019-10-27
12,Matches/MatchScorecard_ODI.asp?MatchCode=4316,2019-09-06
13,Matches/MatchScorecard_T20.asp?MatchCode=1050,2019-08-11
14,Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
15,Matches/MatchScorecard_ODI.asp?MatchCode=4336,2019-06-25
16,Matches/MatchScorecard_ODI.asp?MatchCode=4329,2019-06-20
17,Matches/MatchScorecard_ODI.asp?MatchCode=4322,2019-06-15
18,Matches/MatchScorecard_ODI.asp?MatchCode=4351,2019-06-07
19,Matches/MatchScorecard_ODI.asp?MatchCode=4312,2019-06-06
20,Matches/MatchScorecard_T20.asp?MatchCode=1044,2019-05-11
21,Matches/MatchScorecard_T20.asp?MatchCode=1041,2019-03-11
22,Matches/MatchScorecard_T20.asp?MatchCode=1034,2019-01-11
23,Matches/MatchScorecard_ODI.asp?MatchCode=4306,2019-01-06
24,Matches/MatchScorecard_T20.asp?MatchCode=0732,2018-11-25
25,Matches/MatchScorecard_ODI.asp?MatchCode=4226,2018-11-11
26,Matches/MatchScorecard_ODI.asp?MatchCode=4224,2018-09-11
27,Matches/MatchScorecard_ODI.asp?MatchCode=4222,2018-04-11
28,Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
29,Matches/MatchScorecard_ODI.asp?MatchCode=4117,2018-01-21
30,Matches/MatchScorecard_ODI.asp?MatchCode=4115,2018-01-18
31,Matches/MatchScorecard_ODI.asp?MatchCode=4108,2018-01-14
32,Matches/MatchScorecard_ODI.asp?MatchCode=4041,2017-10-06
33,Matches/MatchScorecard_ODI.asp?MatchCode=4035,2017-05-06
34,Matches/MatchScorecard_ODI.asp?MatchCode=3988,2017-05-02
35,Matches/MatchScorecard_ODI.asp?MatchCode=4032,2017-02-06
36,Matches/MatchScorecard_ODI.asp?MatchCode=3984,2017-01-30
37,Matches/MatchScorecard_ODI.asp?MatchCode=3981,2017-01-26
38,Matches/MatchScorecard_ODI.asp?MatchCode=3977,2017-01-22
39,Matches/MatchScorecard_ODI.asp?MatchCode=3973,2017-01-15
40,Matches/MatchScorecard_ODI.asp?MatchCode=3972,2017-01-13
41,Matches/MatchScorecard_ODI.asp?MatchCode=3896,2016-11-06
42,Matches/MatchScorecard_ODI.asp?MatchCode=3968,2016-09-12
43,Matches/MatchScorecard_T20.asp?MatchCode=0581,2016-09-09
44,Matches/MatchScorecard_ODI.asp?MatchCode=3929,2016-08-31
45,Matches/MatchScorecard_ODI.asp?MatchCode=3927,2016-08-28
46,Matches/MatchScorecard_ODI.asp?MatchCode=3924,2016-08-24
47,Matches/MatchScorecard_ODI.asp?MatchCode=3923,2016-08-21
48,Matches/MatchScorecard_ODI.asp?MatchCode=3909,2016-06-26
49,Matches/MatchScorecard_ODI.asp?MatchCode=3905,2016-06-21
50,Matches/MatchScorecard_ODI.asp?MatchCode=3903,2016-06-19
51,Matches/MatchScorecard_ODI.asp?MatchCode=3967,2016-06-12
52,Matches/MatchScorecard_T20.asp?MatchCode=0578,2016-06-09
53,Matches/MatchScorecard_ODI.asp?MatchCode=3893,2016-05-06
54,Matches/MatchScorecard_ODI.asp?MatchCode=3966,2016-04-12
55,Matches/MatchScorecard_ODI.asp?MatchCode=3931,2016-04-09
56,Matches/MatchScorecard_ODI.asp?MatchCode=3834,2015-12-09
57,Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
58,Matches/MatchScorecard_ODI.asp?MatchCode=3829,2015-08-27
59,Matches/MatchScorecard_ODI.asp?MatchCode=3832,2015-08-09
60,Matches/MatchScorecard_ODI.asp?MatchCode=3779,2015-08-03
61,Matches/MatchScorecard_ODI.asp?MatchCode=3831,2015-05-09
62,Matches/MatchScorecard_ODI.asp?MatchCode=3773,2015-04-03
63,Matches/MatchScorecard_ODI.asp?MatchCode=3796,2015-03-29
64,Matches/MatchScorecard_ODI.asp?MatchCode=3795,2015-03-26
65,Matches/MatchScorecard_ODI.asp?MatchCode=3792,2015-03-20
66,Matches/MatchScorecard_ODI.asp?MatchCode=3787,2015-03-14
67,Matches/MatchScorecard_ODI.asp?MatchCode=3830,2015-03-09
68,Matches/MatchScorecard_ODI.asp?MatchCode=3767,2015-02-28
69,Matches/MatchScorecard_ODI.asp?MatchCode=3749,2015-02-14
70,Matches/MatchScorecard_ODI.asp?MatchCode=3741,2015-01-26
71,Matches/MatchScorecard_ODI.asp?MatchCode=3738,2015-01-23
72,Matches/MatchScorecard_ODI.asp?MatchCode=3731,2015-01-18
73,Matches/MatchScorecard_ODI.asp?MatchCode=3727,2015-01-16
74,Matches/MatchScorecard_ODI.asp?MatchCode=3746,2015-01-02
75,Matches/MatchScorecard_ODI.asp?MatchCode=3681,2014-12-10
76,Matches/MatchScorecard_T20.asp?MatchCode=0369,2014-12-03
77,Matches/MatchScorecard_ODI.asp?MatchCode=3700,2014-11-23
78,Matches/MatchScorecard_ODI.asp?MatchCode=3698,2014-11-21
79,Matches/MatchScorecard_ODI.asp?MatchCode=3697,2014-11-19
80,Matches/MatchScorecard_ODI.asp?MatchCode=3668,2014-08-31
81,Matches/MatchScorecard_ODI.asp?MatchCode=3663,2014-08-27
