matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=1044,2019-05-11
../Matches/MatchScorecard_T20.asp?MatchCode=1041,2019-03-11
../Matches/MatchScorecard_T20.asp?MatchCode=0531,2016-04-03
../Matches/MatchScorecard_T20.asp?MatchCode=0558,2016-03-22
../Matches/MatchScorecard_T20.asp?MatchCode=0554,2016-03-19
../Matches/MatchScorecard_T20.asp?MatchCode=0549,2016-03-16
../Matches/MatchScorecard_T20.asp?MatchCode=0527,2016-02-29
../Matches/MatchScorecard_T20.asp?MatchCode=0525,2016-02-27
../Matches/MatchScorecard_T20.asp?MatchCode=0529,2016-02-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3883,2016-01-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3879,2016-01-25
../Matches/MatchScorecard_ODI.asp?MatchCode=3930,2016-01-09
../Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3863,2015-11-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3861,2015-11-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3859,2015-11-13
../Matches/MatchScorecard_ODI.asp?MatchCode=3858,2015-11-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3814,2015-11-07
../Matches/MatchScorecard_T20.asp?MatchCode=0467,2015-09-29
../Matches/MatchScorecard_T20.asp?MatchCode=0460,2015-07-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3822,2015-07-26
../Matches/MatchScorecard_ODI.asp?MatchCode=3821,2015-07-22
../Matches/MatchScorecard_ODI.asp?MatchCode=3820,2015-07-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3819,2015-07-15
../Matches/MatchScorecard_ODI.asp?MatchCode=3776,2015-07-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3838,2015-05-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3772,2015-04-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3837,2015-03-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3747,2015-03-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3757,2015-02-21
../Matches/MatchScorecard_ODI.asp?MatchCode=3751,2015-02-15
../Matches/MatchScorecard_ODI.asp?MatchCode=3745,2015-01-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3836,2015-01-10
../Matches/MatchScorecard_T20.asp?MatchCode=0461,2015-01-08
../Matches/MatchScorecard_ODI.asp?MatchCode=3770,2015-01-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3719,2014-12-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3717,2014-12-14
../Matches/MatchScorecard_ODI.asp?MatchCode=3715,2014-12-12
../Matches/MatchScorecard_ODI.asp?MatchCode=3681,2014-12-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3679,2014-10-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3666,2014-08-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3662,2014-08-26
../Matches/MatchScorecard_ODI.asp?MatchCode=3658,2014-08-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3713,2014-08-12
../Matches/MatchScorecard_ODI.asp?MatchCode=3677,2014-07-10
../Matches/MatchScorecard_T20.asp?MatchCode=0412,2014-05-10
../Matches/MatchScorecard_T20.asp?MatchCode=0420,2014-04-12
../Matches/MatchScorecard_T20.asp?MatchCode=0339,2013-11-15
../Matches/MatchScorecard_T20.asp?MatchCode=0338,2013-11-13
../Matches/MatchScorecard_ODI.asp?MatchCode=3577,2013-11-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3569,2013-10-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3509,2013-10-06
../Matches/MatchScorecard_ODI.asp?MatchCode=3550,2013-08-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3549,2013-08-29
../Matches/MatchScorecard_ODI.asp?MatchCode=3546,2013-08-27
../Matches/MatchScorecard_T20.asp?MatchCode=0330,2013-08-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3575,2013-08-11
../Matches/MatchScorecard_T20.asp?MatchCode=0325,2013-07-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3538,2013-07-24
../Matches/MatchScorecard_ODI.asp?MatchCode=3535,2013-07-21
../Matches/MatchScorecard_ODI.asp?MatchCode=3533,2013-07-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3532,2013-07-16
../Matches/MatchScorecard_ODI.asp?MatchCode=3531,2013-07-14
../Matches/MatchScorecard_ODI.asp?MatchCode=3506,2013-07-06
../Matches/MatchScorecard_ODI.asp?MatchCode=3514,2013-06-15
../Matches/MatchScorecard_ODI.asp?MatchCode=3574,2013-06-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3457,2013-06-01
../Matches/MatchScorecard_ODI.asp?MatchCode=3499,2013-05-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3497,2013-05-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3491,2013-03-24
../Matches/MatchScorecard_ODI.asp?MatchCode=3489,2013-03-21
../Matches/MatchScorecard_ODI.asp?MatchCode=3488,2013-03-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3487,2013-03-15
../Matches/MatchScorecard_T20.asp?MatchCode=0311,2013-03-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3456,2013-03-01
../Matches/MatchScorecard_ODI.asp?MatchCode=3571,2013-01-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3455,2012-12-30
../Matches/MatchScorecard_T20.asp?MatchCode=0301,2012-12-28
../Matches/MatchScorecard_T20.asp?MatchCode=0299,2012-12-25
