,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4290,2019-10-05
1,Matches/MatchScorecard_ODI.asp?MatchCode=4267,2019-10-03
2,Matches/MatchScorecard_ODI.asp?MatchCode=4301,2019-05-21
3,Matches/MatchScorecard_ODI.asp?MatchCode=4299,2019-05-19
4,Matches/MatchScorecard_ODI.asp?MatchCode=4262,2019-05-03
5,Matches/MatchScorecard_ODI.asp?MatchCode=4309,2019-04-06
6,Matches/MatchScorecard_ODI.asp?MatchCode=4257,2019-02-28
7,Matches/MatchScorecard_ODI.asp?MatchCode=4306,2019-01-06
8,Matches/MatchScorecard_ODI.asp?MatchCode=4131,2018-11-02
9,Matches/MatchScorecard_ODI.asp?MatchCode=4203,2018-09-25
10,Matches/MatchScorecard_ODI.asp?MatchCode=4202,2018-09-23
11,Matches/MatchScorecard_ODI.asp?MatchCode=4200,2018-09-21
12,Matches/MatchScorecard_ODI.asp?MatchCode=4198,2018-09-20
13,Matches/MatchScorecard_ODI.asp?MatchCode=4195,2018-09-17
14,Matches/MatchScorecard_ODI.asp?MatchCode=4129,2018-09-02
15,Matches/MatchScorecard_ODI.asp?MatchCode=4192,2018-08-31
16,Matches/MatchScorecard_ODI.asp?MatchCode=4190,2018-08-29
17,Matches/MatchScorecard_T20.asp?MatchCode=0713,2018-08-22
18,Matches/MatchScorecard_T20.asp?MatchCode=0712,2018-08-20
19,Matches/MatchScorecard_T20.asp?MatchCode=0684,2018-07-06
20,Matches/MatchScorecard_ODI.asp?MatchCode=4145,2018-06-03
21,Matches/MatchScorecard_T20.asp?MatchCode=0659,2018-06-02
22,Matches/MatchScorecard_T20.asp?MatchCode=0683,2018-05-06
23,Matches/MatchScorecard_T20.asp?MatchCode=0658,2018-05-02
24,Matches/MatchScorecard_ODI.asp?MatchCode=4140,2018-04-03
25,Matches/MatchScorecard_ODI.asp?MatchCode=4164,2018-03-25
26,Matches/MatchScorecard_ODI.asp?MatchCode=4163,2018-03-23
27,Matches/MatchScorecard_ODI.asp?MatchCode=4160,2018-03-20
28,Matches/MatchScorecard_ODI.asp?MatchCode=4154,2018-03-15
29,Matches/MatchScorecard_T20.asp?MatchCode=0681,2018-03-06
30,Matches/MatchScorecard_ODI.asp?MatchCode=4136,2018-02-19
31,Matches/MatchScorecard_ODI.asp?MatchCode=4134,2018-02-16
32,Matches/MatchScorecard_ODI.asp?MatchCode=4132,2018-02-13
33,Matches/MatchScorecard_T20.asp?MatchCode=0615,2017-12-03
34,Matches/MatchScorecard_T20.asp?MatchCode=0614,2017-10-03
35,Matches/MatchScorecard_T20.asp?MatchCode=0613,2017-08-03
36,Matches/MatchScorecard_ODI.asp?MatchCode=4010,2017-03-24
37,Matches/MatchScorecard_ODI.asp?MatchCode=4009,2017-03-22
38,Matches/MatchScorecard_ODI.asp?MatchCode=4008,2017-03-19
39,Matches/MatchScorecard_ODI.asp?MatchCode=4007,2017-03-17
40,Matches/MatchScorecard_ODI.asp?MatchCode=4006,2017-03-15
41,Matches/MatchScorecard_ODI.asp?MatchCode=3998,2017-02-26
42,Matches/MatchScorecard_ODI.asp?MatchCode=3996,2017-02-24
43,Matches/MatchScorecard_ODI.asp?MatchCode=3994,2017-02-21
44,Matches/MatchScorecard_ODI.asp?MatchCode=3993,2017-02-19
45,Matches/MatchScorecard_ODI.asp?MatchCode=3991,2017-02-16
46,Matches/MatchScorecard_T20.asp?MatchCode=0602,2017-01-20
47,Matches/MatchScorecard_T20.asp?MatchCode=0600,2017-01-20
48,Matches/MatchScorecard_T20.asp?MatchCode=0595,2017-01-16
49,Matches/MatchScorecard_T20.asp?MatchCode=0592,2017-01-14
50,Matches/MatchScorecard_T20.asp?MatchCode=0587,2016-12-18
51,Matches/MatchScorecard_T20.asp?MatchCode=0586,2016-12-16
52,Matches/MatchScorecard_T20.asp?MatchCode=0585,2016-12-14
53,Matches/MatchScorecard_ODI.asp?MatchCode=3915,2016-12-07
54,Matches/MatchScorecard_T20.asp?MatchCode=0544,2016-12-03
55,Matches/MatchScorecard_T20.asp?MatchCode=0541,2016-10-03
56,Matches/MatchScorecard_T20.asp?MatchCode=0490,2016-10-01
57,Matches/MatchScorecard_ODI.asp?MatchCode=3938,2016-09-28
58,Matches/MatchScorecard_ODI.asp?MatchCode=3936,2016-09-25
59,Matches/MatchScorecard_T20.asp?MatchCode=0536,2016-08-03
60,Matches/MatchScorecard_T20.asp?MatchCode=0488,2016-08-01
61,Matches/MatchScorecard_ODI.asp?MatchCode=3918,2016-07-19
62,Matches/MatchScorecard_ODI.asp?MatchCode=3917,2016-07-17
63,Matches/MatchScorecard_ODI.asp?MatchCode=3916,2016-07-14
64,Matches/MatchScorecard_ODI.asp?MatchCode=3913,2016-06-07
65,Matches/MatchScorecard_ODI.asp?MatchCode=3873,2016-06-01
