,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4204,2018-09-26
1,Matches/MatchScorecard_ODI.asp?MatchCode=4198,2018-09-20
2,Matches/MatchScorecard_ODI.asp?MatchCode=3765,2015-02-26
3,Matches/MatchScorecard_ODI.asp?MatchCode=3754,2015-02-18
4,Matches/MatchScorecard_ODI.asp?MatchCode=3702,2014-11-26
5,Matches/MatchScorecard_ODI.asp?MatchCode=3701,2014-11-23
6,Matches/MatchScorecard_ODI.asp?MatchCode=3699,2014-11-21
7,Matches/MatchScorecard_ODI.asp?MatchCode=3661,2014-08-25
8,Matches/MatchScorecard_ODI.asp?MatchCode=3643,2014-06-15
9,Matches/MatchScorecard_ODI.asp?MatchCode=3630,2014-06-03
10,Matches/MatchScorecard_ODI.asp?MatchCode=3627,2014-04-03
11,Matches/MatchScorecard_T20.asp?MatchCode=0391,2014-03-25
12,Matches/MatchScorecard_ODI.asp?MatchCode=3619,2014-02-26
13,Matches/MatchScorecard_ODI.asp?MatchCode=3616,2014-02-22
14,Matches/MatchScorecard_ODI.asp?MatchCode=3615,2014-02-20
15,Matches/MatchScorecard_ODI.asp?MatchCode=3614,2014-02-17
16,Matches/MatchScorecard_T20.asp?MatchCode=0402,2014-01-04
17,Matches/MatchScorecard_ODI.asp?MatchCode=3623,2014-01-03
18,Matches/MatchScorecard_T20.asp?MatchCode=0320,2013-12-05
19,Matches/MatchScorecard_ODI.asp?MatchCode=3570,2013-10-31
20,Matches/MatchScorecard_ODI.asp?MatchCode=3567,2013-10-29
21,Matches/MatchScorecard_T20.asp?MatchCode=0337,2013-06-11
22,Matches/MatchScorecard_ODI.asp?MatchCode=3495,2013-05-05
23,Matches/MatchScorecard_T20.asp?MatchCode=0316,2013-03-31
24,Matches/MatchScorecard_ODI.asp?MatchCode=3493,2013-03-28
25,Matches/MatchScorecard_ODI.asp?MatchCode=3492,2013-03-25
26,Matches/MatchScorecard_ODI.asp?MatchCode=3573,2013-03-11
27,Matches/MatchScorecard_ODI.asp?MatchCode=3494,2013-03-05
28,Matches/MatchScorecard_ODI.asp?MatchCode=3450,2012-11-30
29,Matches/MatchScorecard_T20.asp?MatchCode=0294,2012-10-12
30,Matches/MatchScorecard_ODI.asp?MatchCode=3454,2012-08-12
31,Matches/MatchScorecard_ODI.asp?MatchCode=3453,2012-07-12
32,Matches/MatchScorecard_ODI.asp?MatchCode=3452,2012-05-12
33,Matches/MatchScorecard_ODI.asp?MatchCode=3451,2012-02-12
