matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-08-01
../Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-06-01
../Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-03-01
../Matches/MatchScorecard_ODI.asp?MatchCode=3971,2016-12-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3970,2016-12-29
../Matches/MatchScorecard_T20.asp?MatchCode=0526,2016-02-28
../Matches/MatchScorecard_T20.asp?MatchCode=0524,2016-02-26
../Matches/MatchScorecard_T20.asp?MatchCode=0497,2016-01-22
../Matches/MatchScorecard_T20.asp?MatchCode=0495,2016-01-20
../Matches/MatchScorecard_T20.asp?MatchCode=0494,2016-01-17
../Matches/MatchScorecard_T20.asp?MatchCode=0493,2016-01-15
