,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4410,2020-11-02
1,Matches/MatchScorecard_ODI.asp?MatchCode=4406,2020-08-02
2,Matches/MatchScorecard_ODI.asp?MatchCode=4402,2020-05-02
3,Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
4,Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
5,Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
6,Matches/MatchScorecard_ODI.asp?MatchCode=4400,2020-01-19
7,Matches/MatchScorecard_ODI.asp?MatchCode=4399,2020-01-17
8,Matches/MatchScorecard_ODI.asp?MatchCode=4398,2020-01-14
9,Matches/MatchScorecard_ODI.asp?MatchCode=4388,2019-12-22
10,Matches/MatchScorecard_ODI.asp?MatchCode=4387,2019-12-18
11,Matches/MatchScorecard_ODI.asp?MatchCode=4385,2019-12-15
12,Matches/MatchScorecard_ODI.asp?MatchCode=4234,2019-12-01
13,Matches/MatchScorecard_ODI.asp?MatchCode=4360,2019-11-08
14,Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
15,Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
16,Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
17,Matches/MatchScorecard_ODI.asp?MatchCode=4362,2019-08-14
18,Matches/MatchScorecard_T20.asp?MatchCode=1065,2019-08-12
19,Matches/MatchScorecard_ODI.asp?MatchCode=4359,2019-08-08
20,Matches/MatchScorecard_ODI.asp?MatchCode=4266,2019-08-03
21,Matches/MatchScorecard_T20.asp?MatchCode=1063,2019-06-12
22,Matches/MatchScorecard_ODI.asp?MatchCode=4350,2019-06-07
23,Matches/MatchScorecard_ODI.asp?MatchCode=4263,2019-05-03
24,Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-04-08
25,Matches/MatchScorecard_ODI.asp?MatchCode=4270,2019-03-13
26,Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-03-08
27,Matches/MatchScorecard_ODI.asp?MatchCode=4258,2019-02-03
28,Matches/MatchScorecard_ODI.asp?MatchCode=4236,2019-01-18
29,Matches/MatchScorecard_ODI.asp?MatchCode=4235,2019-01-15
30,Matches/MatchScorecard_ODI.asp?MatchCode=4220,2018-10-29
31,Matches/MatchScorecard_ODI.asp?MatchCode=4216,2018-10-24
32,Matches/MatchScorecard_ODI.asp?MatchCode=4213,2018-10-21
33,Matches/MatchScorecard_ODI.asp?MatchCode=4205,2018-09-28
34,Matches/MatchScorecard_ODI.asp?MatchCode=4203,2018-09-25
35,Matches/MatchScorecard_ODI.asp?MatchCode=4201,2018-09-23
36,Matches/MatchScorecard_ODI.asp?MatchCode=4199,2018-09-21
37,Matches/MatchScorecard_ODI.asp?MatchCode=4221,2018-01-11
38,Matches/MatchScorecard_ODI.asp?MatchCode=4042,2017-11-06
39,Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-09-07
40,Matches/MatchScorecard_ODI.asp?MatchCode=4038,2017-08-06
41,Matches/MatchScorecard_ODI.asp?MatchCode=4050,2017-06-18
42,Matches/MatchScorecard_ODI.asp?MatchCode=4047,2017-06-15
43,Matches/MatchScorecard_ODI.asp?MatchCode=4057,2017-06-07
44,Matches/MatchScorecard_ODI.asp?MatchCode=4034,2017-04-06
45,Matches/MatchScorecard_ODI.asp?MatchCode=4056,2017-02-07
46,Matches/MatchScorecard_ODI.asp?MatchCode=3978,2017-01-22
47,Matches/MatchScorecard_ODI.asp?MatchCode=3976,2017-01-19
48,Matches/MatchScorecard_ODI.asp?MatchCode=3974,2017-01-15
49,Matches/MatchScorecard_T20.asp?MatchCode=0510,2016-12-02
50,Matches/MatchScorecard_ODI.asp?MatchCode=3874,2016-12-01
51,Matches/MatchScorecard_T20.asp?MatchCode=0509,2016-09-02
52,Matches/MatchScorecard_T20.asp?MatchCode=0576,2016-08-28
53,Matches/MatchScorecard_T20.asp?MatchCode=0575,2016-08-27
54,Matches/MatchScorecard_T20.asp?MatchCode=0534,2016-06-03
55,Matches/MatchScorecard_T20.asp?MatchCode=0569,2016-03-31
56,Matches/MatchScorecard_T20.asp?MatchCode=0566,2016-03-27
57,Matches/MatchScorecard_T20.asp?MatchCode=0560,2016-03-23
58,Matches/MatchScorecard_T20.asp?MatchCode=0554,2016-03-19
59,Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
60,Matches/MatchScorecard_T20.asp?MatchCode=0525,2016-02-27
61,Matches/MatchScorecard_T20.asp?MatchCode=0522,2016-02-24
62,Matches/MatchScorecard_T20.asp?MatchCode=0511,2016-02-14
63,Matches/MatchScorecard_T20.asp?MatchCode=0501,2016-01-31
64,Matches/MatchScorecard_T20.asp?MatchCode=0499,2016-01-29
65,Matches/MatchScorecard_T20.asp?MatchCode=0498,2016-01-26
66,Matches/MatchScorecard_ODI.asp?MatchCode=3878,2016-01-23
67,Matches/MatchScorecard_ODI.asp?MatchCode=3877,2016-01-20
68,Matches/MatchScorecard_ODI.asp?MatchCode=3876,2016-01-17
69,Matches/MatchScorecard_ODI.asp?MatchCode=3875,2016-01-15
70,Matches/MatchScorecard_T20.asp?MatchCode=0528,2016-01-03
71,Matches/MatchScorecard_ODI.asp?MatchCode=3781,2015-10-03
72,Matches/MatchScorecard_ODI.asp?MatchCode=3810,2015-06-21
73,Matches/MatchScorecard_ODI.asp?MatchCode=3808,2015-06-18
74,Matches/MatchScorecard_ODI.asp?MatchCode=3775,2015-06-03
75,Matches/MatchScorecard_ODI.asp?MatchCode=3795,2015-03-26
76,Matches/MatchScorecard_ODI.asp?MatchCode=3791,2015-03-19
77,Matches/MatchScorecard_ODI.asp?MatchCode=3786,2015-03-14
78,Matches/MatchScorecard_ODI.asp?MatchCode=3768,2015-02-28
79,Matches/MatchScorecard_ODI.asp?MatchCode=3760,2015-02-22
80,Matches/MatchScorecard_ODI.asp?MatchCode=3751,2015-02-15
81,Matches/MatchScorecard_ODI.asp?MatchCode=3744,2015-01-30
82,Matches/MatchScorecard_ODI.asp?MatchCode=3741,2015-01-26
83,Matches/MatchScorecard_ODI.asp?MatchCode=3680,2014-11-10
84,Matches/MatchScorecard_ODI.asp?MatchCode=3683,2014-10-17
85,Matches/MatchScorecard_ODI.asp?MatchCode=3667,2014-08-30
86,Matches/MatchScorecard_ODI.asp?MatchCode=3664,2014-08-27
87,Matches/MatchScorecard_ODI.asp?MatchCode=3678,2014-08-10
88,Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-07-09
89,Matches/MatchScorecard_ODI.asp?MatchCode=3689,2014-06-11
90,Matches/MatchScorecard_T20.asp?MatchCode=0406,2014-06-04
91,Matches/MatchScorecard_ODI.asp?MatchCode=3672,2014-05-09
92,Matches/MatchScorecard_ODI.asp?MatchCode=3628,2014-05-03
93,Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04
94,Matches/MatchScorecard_T20.asp?MatchCode=0399,2014-03-30
95,Matches/MatchScorecard_T20.asp?MatchCode=0395,2014-03-28
96,Matches/MatchScorecard_T20.asp?MatchCode=0388,2014-03-23
97,Matches/MatchScorecard_T20.asp?MatchCode=0384,2014-03-21
98,Matches/MatchScorecard_ODI.asp?MatchCode=3621,2014-02-28
99,Matches/MatchScorecard_ODI.asp?MatchCode=3619,2014-02-26
100,Matches/MatchScorecard_ODI.asp?MatchCode=3670,2014-02-09
101,Matches/MatchScorecard_ODI.asp?MatchCode=3612,2014-01-31
102,Matches/MatchScorecard_ODI.asp?MatchCode=3609,2014-01-28
103,Matches/MatchScorecard_ODI.asp?MatchCode=3607,2014-01-25
104,Matches/MatchScorecard_ODI.asp?MatchCode=3603,2014-01-22
105,Matches/MatchScorecard_ODI.asp?MatchCode=3601,2014-01-19
106,Matches/MatchScorecard_ODI.asp?MatchCode=3624,2014-01-03
107,Matches/MatchScorecard_ODI.asp?MatchCode=3583,2013-11-27
108,Matches/MatchScorecard_ODI.asp?MatchCode=3581,2013-11-24
109,Matches/MatchScorecard_ODI.asp?MatchCode=3580,2013-11-21
110,Matches/MatchScorecard_ODI.asp?MatchCode=3588,2013-11-12
111,Matches/MatchScorecard_ODI.asp?MatchCode=3530,2013-11-07
112,Matches/MatchScorecard_ODI.asp?MatchCode=3510,2013-11-06
113,Matches/MatchScorecard_ODI.asp?MatchCode=3459,2013-11-01
114,Matches/MatchScorecard_ODI.asp?MatchCode=3568,2013-10-30
115,Matches/MatchScorecard_ODI.asp?MatchCode=3565,2013-10-23
116,Matches/MatchScorecard_ODI.asp?MatchCode=3564,2013-10-19
117,Matches/MatchScorecard_ODI.asp?MatchCode=3563,2013-10-16
118,Matches/MatchScorecard_ODI.asp?MatchCode=3562,2013-10-13
119,Matches/MatchScorecard_T20.asp?MatchCode=0335,2013-10-10
120,Matches/MatchScorecard_ODI.asp?MatchCode=3529,2013-09-07
121,Matches/MatchScorecard_ODI.asp?MatchCode=3587,2013-08-12
122,Matches/MatchScorecard_ODI.asp?MatchCode=3541,2013-07-28
123,Matches/MatchScorecard_ODI.asp?MatchCode=3539,2013-07-26
124,Matches/MatchScorecard_ODI.asp?MatchCode=3537,2013-07-24
125,Matches/MatchScorecard_ODI.asp?MatchCode=3521,2013-06-30
126,Matches/MatchScorecard_ODI.asp?MatchCode=3519,2013-06-23
127,Matches/MatchScorecard_ODI.asp?MatchCode=3518,2013-06-20
128,Matches/MatchScorecard_ODI.asp?MatchCode=3514,2013-06-15
129,Matches/MatchScorecard_ODI.asp?MatchCode=3505,2013-06-06
130,Matches/MatchScorecard_ODI.asp?MatchCode=3457,2013-06-01
131,Matches/MatchScorecard_ODI.asp?MatchCode=3586,2013-05-12
132,Matches/MatchScorecard_ODI.asp?MatchCode=3525,2013-05-07
133,Matches/MatchScorecard_ODI.asp?MatchCode=3545,2013-03-08
134,Matches/MatchScorecard_ODI.asp?MatchCode=3456,2013-03-01
135,Matches/MatchScorecard_ODI.asp?MatchCode=3572,2013-02-11
136,Matches/MatchScorecard_ODI.asp?MatchCode=3524,2013-02-07
137,Matches/MatchScorecard_ODI.asp?MatchCode=3470,2013-01-27
138,Matches/MatchScorecard_ODI.asp?MatchCode=3468,2013-01-23
139,Matches/MatchScorecard_ODI.asp?MatchCode=3463,2013-01-19
140,Matches/MatchScorecard_ODI.asp?MatchCode=3461,2013-01-15
141,Matches/MatchScorecard_ODI.asp?MatchCode=3544,2013-01-08
142,Matches/MatchScorecard_T20.asp?MatchCode=0299,2012-12-25
143,Matches/MatchScorecard_T20.asp?MatchCode=0295,2012-12-20
144,Matches/MatchScorecard_ODI.asp?MatchCode=3373,2012-12-02
145,Matches/MatchScorecard_ODI.asp?MatchCode=3369,2012-08-02
146,Matches/MatchScorecard_ODI.asp?MatchCode=3367,2012-05-02
147,Matches/MatchScorecard_ODI.asp?MatchCode=3397,2012-03-16
148,Matches/MatchScorecard_ODI.asp?MatchCode=3395,2012-03-13
149,Matches/MatchScorecard_T20.asp?MatchCode=0220,2012-03-02
150,Matches/MatchScorecard_ODI.asp?MatchCode=3387,2012-02-28
151,Matches/MatchScorecard_ODI.asp?MatchCode=3386,2012-02-26
152,Matches/MatchScorecard_ODI.asp?MatchCode=3382,2012-02-21
153,Matches/MatchScorecard_ODI.asp?MatchCode=3380,2012-02-19
154,Matches/MatchScorecard_ODI.asp?MatchCode=3375,2012-02-14
155,Matches/MatchScorecard_T20.asp?MatchCode=0219,2012-01-02
156,Matches/MatchScorecard_ODI.asp?MatchCode=3353,2011-11-29
157,Matches/MatchScorecard_ODI.asp?MatchCode=3360,2011-11-12
158,Matches/MatchScorecard_ODI.asp?MatchCode=3327,2011-11-09
159,Matches/MatchScorecard_T20.asp?MatchCode=0216,2011-10-29
160,Matches/MatchScorecard_ODI.asp?MatchCode=3346,2011-10-25
161,Matches/MatchScorecard_ODI.asp?MatchCode=3343,2011-10-23
162,Matches/MatchScorecard_ODI.asp?MatchCode=3341,2011-10-20
163,Matches/MatchScorecard_ODI.asp?MatchCode=3337,2011-10-17
164,Matches/MatchScorecard_ODI.asp?MatchCode=3335,2011-10-14
165,Matches/MatchScorecard_ODI.asp?MatchCode=3331,2011-09-16
166,Matches/MatchScorecard_ODI.asp?MatchCode=3325,2011-09-09
167,Matches/MatchScorecard_ODI.asp?MatchCode=3359,2011-08-12
168,Matches/MatchScorecard_ODI.asp?MatchCode=3357,2011-05-12
169,Matches/MatchScorecard_ODI.asp?MatchCode=3355,2011-02-12
170,Matches/MatchScorecard_ODI.asp?MatchCode=3072,2010-11-01
171,Matches/MatchScorecard_ODI.asp?MatchCode=3161,2010-10-08
172,Matches/MatchScorecard_ODI.asp?MatchCode=3071,2010-10-01
173,Matches/MatchScorecard_T20.asp?MatchCode=0170,2010-09-05
174,Matches/MatchScorecard_ODI.asp?MatchCode=3170,2010-08-25
175,Matches/MatchScorecard_ODI.asp?MatchCode=3169,2010-08-21
176,Matches/MatchScorecard_ODI.asp?MatchCode=3163,2010-08-16
177,Matches/MatchScorecard_T20.asp?MatchCode=0166,2010-07-05
178,Matches/MatchScorecard_ODI.asp?MatchCode=3069,2010-07-01
179,Matches/MatchScorecard_ODI.asp?MatchCode=3130,2010-06-24
180,Matches/MatchScorecard_ODI.asp?MatchCode=3132,2010-06-22
181,Matches/MatchScorecard_ODI.asp?MatchCode=3126,2010-06-19
182,Matches/MatchScorecard_ODI.asp?MatchCode=3123,2010-06-16
183,Matches/MatchScorecard_ODI.asp?MatchCode=3113,2010-05-30
184,Matches/MatchScorecard_ODI.asp?MatchCode=3111,2010-05-28
185,Matches/MatchScorecard_ODI.asp?MatchCode=3118,2010-05-06
186,Matches/MatchScorecard_ODI.asp?MatchCode=3068,2010-05-01
187,Matches/MatchScorecard_ODI.asp?MatchCode=3208,2010-04-12
188,Matches/MatchScorecard_ODI.asp?MatchCode=3116,2010-03-06
189,Matches/MatchScorecard_ODI.asp?MatchCode=3093,2010-02-27
190,Matches/MatchScorecard_ODI.asp?MatchCode=3092,2010-02-24
191,Matches/MatchScorecard_ODI.asp?MatchCode=3091,2010-02-21
192,Matches/MatchScorecard_T20.asp?MatchCode=0156,2010-02-05
193,Matches/MatchScorecard_ODI.asp?MatchCode=3073,2010-01-13
194,Matches/MatchScorecard_T20.asp?MatchCode=0154,2010-01-05
195,Matches/MatchScorecard_ODI.asp?MatchCode=3066,2009-12-27
196,Matches/MatchScorecard_ODI.asp?MatchCode=3065,2009-12-24
197,Matches/MatchScorecard_ODI.asp?MatchCode=3064,2009-12-21
198,Matches/MatchScorecard_ODI.asp?MatchCode=3063,2009-12-18
199,Matches/MatchScorecard_ODI.asp?MatchCode=3062,2009-12-15
200,Matches/MatchScorecard_T20.asp?MatchCode=0129,2009-12-12
201,Matches/MatchScorecard_ODI.asp?MatchCode=3045,2009-10-31
202,Matches/MatchScorecard_ODI.asp?MatchCode=3042,2009-10-28
203,Matches/MatchScorecard_ODI.asp?MatchCode=3040,2009-10-25
204,Matches/MatchScorecard_T20.asp?MatchCode=0083,2009-10-02
205,Matches/MatchScorecard_ODI.asp?MatchCode=3052,2009-08-11
206,Matches/MatchScorecard_ODI.asp?MatchCode=2940,2009-08-02
207,Matches/MatchScorecard_ODI.asp?MatchCode=2976,2009-06-28
208,Matches/MatchScorecard_ODI.asp?MatchCode=2975,2009-06-26
209,Matches/MatchScorecard_T20.asp?MatchCode=0114,2009-06-16
210,Matches/MatchScorecard_T20.asp?MatchCode=0110,2009-06-14
211,Matches/MatchScorecard_ODI.asp?MatchCode=3050,2009-05-11
212,Matches/MatchScorecard_T20.asp?MatchCode=0086,2009-02-27
213,Matches/MatchScorecard_ODI.asp?MatchCode=3046,2009-02-11
