,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=1122,2020-06-03
1,Matches/MatchScorecard_T20.asp?MatchCode=1119,2020-04-03
2,Matches/MatchScorecard_T20.asp?MatchCode=1073,2020-01-19
3,Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-06-08
4,Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-04-08
5,Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-03-08
6,Matches/MatchScorecard_T20.asp?MatchCode=0735,2018-12-22
7,Matches/MatchScorecard_T20.asp?MatchCode=0734,2018-12-20
8,Matches/MatchScorecard_T20.asp?MatchCode=0733,2018-12-17
9,Matches/MatchScorecard_ODI.asp?MatchCode=4230,2018-12-14
10,Matches/MatchScorecard_ODI.asp?MatchCode=4229,2018-11-12
11,Matches/MatchScorecard_ODI.asp?MatchCode=4220,2018-10-29
12,Matches/MatchScorecard_ODI.asp?MatchCode=4219,2018-10-27
13,Matches/MatchScorecard_ODI.asp?MatchCode=4216,2018-10-24
14,Matches/MatchScorecard_ODI.asp?MatchCode=4213,2018-10-21
15,Matches/MatchScorecard_ODI.asp?MatchCode=4150,2018-10-03
16,Matches/MatchScorecard_ODI.asp?MatchCode=4228,2018-09-12
17,Matches/MatchScorecard_ODI.asp?MatchCode=4148,2018-08-03
18,Matches/MatchScorecard_T20.asp?MatchCode=0707,2018-07-31
19,Matches/MatchScorecard_ODI.asp?MatchCode=4181,2018-07-28
20,Matches/MatchScorecard_ODI.asp?MatchCode=4180,2018-07-25
21,Matches/MatchScorecard_ODI.asp?MatchCode=4179,2018-07-22
22,Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-05-08
23,Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-04-11
24,Matches/MatchScorecard_T20.asp?MatchCode=0709,2018-04-08
25,Matches/MatchScorecard_ODI.asp?MatchCode=4164,2018-03-25
26,Matches/MatchScorecard_ODI.asp?MatchCode=4161,2018-03-21
27,Matches/MatchScorecard_ODI.asp?MatchCode=4159,2018-03-19
28,Matches/MatchScorecard_ODI.asp?MatchCode=4154,2018-03-15
29,Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-03-04
30,Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-03-01
31,Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-02-04
32,Matches/MatchScorecard_ODI.asp?MatchCode=4221,2018-01-11
33,Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-01-04
34,Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
35,Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
36,Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
37,Matches/MatchScorecard_ODI.asp?MatchCode=4101,2017-12-23
38,Matches/MatchScorecard_ODI.asp?MatchCode=4100,2017-12-20
39,Matches/MatchScorecard_ODI.asp?MatchCode=4043,2017-11-06
40,Matches/MatchScorecard_ODI.asp?MatchCode=4075,2017-09-29
41,Matches/MatchScorecard_ODI.asp?MatchCode=4073,2017-09-27
42,Matches/MatchScorecard_ODI.asp?MatchCode=4072,2017-09-24
43,Matches/MatchScorecard_ODI.asp?MatchCode=4070,2017-09-21
44,Matches/MatchScorecard_ODI.asp?MatchCode=4068,2017-09-19
45,Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
46,Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-09-07
47,Matches/MatchScorecard_ODI.asp?MatchCode=4053,2017-06-30
48,Matches/MatchScorecard_ODI.asp?MatchCode=4046,2017-06-14
49,Matches/MatchScorecard_ODI.asp?MatchCode=4057,2017-06-07
50,Matches/MatchScorecard_T20.asp?MatchCode=0627,2017-05-06
51,Matches/MatchScorecard_T20.asp?MatchCode=0617,2017-03-30
52,Matches/MatchScorecard_T20.asp?MatchCode=0616,2017-03-26
53,Matches/MatchScorecard_T20.asp?MatchCode=0626,2017-03-06
54,Matches/MatchScorecard_ODI.asp?MatchCode=4056,2017-02-07
55,Matches/MatchScorecard_T20.asp?MatchCode=0625,2017-02-06
56,Matches/MatchScorecard_ODI.asp?MatchCode=3964,2016-11-25
57,Matches/MatchScorecard_ODI.asp?MatchCode=3963,2016-11-23
58,Matches/MatchScorecard_ODI.asp?MatchCode=3961,2016-11-19
59,Matches/MatchScorecard_ODI.asp?MatchCode=3960,2016-11-16
