matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1124,2020-08-03
Matches/MatchScorecard_T20.asp?MatchCode=1120,2020-06-03
Matches/MatchScorecard_ODI.asp?MatchCode=4267,2019-10-03
Matches/MatchScorecard_ODI.asp?MatchCode=4340,2019-06-29
Matches/MatchScorecard_ODI.asp?MatchCode=4335,2019-06-24
Matches/MatchScorecard_ODI.asp?MatchCode=4262,2019-05-03
Matches/MatchScorecard_ODI.asp?MatchCode=4348,2019-04-07
Matches/MatchScorecard_T20.asp?MatchCode=0764,2019-02-23
Matches/MatchScorecard_T20.asp?MatchCode=0763,2019-02-21
Matches/MatchScorecard_ODI.asp?MatchCode=4202,2018-09-23
Matches/MatchScorecard_ODI.asp?MatchCode=4198,2018-09-20
Matches/MatchScorecard_T20.asp?MatchCode=0713,2018-08-22
Matches/MatchScorecard_T20.asp?MatchCode=0712,2018-08-20
Matches/MatchScorecard_ODI.asp?MatchCode=4147,2018-08-03
Matches/MatchScorecard_T20.asp?MatchCode=0684,2018-07-06
Matches/MatchScorecard_T20.asp?MatchCode=0683,2018-05-06
Matches/MatchScorecard_ODI.asp?MatchCode=4164,2018-03-25
Matches/MatchScorecard_ODI.asp?MatchCode=4163,2018-03-23
Matches/MatchScorecard_ODI.asp?MatchCode=4160,2018-03-20
Matches/MatchScorecard_ODI.asp?MatchCode=4154,2018-03-15
Matches/MatchScorecard_T20.asp?MatchCode=0681,2018-03-06
Matches/MatchScorecard_ODI.asp?MatchCode=4136,2018-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0615,2017-12-03
Matches/MatchScorecard_ODI.asp?MatchCode=4043,2017-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0614,2017-10-03
Matches/MatchScorecard_ODI.asp?MatchCode=4040,2017-09-06
Matches/MatchScorecard_T20.asp?MatchCode=0613,2017-08-03
Matches/MatchScorecard_ODI.asp?MatchCode=4010,2017-03-24
Matches/MatchScorecard_ODI.asp?MatchCode=4008,2017-03-19
