,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=0925,2019-09-21
1,Matches/MatchScorecard_T20.asp?MatchCode=0919,2019-09-18
2,Matches/MatchScorecard_T20.asp?MatchCode=0914,2019-09-15
3,Matches/MatchScorecard_T20.asp?MatchCode=0912,2019-09-13
4,Matches/MatchScorecard_ODI.asp?MatchCode=4314,2019-08-06
5,Matches/MatchScorecard_ODI.asp?MatchCode=4286,2019-07-05
6,Matches/MatchScorecard_ODI.asp?MatchCode=4335,2019-06-24
7,Matches/MatchScorecard_ODI.asp?MatchCode=4329,2019-06-20
8,Matches/MatchScorecard_ODI.asp?MatchCode=4325,2019-06-17
9,Matches/MatchScorecard_ODI.asp?MatchCode=4295,2019-05-15
10,Matches/MatchScorecard_ODI.asp?MatchCode=4293,2019-05-13
11,Matches/MatchScorecard_ODI.asp?MatchCode=4349,2019-05-07
12,Matches/MatchScorecard_ODI.asp?MatchCode=4311,2019-05-06
13,Matches/MatchScorecard_ODI.asp?MatchCode=4345,2019-02-07
14,Matches/MatchScorecard_ODI.asp?MatchCode=4307,2019-02-06
15,Matches/MatchScorecard_T20.asp?MatchCode=0735,2018-12-22
16,Matches/MatchScorecard_T20.asp?MatchCode=0734,2018-12-20
17,Matches/MatchScorecard_T20.asp?MatchCode=0733,2018-12-17
18,Matches/MatchScorecard_ODI.asp?MatchCode=4230,2018-12-14
19,Matches/MatchScorecard_ODI.asp?MatchCode=4229,2018-11-12
20,Matches/MatchScorecard_ODI.asp?MatchCode=4202,2018-09-23
21,Matches/MatchScorecard_ODI.asp?MatchCode=4199,2018-09-21
22,Matches/MatchScorecard_ODI.asp?MatchCode=4198,2018-09-20
23,Matches/MatchScorecard_ODI.asp?MatchCode=4193,2018-09-15
24,Matches/MatchScorecard_ODI.asp?MatchCode=4228,2018-09-12
25,Matches/MatchScorecard_T20.asp?MatchCode=0707,2018-07-31
26,Matches/MatchScorecard_ODI.asp?MatchCode=4181,2018-07-28
27,Matches/MatchScorecard_ODI.asp?MatchCode=4180,2018-07-25
28,Matches/MatchScorecard_ODI.asp?MatchCode=4179,2018-07-22
29,Matches/MatchScorecard_T20.asp?MatchCode=0684,2018-07-06
30,Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-05-08
31,Matches/MatchScorecard_T20.asp?MatchCode=0683,2018-05-06
32,Matches/MatchScorecard_T20.asp?MatchCode=0709,2018-04-08
33,Matches/MatchScorecard_T20.asp?MatchCode=0677,2018-03-18
34,Matches/MatchScorecard_T20.asp?MatchCode=0676,2018-03-16
35,Matches/MatchScorecard_T20.asp?MatchCode=0681,2018-03-06
36,Matches/MatchScorecard_ODI.asp?MatchCode=4124,2018-01-27
37,Matches/MatchScorecard_ODI.asp?MatchCode=4122,2018-01-25
38,Matches/MatchScorecard_ODI.asp?MatchCode=4121,2018-01-23
39,Matches/MatchScorecard_ODI.asp?MatchCode=4116,2018-01-19
40,Matches/MatchScorecard_ODI.asp?MatchCode=4109,2018-01-15
41,Matches/MatchScorecard_ODI.asp?MatchCode=4022,2017-12-05
42,Matches/MatchScorecard_T20.asp?MatchCode=0644,2017-10-29
43,Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
44,Matches/MatchScorecard_ODI.asp?MatchCode=4086,2017-10-22
45,Matches/MatchScorecard_ODI.asp?MatchCode=4083,2017-10-18
46,Matches/MatchScorecard_ODI.asp?MatchCode=4080,2017-10-15
47,Matches/MatchScorecard_ODI.asp?MatchCode=4039,2017-09-06
48,Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-08-01
49,Matches/MatchScorecard_ODI.asp?MatchCode=4047,2017-06-15
50,Matches/MatchScorecard_T20.asp?MatchCode=0621,2017-06-04
51,Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-06-01
52,Matches/MatchScorecard_ODI.asp?MatchCode=4027,2017-05-24
53,Matches/MatchScorecard_ODI.asp?MatchCode=4025,2017-05-19
54,Matches/MatchScorecard_ODI.asp?MatchCode=4024,2017-05-17
55,Matches/MatchScorecard_ODI.asp?MatchCode=4035,2017-05-06
56,Matches/MatchScorecard_T20.asp?MatchCode=0620,2017-04-04
57,Matches/MatchScorecard_ODI.asp?MatchCode=4012,2017-03-28
58,Matches/MatchScorecard_ODI.asp?MatchCode=4011,2017-03-25
59,Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-03-01
60,Matches/MatchScorecard_ODI.asp?MatchCode=4031,2017-01-06
61,Matches/MatchScorecard_ODI.asp?MatchCode=4014,2017-01-04
62,Matches/MatchScorecard_ODI.asp?MatchCode=3971,2016-12-31
63,Matches/MatchScorecard_ODI.asp?MatchCode=3970,2016-12-29
64,Matches/MatchScorecard_ODI.asp?MatchCode=3969,2016-12-26
65,Matches/MatchScorecard_ODI.asp?MatchCode=3949,2016-12-10
66,Matches/MatchScorecard_T20.asp?MatchCode=0543,2016-11-03
67,Matches/MatchScorecard_ODI.asp?MatchCode=3938,2016-09-28
68,Matches/MatchScorecard_ODI.asp?MatchCode=3936,2016-09-25
69,Matches/MatchScorecard_ODI.asp?MatchCode=3948,2016-09-10
70,Matches/MatchScorecard_T20.asp?MatchCode=0537,2016-09-03
71,Matches/MatchScorecard_ODI.asp?MatchCode=3946,2016-07-10
72,Matches/MatchScorecard_T20.asp?MatchCode=0534,2016-06-03
73,Matches/MatchScorecard_T20.asp?MatchCode=0563,2016-03-26
74,Matches/MatchScorecard_T20.asp?MatchCode=0560,2016-03-23
75,Matches/MatchScorecard_T20.asp?MatchCode=0557,2016-03-21
76,Matches/MatchScorecard_T20.asp?MatchCode=0549,2016-03-16
77,Matches/MatchScorecard_T20.asp?MatchCode=0547,2016-03-13
78,Matches/MatchScorecard_T20.asp?MatchCode=0526,2016-02-28
79,Matches/MatchScorecard_T20.asp?MatchCode=0524,2016-02-26
80,Matches/MatchScorecard_T20.asp?MatchCode=0522,2016-02-24
81,Matches/MatchScorecard_T20.asp?MatchCode=0529,2016-02-03
82,Matches/MatchScorecard_T20.asp?MatchCode=0497,2016-01-22
83,Matches/MatchScorecard_T20.asp?MatchCode=0495,2016-01-20
84,Matches/MatchScorecard_T20.asp?MatchCode=0494,2016-01-17
85,Matches/MatchScorecard_T20.asp?MatchCode=0493,2016-01-15
86,Matches/MatchScorecard_ODI.asp?MatchCode=3941,2016-01-10
87,Matches/MatchScorecard_ODI.asp?MatchCode=3816,2015-12-07
88,Matches/MatchScorecard_ODI.asp?MatchCode=3813,2015-10-07
89,Matches/MatchScorecard_ODI.asp?MatchCode=3780,2015-09-03
90,Matches/MatchScorecard_ODI.asp?MatchCode=3818,2015-07-15
91,Matches/MatchScorecard_ODI.asp?MatchCode=3854,2015-07-11
92,Matches/MatchScorecard_T20.asp?MatchCode=0438,2015-07-07
93,Matches/MatchScorecard_ODI.asp?MatchCode=3811,2015-06-24
94,Matches/MatchScorecard_ODI.asp?MatchCode=3810,2015-06-21
95,Matches/MatchScorecard_ODI.asp?MatchCode=3808,2015-06-18
96,Matches/MatchScorecard_T20.asp?MatchCode=0437,2015-05-07
97,Matches/MatchScorecard_T20.asp?MatchCode=0425,2015-04-24
98,Matches/MatchScorecard_ODI.asp?MatchCode=3799,2015-04-22
99,Matches/MatchScorecard_ODI.asp?MatchCode=3798,2015-04-19
100,Matches/MatchScorecard_ODI.asp?MatchCode=3797,2015-04-17
101,Matches/MatchScorecard_ODI.asp?MatchCode=3774,2015-04-03
102,Matches/MatchScorecard_ODI.asp?MatchCode=3791,2015-03-19
103,Matches/MatchScorecard_ODI.asp?MatchCode=3784,2015-03-13
104,Matches/MatchScorecard_ODI.asp?MatchCode=3765,2015-02-26
105,Matches/MatchScorecard_ODI.asp?MatchCode=3754,2015-02-18
106,Matches/MatchScorecard_T20.asp?MatchCode=0362,2014-12-02
107,Matches/MatchScorecard_ODI.asp?MatchCode=3704,2014-11-28
108,Matches/MatchScorecard_ODI.asp?MatchCode=3702,2014-11-26
109,Matches/MatchScorecard_ODI.asp?MatchCode=3701,2014-11-23
110,Matches/MatchScorecard_ODI.asp?MatchCode=3699,2014-11-21
111,Matches/MatchScorecard_ODI.asp?MatchCode=3645,2014-06-19
112,Matches/MatchScorecard_ODI.asp?MatchCode=3644,2014-06-17
113,Matches/MatchScorecard_ODI.asp?MatchCode=3643,2014-06-15
114,Matches/MatchScorecard_ODI.asp?MatchCode=3630,2014-06-03
115,Matches/MatchScorecard_ODI.asp?MatchCode=3627,2014-04-03
116,Matches/MatchScorecard_T20.asp?MatchCode=0398,2014-03-30
117,Matches/MatchScorecard_T20.asp?MatchCode=0395,2014-03-28
118,Matches/MatchScorecard_T20.asp?MatchCode=0391,2014-03-25
119,Matches/MatchScorecard_T20.asp?MatchCode=0381,2014-03-20
120,Matches/MatchScorecard_T20.asp?MatchCode=0377,2014-03-18
121,Matches/MatchScorecard_T20.asp?MatchCode=0372,2014-03-16
122,Matches/MatchScorecard_ODI.asp?MatchCode=3615,2014-02-20
