,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=1069,2020-07-01
1,Matches/MatchScorecard_T20.asp?MatchCode=1068,2020-05-01
2,Matches/MatchScorecard_T20.asp?MatchCode=1081,2020-02-02
3,Matches/MatchScorecard_T20.asp?MatchCode=1080,2020-01-31
4,Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
5,Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
6,Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
7,Matches/MatchScorecard_ODI.asp?MatchCode=4385,2019-12-15
8,Matches/MatchScorecard_T20.asp?MatchCode=1067,2019-11-12
9,Matches/MatchScorecard_T20.asp?MatchCode=1055,2019-10-11
10,Matches/MatchScorecard_T20.asp?MatchCode=1065,2019-08-12
11,Matches/MatchScorecard_T20.asp?MatchCode=1047,2019-07-11
12,Matches/MatchScorecard_T20.asp?MatchCode=1063,2019-06-12
13,Matches/MatchScorecard_T20.asp?MatchCode=1042,2019-03-11
