,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=1129,2020-11-03
1,Matches/MatchScorecard_T20.asp?MatchCode=1127,2020-09-03
2,Matches/MatchScorecard_T20.asp?MatchCode=1076,2020-01-25
3,Matches/MatchScorecard_T20.asp?MatchCode=1075,2020-01-24
4,Matches/MatchScorecard_T20.asp?MatchCode=1055,2019-10-11
5,Matches/MatchScorecard_T20.asp?MatchCode=0914,2019-09-15
6,Matches/MatchScorecard_T20.asp?MatchCode=0912,2019-09-13
7,Matches/MatchScorecard_ODI.asp?MatchCode=4314,2019-08-06
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2019-07-31
9,Matches/MatchScorecard_ODI.asp?MatchCode=4357,2019-07-28
10,Matches/MatchScorecard_ODI.asp?MatchCode=4356,2019-07-26
11,Matches/MatchScorecard_T20.asp?MatchCode=1047,2019-07-11
12,Matches/MatchScorecard_ODI.asp?MatchCode=4286,2019-07-05
13,Matches/MatchScorecard_ODI.asp?MatchCode=4335,2019-06-24
14,Matches/MatchScorecard_ODI.asp?MatchCode=4329,2019-06-20
15,Matches/MatchScorecard_ODI.asp?MatchCode=4325,2019-06-17
16,Matches/MatchScorecard_ODI.asp?MatchCode=4296,2019-05-17
17,Matches/MatchScorecard_ODI.asp?MatchCode=4293,2019-05-13
18,Matches/MatchScorecard_ODI.asp?MatchCode=4349,2019-05-07
19,Matches/MatchScorecard_ODI.asp?MatchCode=4311,2019-05-06
20,Matches/MatchScorecard_T20.asp?MatchCode=1042,2019-03-11
21,Matches/MatchScorecard_ODI.asp?MatchCode=4252,2019-02-20
22,Matches/MatchScorecard_ODI.asp?MatchCode=4251,2019-02-16
23,Matches/MatchScorecard_ODI.asp?MatchCode=4250,2019-02-13
24,Matches/MatchScorecard_ODI.asp?MatchCode=4345,2019-02-07
25,Matches/MatchScorecard_ODI.asp?MatchCode=4307,2019-02-06
26,Matches/MatchScorecard_T20.asp?MatchCode=0735,2018-12-22
27,Matches/MatchScorecard_T20.asp?MatchCode=0734,2018-12-20
28,Matches/MatchScorecard_T20.asp?MatchCode=0733,2018-12-17
29,Matches/MatchScorecard_ODI.asp?MatchCode=4230,2018-12-14
30,Matches/MatchScorecard_ODI.asp?MatchCode=4229,2018-11-12
31,Matches/MatchScorecard_ODI.asp?MatchCode=4218,2018-10-26
32,Matches/MatchScorecard_T20.asp?MatchCode=0673,2018-10-03
33,Matches/MatchScorecard_ODI.asp?MatchCode=4205,2018-09-28
34,Matches/MatchScorecard_ODI.asp?MatchCode=4204,2018-09-26
35,Matches/MatchScorecard_ODI.asp?MatchCode=4228,2018-09-12
36,Matches/MatchScorecard_T20.asp?MatchCode=0672,2018-08-03
37,Matches/MatchScorecard_T20.asp?MatchCode=0707,2018-07-31
38,Matches/MatchScorecard_T20.asp?MatchCode=0684,2018-07-06
39,Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-05-08
40,Matches/MatchScorecard_T20.asp?MatchCode=0683,2018-05-06
41,Matches/MatchScorecard_T20.asp?MatchCode=0709,2018-04-08
42,Matches/MatchScorecard_T20.asp?MatchCode=0677,2018-03-18
43,Matches/MatchScorecard_T20.asp?MatchCode=0676,2018-03-16
44,Matches/MatchScorecard_T20.asp?MatchCode=0675,2018-03-14
45,Matches/MatchScorecard_T20.asp?MatchCode=0666,2018-02-18
46,Matches/MatchScorecard_T20.asp?MatchCode=0663,2018-02-15
47,Matches/MatchScorecard_ODI.asp?MatchCode=4022,2017-12-05
48,Matches/MatchScorecard_T20.asp?MatchCode=0644,2017-10-29
49,Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
50,Matches/MatchScorecard_ODI.asp?MatchCode=4086,2017-10-22
51,Matches/MatchScorecard_ODI.asp?MatchCode=4039,2017-09-06
52,Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-08-01
53,Matches/MatchScorecard_ODI.asp?MatchCode=4047,2017-06-15
54,Matches/MatchScorecard_T20.asp?MatchCode=0621,2017-06-04
55,Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-06-01
56,Matches/MatchScorecard_ODI.asp?MatchCode=4027,2017-05-24
57,Matches/MatchScorecard_ODI.asp?MatchCode=4025,2017-05-19
58,Matches/MatchScorecard_ODI.asp?MatchCode=4024,2017-05-17
59,Matches/MatchScorecard_ODI.asp?MatchCode=4035,2017-05-06
60,Matches/MatchScorecard_T20.asp?MatchCode=0620,2017-04-04
61,Matches/MatchScorecard_ODI.asp?MatchCode=4012,2017-03-28
62,Matches/MatchScorecard_ODI.asp?MatchCode=4011,2017-03-25
63,Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-03-01
64,Matches/MatchScorecard_ODI.asp?MatchCode=4031,2017-01-06
65,Matches/MatchScorecard_ODI.asp?MatchCode=4014,2017-01-04
66,Matches/MatchScorecard_ODI.asp?MatchCode=3969,2016-12-26
67,Matches/MatchScorecard_T20.asp?MatchCode=0543,2016-11-03
68,Matches/MatchScorecard_ODI.asp?MatchCode=3938,2016-09-28
69,Matches/MatchScorecard_ODI.asp?MatchCode=3936,2016-09-25
70,Matches/MatchScorecard_T20.asp?MatchCode=0537,2016-09-03
71,Matches/MatchScorecard_T20.asp?MatchCode=0534,2016-06-03
72,Matches/MatchScorecard_T20.asp?MatchCode=0563,2016-03-26
73,Matches/MatchScorecard_T20.asp?MatchCode=0560,2016-03-23
74,Matches/MatchScorecard_T20.asp?MatchCode=0557,2016-03-21
75,Matches/MatchScorecard_T20.asp?MatchCode=0549,2016-03-16
76,Matches/MatchScorecard_T20.asp?MatchCode=0547,2016-03-13
77,Matches/MatchScorecard_T20.asp?MatchCode=0526,2016-02-28
78,Matches/MatchScorecard_T20.asp?MatchCode=0524,2016-02-26
79,Matches/MatchScorecard_T20.asp?MatchCode=0522,2016-02-24
80,Matches/MatchScorecard_T20.asp?MatchCode=0529,2016-02-03
81,Matches/MatchScorecard_T20.asp?MatchCode=0497,2016-01-22
82,Matches/MatchScorecard_T20.asp?MatchCode=0495,2016-01-20
83,Matches/MatchScorecard_T20.asp?MatchCode=0494,2016-01-17
84,Matches/MatchScorecard_T20.asp?MatchCode=0493,2016-01-15
85,Matches/MatchScorecard_ODI.asp?MatchCode=3941,2016-01-10
86,Matches/MatchScorecard_ODI.asp?MatchCode=3816,2015-12-07
87,Matches/MatchScorecard_ODI.asp?MatchCode=3813,2015-10-07
88,Matches/MatchScorecard_ODI.asp?MatchCode=3780,2015-09-03
89,Matches/MatchScorecard_ODI.asp?MatchCode=3818,2015-07-15
90,Matches/MatchScorecard_T20.asp?MatchCode=0438,2015-07-07
91,Matches/MatchScorecard_ODI.asp?MatchCode=3811,2015-06-24
92,Matches/MatchScorecard_ODI.asp?MatchCode=3810,2015-06-21
93,Matches/MatchScorecard_ODI.asp?MatchCode=3808,2015-06-18
94,Matches/MatchScorecard_T20.asp?MatchCode=0437,2015-05-07
95,Matches/MatchScorecard_T20.asp?MatchCode=0425,2015-04-24
96,Matches/MatchScorecard_ODI.asp?MatchCode=3799,2015-04-22
97,Matches/MatchScorecard_ODI.asp?MatchCode=3798,2015-04-19
98,Matches/MatchScorecard_ODI.asp?MatchCode=3797,2015-04-17
99,Matches/MatchScorecard_ODI.asp?MatchCode=3774,2015-04-03
100,Matches/MatchScorecard_ODI.asp?MatchCode=3791,2015-03-19
101,Matches/MatchScorecard_ODI.asp?MatchCode=3784,2015-03-13
102,Matches/MatchScorecard_ODI.asp?MatchCode=3765,2015-02-26
103,Matches/MatchScorecard_ODI.asp?MatchCode=3754,2015-02-18
104,Matches/MatchScorecard_ODI.asp?MatchCode=3708,2014-01-12
