,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4421,2020-07-03
1,Matches/MatchScorecard_ODI.asp?MatchCode=4419,2020-04-03
2,Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
3,Matches/MatchScorecard_ODI.asp?MatchCode=4415,2020-02-29
4,Matches/MatchScorecard_T20.asp?MatchCode=1109,2020-02-26
5,Matches/MatchScorecard_T20.asp?MatchCode=1091,2020-02-23
6,Matches/MatchScorecard_T20.asp?MatchCode=1089,2020-02-21
7,Matches/MatchScorecard_ODI.asp?MatchCode=4400,2020-01-19
8,Matches/MatchScorecard_ODI.asp?MatchCode=4399,2020-01-17
9,Matches/MatchScorecard_ODI.asp?MatchCode=4398,2020-01-14
10,Matches/MatchScorecard_ODI.asp?MatchCode=4319,2019-12-06
11,Matches/MatchScorecard_ODI.asp?MatchCode=4354,2019-11-07
12,Matches/MatchScorecard_T20.asp?MatchCode=1030,2019-10-30
13,Matches/MatchScorecard_T20.asp?MatchCode=1020,2019-10-27
14,Matches/MatchScorecard_ODI.asp?MatchCode=4316,2019-09-06
15,Matches/MatchScorecard_T20.asp?MatchCode=1050,2019-08-11
16,Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
17,Matches/MatchScorecard_ODI.asp?MatchCode=4336,2019-06-25
18,Matches/MatchScorecard_ODI.asp?MatchCode=4329,2019-06-20
19,Matches/MatchScorecard_ODI.asp?MatchCode=4322,2019-06-15
20,Matches/MatchScorecard_ODI.asp?MatchCode=4351,2019-06-07
21,Matches/MatchScorecard_ODI.asp?MatchCode=4312,2019-06-06
22,Matches/MatchScorecard_T20.asp?MatchCode=1044,2019-05-11
23,Matches/MatchScorecard_T20.asp?MatchCode=1041,2019-03-11
24,Matches/MatchScorecard_T20.asp?MatchCode=1034,2019-01-11
25,Matches/MatchScorecard_ODI.asp?MatchCode=4306,2019-01-06
26,Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
27,Matches/MatchScorecard_ODI.asp?MatchCode=4123,2018-01-26
28,Matches/MatchScorecard_ODI.asp?MatchCode=4117,2018-01-21
29,Matches/MatchScorecard_ODI.asp?MatchCode=4115,2018-01-18
30,Matches/MatchScorecard_ODI.asp?MatchCode=4108,2018-01-14
31,Matches/MatchScorecard_ODI.asp?MatchCode=4041,2017-10-06
32,Matches/MatchScorecard_ODI.asp?MatchCode=4074,2017-09-28
33,Matches/MatchScorecard_ODI.asp?MatchCode=4071,2017-09-24
34,Matches/MatchScorecard_ODI.asp?MatchCode=4069,2017-09-21
35,Matches/MatchScorecard_ODI.asp?MatchCode=4067,2017-09-17
36,Matches/MatchScorecard_ODI.asp?MatchCode=4035,2017-05-06
37,Matches/MatchScorecard_ODI.asp?MatchCode=4032,2017-02-06
38,Matches/MatchScorecard_ODI.asp?MatchCode=3981,2017-01-26
39,Matches/MatchScorecard_ODI.asp?MatchCode=3977,2017-01-22
40,Matches/MatchScorecard_ODI.asp?MatchCode=3975,2017-01-19
41,Matches/MatchScorecard_ODI.asp?MatchCode=3973,2017-01-15
42,Matches/MatchScorecard_ODI.asp?MatchCode=3972,2017-01-13
43,Matches/MatchScorecard_ODI.asp?MatchCode=4076,2017-01-10
44,Matches/MatchScorecard_ODI.asp?MatchCode=3950,2016-12-10
45,Matches/MatchScorecard_ODI.asp?MatchCode=3874,2016-12-01
46,Matches/MatchScorecard_ODI.asp?MatchCode=3896,2016-11-06
47,Matches/MatchScorecard_ODI.asp?MatchCode=3940,2016-09-30
48,Matches/MatchScorecard_ODI.asp?MatchCode=3937,2016-09-27
49,Matches/MatchScorecard_ODI.asp?MatchCode=3968,2016-09-12
50,Matches/MatchScorecard_T20.asp?MatchCode=0539,2016-09-03
51,Matches/MatchScorecard_ODI.asp?MatchCode=3924,2016-08-24
52,Matches/MatchScorecard_ODI.asp?MatchCode=3923,2016-08-21
53,Matches/MatchScorecard_ODI.asp?MatchCode=3947,2016-08-10
54,Matches/MatchScorecard_ODI.asp?MatchCode=3888,2016-08-02
55,Matches/MatchScorecard_ODI.asp?MatchCode=3894,2016-07-06
56,Matches/MatchScorecard_ODI.asp?MatchCode=3909,2016-06-26
57,Matches/MatchScorecard_ODI.asp?MatchCode=3905,2016-06-21
58,Matches/MatchScorecard_ODI.asp?MatchCode=3903,2016-06-19
59,Matches/MatchScorecard_ODI.asp?MatchCode=3898,2016-06-13
60,Matches/MatchScorecard_ODI.asp?MatchCode=3967,2016-06-12
61,Matches/MatchScorecard_T20.asp?MatchCode=0533,2016-06-03
62,Matches/MatchScorecard_ODI.asp?MatchCode=3886,2016-06-02
63,Matches/MatchScorecard_ODI.asp?MatchCode=3945,2016-05-10
64,Matches/MatchScorecard_ODI.asp?MatchCode=3893,2016-05-06
65,Matches/MatchScorecard_ODI.asp?MatchCode=3966,2016-04-12
66,Matches/MatchScorecard_T20.asp?MatchCode=0532,2016-04-03
67,Matches/MatchScorecard_T20.asp?MatchCode=0566,2016-03-27
68,Matches/MatchScorecard_T20.asp?MatchCode=0561,2016-03-25
69,Matches/MatchScorecard_T20.asp?MatchCode=0557,2016-03-21
70,Matches/MatchScorecard_T20.asp?MatchCode=0552,2016-03-18
71,Matches/MatchScorecard_ODI.asp?MatchCode=3884,2016-03-02
72,Matches/MatchScorecard_ODI.asp?MatchCode=3942,2016-02-10
73,Matches/MatchScorecard_T20.asp?MatchCode=0498,2016-01-26
74,Matches/MatchScorecard_ODI.asp?MatchCode=3878,2016-01-23
75,Matches/MatchScorecard_ODI.asp?MatchCode=3877,2016-01-20
76,Matches/MatchScorecard_ODI.asp?MatchCode=3876,2016-01-17
77,Matches/MatchScorecard_ODI.asp?MatchCode=3875,2016-01-15
78,Matches/MatchScorecard_ODI.asp?MatchCode=3834,2015-12-09
79,Matches/MatchScorecard_ODI.asp?MatchCode=3833,2015-11-09
80,Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
81,Matches/MatchScorecard_ODI.asp?MatchCode=3829,2015-08-27
82,Matches/MatchScorecard_ODI.asp?MatchCode=3832,2015-08-09
83,Matches/MatchScorecard_ODI.asp?MatchCode=3779,2015-08-03
84,Matches/MatchScorecard_ODI.asp?MatchCode=3831,2015-05-09
85,Matches/MatchScorecard_ODI.asp?MatchCode=3773,2015-04-03
86,Matches/MatchScorecard_ODI.asp?MatchCode=3796,2015-03-29
87,Matches/MatchScorecard_ODI.asp?MatchCode=3795,2015-03-26
88,Matches/MatchScorecard_ODI.asp?MatchCode=3792,2015-03-20
89,Matches/MatchScorecard_ODI.asp?MatchCode=3787,2015-03-14
90,Matches/MatchScorecard_ODI.asp?MatchCode=3830,2015-03-09
91,Matches/MatchScorecard_ODI.asp?MatchCode=3767,2015-02-28
92,Matches/MatchScorecard_ODI.asp?MatchCode=3749,2015-02-14
93,Matches/MatchScorecard_ODI.asp?MatchCode=3741,2015-01-26
94,Matches/MatchScorecard_ODI.asp?MatchCode=3738,2015-01-23
95,Matches/MatchScorecard_ODI.asp?MatchCode=3731,2015-01-18
96,Matches/MatchScorecard_ODI.asp?MatchCode=3727,2015-01-16
97,Matches/MatchScorecard_ODI.asp?MatchCode=3746,2015-01-02
98,Matches/MatchScorecard_ODI.asp?MatchCode=3681,2014-12-10
99,Matches/MatchScorecard_ODI.asp?MatchCode=3700,2014-11-23
100,Matches/MatchScorecard_ODI.asp?MatchCode=3698,2014-11-21
101,Matches/MatchScorecard_ODI.asp?MatchCode=3697,2014-11-19
102,Matches/MatchScorecard_ODI.asp?MatchCode=3695,2014-11-16
103,Matches/MatchScorecard_ODI.asp?MatchCode=3679,2014-10-10
104,Matches/MatchScorecard_ODI.asp?MatchCode=3663,2014-08-27
105,Matches/MatchScorecard_ODI.asp?MatchCode=3659,2014-08-25
106,Matches/MatchScorecard_ODI.asp?MatchCode=3677,2014-07-10
107,Matches/MatchScorecard_ODI.asp?MatchCode=3673,2014-06-09
108,Matches/MatchScorecard_T20.asp?MatchCode=0412,2014-05-10
109,Matches/MatchScorecard_ODI.asp?MatchCode=3669,2014-02-09
110,Matches/MatchScorecard_ODI.asp?MatchCode=3606,2014-01-24
111,Matches/MatchScorecard_ODI.asp?MatchCode=3460,2013-01-13
112,Matches/MatchScorecard_ODI.asp?MatchCode=3426,2012-10-07
113,Matches/MatchScorecard_ODI.asp?MatchCode=3417,2012-06-29
114,Matches/MatchScorecard_ODI.asp?MatchCode=3416,2012-06-23
115,Matches/MatchScorecard_T20.asp?MatchCode=0199,2011-12-01
116,Matches/MatchScorecard_ODI.asp?MatchCode=3285,2011-11-04
117,Matches/MatchScorecard_ODI.asp?MatchCode=3344,2011-10-23
118,Matches/MatchScorecard_ODI.asp?MatchCode=3339,2011-10-19
119,Matches/MatchScorecard_T20.asp?MatchCode=0214,2011-10-16
120,Matches/MatchScorecard_T20.asp?MatchCode=0212,2011-10-13
121,Matches/MatchScorecard_ODI.asp?MatchCode=3311,2011-10-08
122,Matches/MatchScorecard_ODI.asp?MatchCode=3284,2011-09-04
123,Matches/MatchScorecard_ODI.asp?MatchCode=3316,2011-08-16
124,Matches/MatchScorecard_ODI.asp?MatchCode=3314,2011-08-14
125,Matches/MatchScorecard_T20.asp?MatchCode=0205,2011-08-08
126,Matches/MatchScorecard_T20.asp?MatchCode=0204,2011-06-08
127,Matches/MatchScorecard_ODI.asp?MatchCode=3254,2011-05-03
128,Matches/MatchScorecard_ODI.asp?MatchCode=3286,2011-04-13
129,Matches/MatchScorecard_ODI.asp?MatchCode=3274,2011-03-19
130,Matches/MatchScorecard_ODI.asp?MatchCode=3269,2011-03-16
131,Matches/MatchScorecard_ODI.asp?MatchCode=3265,2011-03-13
132,Matches/MatchScorecard_ODI.asp?MatchCode=3242,2011-02-25
133,Matches/MatchScorecard_ODI.asp?MatchCode=3238,2011-02-21
134,Matches/MatchScorecard_ODI.asp?MatchCode=3229,2011-02-02
135,Matches/MatchScorecard_ODI.asp?MatchCode=3226,2011-01-30
136,Matches/MatchScorecard_ODI.asp?MatchCode=3224,2011-01-26
137,Matches/MatchScorecard_ODI.asp?MatchCode=3221,2011-01-23
138,Matches/MatchScorecard_ODI.asp?MatchCode=3218,2011-01-21
139,Matches/MatchScorecard_ODI.asp?MatchCode=3216,2011-01-16
140,Matches/MatchScorecard_T20.asp?MatchCode=0200,2011-01-14
141,Matches/MatchScorecard_T20.asp?MatchCode=0175,2010-11-05
142,Matches/MatchScorecard_T20.asp?MatchCode=0194,2010-10-31
143,Matches/MatchScorecard_ODI.asp?MatchCode=3193,2010-10-20
144,Matches/MatchScorecard_T20.asp?MatchCode=0171,2010-09-05
145,Matches/MatchScorecard_ODI.asp?MatchCode=3202,2010-07-11
146,Matches/MatchScorecard_T20.asp?MatchCode=0166,2010-07-05
147,Matches/MatchScorecard_ODI.asp?MatchCode=3134,2010-06-30
148,Matches/MatchScorecard_ODI.asp?MatchCode=3133,2010-06-27
149,Matches/MatchScorecard_ODI.asp?MatchCode=3131,2010-06-24
150,Matches/MatchScorecard_T20.asp?MatchCode=0178,2010-05-16
151,Matches/MatchScorecard_T20.asp?MatchCode=0177,2010-05-14
152,Matches/MatchScorecard_ODI.asp?MatchCode=3200,2010-05-11
153,Matches/MatchScorecard_T20.asp?MatchCode=0185,2010-05-07
154,Matches/MatchScorecard_T20.asp?MatchCode=0162,2010-05-05
