matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1082,2020-02-12
Matches/MatchScorecard_ODI.asp?MatchCode=4408,2020-02-09
Matches/MatchScorecard_ODI.asp?MatchCode=4405,2020-02-07
Matches/MatchScorecard_ODI.asp?MatchCode=4401,2020-02-04
Matches/MatchScorecard_ODI.asp?MatchCode=4415,2020-02-29
Matches/MatchScorecard_T20.asp?MatchCode=1087,2020-02-16
Matches/MatchScorecard_T20.asp?MatchCode=1084,2020-02-14
Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
Matches/MatchScorecard_ODI.asp?MatchCode=4086,2017-10-22
Matches/MatchScorecard_ODI.asp?MatchCode=3935,2016-09-25
