,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4410,2020-11-02
1,Matches/MatchScorecard_ODI.asp?MatchCode=4406,2020-08-02
2,Matches/MatchScorecard_ODI.asp?MatchCode=4402,2020-05-02
3,Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
4,Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
5,Matches/MatchScorecard_ODI.asp?MatchCode=4315,2019-08-06
6,Matches/MatchScorecard_ODI.asp?MatchCode=4355,2019-07-14
7,Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
8,Matches/MatchScorecard_ODI.asp?MatchCode=4337,2019-06-26
9,Matches/MatchScorecard_ODI.asp?MatchCode=4333,2019-06-22
10,Matches/MatchScorecard_ODI.asp?MatchCode=4328,2019-06-19
11,Matches/MatchScorecard_ODI.asp?MatchCode=4311,2019-05-06
12,Matches/MatchScorecard_ODI.asp?MatchCode=4346,2019-03-07
13,Matches/MatchScorecard_ODI.asp?MatchCode=4249,2019-03-02
14,Matches/MatchScorecard_ODI.asp?MatchCode=4252,2019-02-20
15,Matches/MatchScorecard_ODI.asp?MatchCode=4251,2019-02-16
16,Matches/MatchScorecard_ODI.asp?MatchCode=4250,2019-02-13
17,Matches/MatchScorecard_ODI.asp?MatchCode=4248,2019-01-31
18,Matches/MatchScorecard_ODI.asp?MatchCode=4245,2019-01-28
19,Matches/MatchScorecard_ODI.asp?MatchCode=4242,2019-01-26
20,Matches/MatchScorecard_ODI.asp?MatchCode=4239,2019-01-23
21,Matches/MatchScorecard_ODI.asp?MatchCode=4305,2019-01-06
22,Matches/MatchScorecard_ODI.asp?MatchCode=4227,2018-11-11
23,Matches/MatchScorecard_ODI.asp?MatchCode=4149,2018-10-03
24,Matches/MatchScorecard_ODI.asp?MatchCode=4225,2018-09-11
25,Matches/MatchScorecard_ODI.asp?MatchCode=4104,2018-08-01
26,Matches/MatchScorecard_ODI.asp?MatchCode=4223,2018-07-11
27,Matches/MatchScorecard_ODI.asp?MatchCode=4146,2018-06-03
28,Matches/MatchScorecard_ODI.asp?MatchCode=4103,2018-06-01
29,Matches/MatchScorecard_ODI.asp?MatchCode=4139,2018-03-03
30,Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
31,Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
32,Matches/MatchScorecard_ODI.asp?MatchCode=4114,2018-01-18
33,Matches/MatchScorecard_ODI.asp?MatchCode=4110,2018-01-16
34,Matches/MatchScorecard_ODI.asp?MatchCode=4105,2018-01-13
35,Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
36,Matches/MatchScorecard_ODI.asp?MatchCode=4101,2017-12-23
37,Matches/MatchScorecard_ODI.asp?MatchCode=4100,2017-12-20
38,Matches/MatchScorecard_ODI.asp?MatchCode=4089,2017-10-29
39,Matches/MatchScorecard_ODI.asp?MatchCode=4088,2017-10-25
40,Matches/MatchScorecard_ODI.asp?MatchCode=4085,2017-10-22
41,Matches/MatchScorecard_ODI.asp?MatchCode=4027,2017-05-24
42,Matches/MatchScorecard_ODI.asp?MatchCode=4026,2017-05-21
43,Matches/MatchScorecard_ODI.asp?MatchCode=4024,2017-05-17
44,Matches/MatchScorecard_ODI.asp?MatchCode=4023,2017-05-14
45,Matches/MatchScorecard_ODI.asp?MatchCode=3988,2017-05-02
46,Matches/MatchScorecard_ODI.asp?MatchCode=3997,2017-02-25
47,Matches/MatchScorecard_ODI.asp?MatchCode=3995,2017-02-22
48,Matches/MatchScorecard_ODI.asp?MatchCode=3992,2017-02-19
49,Matches/MatchScorecard_ODI.asp?MatchCode=3984,2017-01-30
50,Matches/MatchScorecard_T20.asp?MatchCode=0645,2017-01-11
51,Matches/MatchScorecard_ODI.asp?MatchCode=3971,2016-12-31
52,Matches/MatchScorecard_ODI.asp?MatchCode=3970,2016-12-29
53,Matches/MatchScorecard_ODI.asp?MatchCode=3969,2016-12-26
54,Matches/MatchScorecard_ODI.asp?MatchCode=3955,2016-10-29
55,Matches/MatchScorecard_ODI.asp?MatchCode=3954,2016-10-26
56,Matches/MatchScorecard_ODI.asp?MatchCode=3953,2016-10-23
57,Matches/MatchScorecard_ODI.asp?MatchCode=3952,2016-10-20
58,Matches/MatchScorecard_ODI.asp?MatchCode=3951,2016-10-16
59,Matches/MatchScorecard_ODI.asp?MatchCode=3968,2016-09-12
60,Matches/MatchScorecard_ODI.asp?MatchCode=3967,2016-06-12
61,Matches/MatchScorecard_ODI.asp?MatchCode=3872,2016-05-01
62,Matches/MatchScorecard_ODI.asp?MatchCode=3966,2016-04-12
63,Matches/MatchScorecard_ODI.asp?MatchCode=3870,2016-02-01
64,Matches/MatchScorecard_ODI.asp?MatchCode=3879,2016-01-25
65,Matches/MatchScorecard_ODI.asp?MatchCode=3868,2015-12-31
66,Matches/MatchScorecard_ODI.asp?MatchCode=3866,2015-12-28
67,Matches/MatchScorecard_ODI.asp?MatchCode=3865,2015-12-26
68,Matches/MatchScorecard_ODI.asp?MatchCode=3723,2015-11-01
69,Matches/MatchScorecard_ODI.asp?MatchCode=3828,2015-08-26
70,Matches/MatchScorecard_ODI.asp?MatchCode=3827,2015-08-23
71,Matches/MatchScorecard_ODI.asp?MatchCode=3826,2015-08-19
72,Matches/MatchScorecard_T20.asp?MatchCode=0464,2015-08-16
73,Matches/MatchScorecard_T20.asp?MatchCode=0463,2015-08-14
74,Matches/MatchScorecard_ODI.asp?MatchCode=3825,2015-07-08
75,Matches/MatchScorecard_ODI.asp?MatchCode=3824,2015-04-08
76,Matches/MatchScorecard_ODI.asp?MatchCode=3823,2015-02-08
77,Matches/MatchScorecard_ODI.asp?MatchCode=3745,2015-01-31
78,Matches/MatchScorecard_ODI.asp?MatchCode=3743,2015-01-28
79,Matches/MatchScorecard_ODI.asp?MatchCode=3729,2015-01-17
80,Matches/MatchScorecard_ODI.asp?MatchCode=3726,2015-01-15
81,Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
82,Matches/MatchScorecard_ODI.asp?MatchCode=3719,2014-12-17
83,Matches/MatchScorecard_ODI.asp?MatchCode=3717,2014-12-14
84,Matches/MatchScorecard_ODI.asp?MatchCode=3715,2014-12-12
85,Matches/MatchScorecard_ODI.asp?MatchCode=3687,2014-10-27
86,Matches/MatchScorecard_ODI.asp?MatchCode=3686,2014-10-24
87,Matches/MatchScorecard_ODI.asp?MatchCode=3685,2014-10-21
88,Matches/MatchScorecard_ODI.asp?MatchCode=3713,2014-08-12
89,Matches/MatchScorecard_T20.asp?MatchCode=0409,2014-06-07
90,Matches/MatchScorecard_T20.asp?MatchCode=0421,2014-05-12
91,Matches/MatchScorecard_T20.asp?MatchCode=0408,2014-05-07
92,Matches/MatchScorecard_ODI.asp?MatchCode=3578,2013-12-11
93,Matches/MatchScorecard_T20.asp?MatchCode=0346,2013-11-21
94,Matches/MatchScorecard_ODI.asp?MatchCode=3579,2013-11-16
95,Matches/MatchScorecard_ODI.asp?MatchCode=3570,2013-10-31
96,Matches/MatchScorecard_ODI.asp?MatchCode=3576,2013-10-11
97,Matches/MatchScorecard_T20.asp?MatchCode=0322,2013-06-27
98,Matches/MatchScorecard_T20.asp?MatchCode=0321,2013-06-25
99,Matches/MatchScorecard_T20.asp?MatchCode=0337,2013-06-11
100,Matches/MatchScorecard_ODI.asp?MatchCode=3573,2013-03-11
101,Matches/MatchScorecard_ODI.asp?MatchCode=3427,2012-11-07
102,Matches/MatchScorecard_T20.asp?MatchCode=0293,2012-10-30
103,Matches/MatchScorecard_ODI.asp?MatchCode=3370,2012-09-02
104,Matches/MatchScorecard_ODI.asp?MatchCode=3430,2012-07-16
105,Matches/MatchScorecard_ODI.asp?MatchCode=3429,2012-07-14
106,Matches/MatchScorecard_ODI.asp?MatchCode=3424,2012-07-07
107,Matches/MatchScorecard_T20.asp?MatchCode=0249,2012-06-30
108,Matches/MatchScorecard_ODI.asp?MatchCode=3368,2012-06-02
109,Matches/MatchScorecard_ODI.asp?MatchCode=3446,2012-04-11
110,Matches/MatchScorecard_ODI.asp?MatchCode=3366,2012-03-02
111,Matches/MatchScorecard_T20.asp?MatchCode=0250,2012-01-07
