,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=3799,2015-04-22
1,Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
2,Matches/MatchScorecard_ODI.asp?MatchCode=3681,2014-12-10
3,Matches/MatchScorecard_ODI.asp?MatchCode=3679,2014-10-10
4,Matches/MatchScorecard_ODI.asp?MatchCode=3677,2014-07-10
5,Matches/MatchScorecard_T20.asp?MatchCode=0398,2014-03-30
6,Matches/MatchScorecard_T20.asp?MatchCode=0387,2014-03-23
7,Matches/MatchScorecard_T20.asp?MatchCode=0403,2014-01-04
8,Matches/MatchScorecard_T20.asp?MatchCode=0331,2013-08-24
9,Matches/MatchScorecard_T20.asp?MatchCode=0354,2013-08-12
10,Matches/MatchScorecard_T20.asp?MatchCode=0326,2013-07-28
11,Matches/MatchScorecard_T20.asp?MatchCode=0325,2013-07-27
