match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4284,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4342,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4021,44,c†O'BrienbChase,156.00,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=4020,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4326,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0559,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4123,8,c†PainebCummins,87.50,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4117,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4115,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3015,5,bLee,80.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3017,21,runout,200.00,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3009,35,notout,134.78,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4036,13,lbwbSantner,109.09,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0568,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4314,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0661,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0660,1,cStoinisbStanlake,25.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0694,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4170,20,cStanlakebStoinis,42.55,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4169,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4168,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4167,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4166,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3834,40,notout,77.78,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3832,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4308,3,notout,75.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4045,7,runout,53.85,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4354,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4336,30,cStoinisbStarc,125.00,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=4108,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4041,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3833,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3800,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3005,7,cKJO'BrienbCusack,41.18,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4029,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3890,44,cdeVilliersbRabada,150.00,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3889,16,notout,162.50,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=3887,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3885,2,bMorris,66.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3891,11,cRabadabWiese,112.50,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4125,13,runout,75.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0465,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4292,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4287,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4300,2,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4297,13,notout,150.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0791,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0770,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0769,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0768,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4256,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4255,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4260,0,c†HopebHolder,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0721,6,bUdana,166.67,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4215,4,bDananjaya,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4212,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4165,5,runout,62.50,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4149,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0706,5,notout,133.33,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0704,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0699,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0665,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0662,9,notout,133.33,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4072,11,notout,300.00,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4070,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4068,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0633,1,c†WaltonbWilliams,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4005,11,runout,300.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=4030,0,cduPlessisbRabada,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4028,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3974,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3928,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3926,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3925,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0580,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3910,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3908,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3906,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3904,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0564,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0553,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0550,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0570,4,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0518,2,bRabada,66.67,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0516,2,cAmlabAbbott,33.33,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3930,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3805,40,cBoultbNLMcCullum,130.77,6,0
Matches/MatchScorecard_T20.asp?MatchCode=0482,3,notout,150.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0481,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3863,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3861,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3859,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3858,7,csubbMohammadIrfan,53.85,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3804,84,cGuptillbElliott,138.00,7,2
Matches/MatchScorecard_T20.asp?MatchCode=0432,8,notout,233.33,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3809,14,notout,133.33,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3807,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3806,0,cGuptillbHenry,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3831,2,cCoulter-NilebCummins,25.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3830,13,c†WadebStarc,100.00,2,0
