match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=1089,0,lbwbAgar
Matches/MatchScorecard_ODI.asp?MatchCode=4317,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4269,44,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4339,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4334,52,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4328,0,cWilliamsonbFerguson
Matches/MatchScorecard_ODI.asp?MatchCode=4323,20,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4351,5,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4264,2,cFernandobdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=4303,28,cStokesbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4310,37,st†DhonibChahal
Matches/MatchScorecard_T20.asp?MatchCode=0773,5,cUdanabdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=4272,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4271,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4307,9,cShakibAlHasanbMohammadSaifuddin
Matches/MatchScorecard_ODI.asp?MatchCode=4247,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4244,13,cBabarAzambUsmanShinwari
Matches/MatchScorecard_ODI.asp?MatchCode=4241,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4238,82,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4237,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0740,6,notout
Matches/MatchScorecard_T20.asp?MatchCode=0716,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0729,2,notout
Matches/MatchScorecard_T20.asp?MatchCode=0715,4,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4182,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4208,0,c†TaylorbChatara
Matches/MatchScorecard_ODI.asp?MatchCode=4186,28,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4222,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4183,8,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4126,29,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4042,4,lbwbBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=4086,6,c†MushfiqurRahimbTaskinAhmed
Matches/MatchScorecard_ODI.asp?MatchCode=4083,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4080,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3990,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4029,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4028,5,bRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4002,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3987,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3997,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3995,33,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3992,33,notout
Matches/MatchScorecard_T20.asp?MatchCode=0609,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3983,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3985,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3950,12,bBoland
Matches/MatchScorecard_ODI.asp?MatchCode=3940,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3935,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3947,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3945,48,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3942,15,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4421,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4419,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4415,0,runout
Matches/MatchScorecard_T20.asp?MatchCode=0741,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4405,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1087,1,cStokesbWood
Matches/MatchScorecard_T20.asp?MatchCode=1084,0,bJordan
Matches/MatchScorecard_T20.asp?MatchCode=0926,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0921,9,notout
Matches/MatchScorecard_T20.asp?MatchCode=0670,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0669,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4135,38,c&amp;bThakur
Matches/MatchScorecard_T20.asp?MatchCode=0743,12,lbwbShadabKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4130,27,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4128,3,cKohlibKuldeepYadav
Matches/MatchScorecard_T20.asp?MatchCode=0667,15,cChahalbUnadkat
Matches/MatchScorecard_ODI.asp?MatchCode=4133,0,bKuldeepYadav
Matches/MatchScorecard_T20.asp?MatchCode=1082,20,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4408,15,lbwbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4401,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0630,31,notout
Matches/MatchScorecard_T20.asp?MatchCode=0629,0,bCurran
Matches/MatchScorecard_T20.asp?MatchCode=0628,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0605,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0604,0,c†ChandimalbSandakan
Matches/MatchScorecard_T20.asp?MatchCode=0603,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0644,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0641,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0781,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0711,0,bSandakan
Matches/MatchScorecard_ODI.asp?MatchCode=4187,11,bNLTCPerera
Matches/MatchScorecard_ODI.asp?MatchCode=4188,3,c†DickwellabDananjaya
Matches/MatchScorecard_ODI.asp?MatchCode=4206,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4207,30,c†TaylorbChatara
