match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=1109,1,notout
Matches/MatchScorecard_T20.asp?MatchCode=1091,1,bNortje
Matches/MatchScorecard_T20.asp?MatchCode=1089,23,notout
Matches/MatchScorecard_T20.asp?MatchCode=0533,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0664,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4419,9,cMaharajbNgidi
Matches/MatchScorecard_ODI.asp?MatchCode=4400,11,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4399,28,lbwbSaini
Matches/MatchScorecard_ODI.asp?MatchCode=4398,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1030,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1020,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1050,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1044,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1041,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1034,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0661,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0660,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0657,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0668,2,st†SeifertbSantner
Matches/MatchScorecard_ODI.asp?MatchCode=4071,10,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4069,0,lbwbKuldeepYadav
Matches/MatchScorecard_T20.asp?MatchCode=0552,10,cTaylorbMcClenaghan
Matches/MatchScorecard_T20.asp?MatchCode=0719,21,c†SarfarazAhmedbHasanAli
Matches/MatchScorecard_T20.asp?MatchCode=0705,8,bHasanAli
Matches/MatchScorecard_T20.asp?MatchCode=0697,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0718,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0694,33,bJordan
Matches/MatchScorecard_ODI.asp?MatchCode=4170,0,bCurran
Matches/MatchScorecard_ODI.asp?MatchCode=4169,22,c†ButtlerbRashid
Matches/MatchScorecard_T20.asp?MatchCode=0703,5,notout
Matches/MatchScorecard_T20.asp?MatchCode=0702,12,bMohammadAmir
Matches/MatchScorecard_T20.asp?MatchCode=0698,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4168,28,c&amp;bRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4166,44,lbwbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4167,53,st†ButtlerbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=3834,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3832,5,cRoybPlunkett
