match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4400,4,c†RahulbSaini,40.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4399,13,bMohammedShami,86.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4398,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4270,24,cJadejabKuldeepYadav,100.00,2,1
Matches/MatchScorecard_ODI.asp?MatchCode=4258,24,bMohammedShami,91.30,1,1
Matches/MatchScorecard_T20.asp?MatchCode=1030,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1020,1,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1050,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1044,8,notout,53.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1041,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1034,26,notout,146.67,0,2
Matches/MatchScorecard_ODI.asp?MatchCode=4268,105,notout,195.35,5,6
Matches/MatchScorecard_T20.asp?MatchCode=0767,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0766,0,bPandya,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0612,1,cKapugederabMalinga,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0611,7,cSiriwardanabPrasanna,116.67,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0610,19,cPrasannabMalinga,138.46,1,0
