match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0740,15,cMillerbMorris
Matches/MatchScorecard_ODI.asp?MatchCode=4319,5,c†CareybRichardson
Matches/MatchScorecard_T20.asp?MatchCode=1044,4,cCumminsbAgar
Matches/MatchScorecard_T20.asp?MatchCode=1041,12,cAgarbRichardson
Matches/MatchScorecard_ODI.asp?MatchCode=4292,61,cStokesbWilley
Matches/MatchScorecard_ODI.asp?MatchCode=4287,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4300,24,cStokesbWilley
Matches/MatchScorecard_ODI.asp?MatchCode=4297,19,cWoodbArcher
Matches/MatchScorecard_ODI.asp?MatchCode=4294,61,cRoybWoakes
Matches/MatchScorecard_T20.asp?MatchCode=0791,3,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4308,15,cBairstowbWood
Matches/MatchScorecard_T20.asp?MatchCode=0741,2,cRRHendricksbPhehlukwayo
Matches/MatchScorecard_T20.asp?MatchCode=0685,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4227,10,bFerguson
Matches/MatchScorecard_T20.asp?MatchCode=0723,26,cPhillipsbdeGrandhomme
Matches/MatchScorecard_T20.asp?MatchCode=0722,5,cCoulter-NilebMarsh
Matches/MatchScorecard_T20.asp?MatchCode=0720,10,cShortbStanlake
Matches/MatchScorecard_T20.asp?MatchCode=0719,2,lbwbZampa
Matches/MatchScorecard_ODI.asp?MatchCode=4204,34,st†LitonDasbMehidyHasanMiraz
Matches/MatchScorecard_ODI.asp?MatchCode=4201,33,bChahal
Matches/MatchScorecard_ODI.asp?MatchCode=4200,8,cAftabAlambRashidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4197,10,c†DhonibJadhav
Matches/MatchScorecard_ODI.asp?MatchCode=4194,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0705,19,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4178,20,cChatarabMpofu
Matches/MatchScorecard_ODI.asp?MatchCode=4174,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4172,52,cTiripanobChatara
Matches/MatchScorecard_T20.asp?MatchCode=0687,0,cMacLeodbLeask
Matches/MatchScorecard_T20.asp?MatchCode=0700,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0724,41,lbwbMunro
Matches/MatchScorecard_T20.asp?MatchCode=0697,24,bStoinis
Matches/MatchScorecard_T20.asp?MatchCode=0679,16,cWaltonbWilliams
Matches/MatchScorecard_T20.asp?MatchCode=0696,46,notout
Matches/MatchScorecard_T20.asp?MatchCode=0678,1,bPaul
Matches/MatchScorecard_T20.asp?MatchCode=0702,42,notout
Matches/MatchScorecard_T20.asp?MatchCode=0947,1,cGunathilakabdeSilva
Matches/MatchScorecard_T20.asp?MatchCode=0946,32,bPradeep
Matches/MatchScorecard_T20.asp?MatchCode=0941,6,cGunathilakabdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=4177,62,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4176,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0726,2,notout
Matches/MatchScorecard_T20.asp?MatchCode=0701,28,notout
Matches/MatchScorecard_T20.asp?MatchCode=0743,27,cvanderDussenbMorris
