match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0634,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=0636,6,bHasanAli
Matches/MatchScorecard_T20.asp?MatchCode=0635,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0302,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3668,29,runout
Matches/MatchScorecard_T20.asp?MatchCode=0361,33,c&amp;bRoot
Matches/MatchScorecard_ODI.asp?MatchCode=3474,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3460,29,c†PererabMalinga
Matches/MatchScorecard_ODI.asp?MatchCode=3475,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0306,0,st†ThomasbNarine
Matches/MatchScorecard_T20.asp?MatchCode=0413,6,cMillerbAbbott
