match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0729,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0664,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1030,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1050,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0661,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0660,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0657,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0668,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3975,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3972,1,notout
Matches/MatchScorecard_T20.asp?MatchCode=0720,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0719,2,notout
Matches/MatchScorecard_T20.asp?MatchCode=0705,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0697,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4236,0,bMohammedShami
Matches/MatchScorecard_T20.asp?MatchCode=0730,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0718,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0694,8,cMorganbPlunkett
Matches/MatchScorecard_ODI.asp?MatchCode=4170,2,bAli
Matches/MatchScorecard_ODI.asp?MatchCode=4169,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0703,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0702,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0698,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4168,1,st†ButtlerbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4166,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=0610,-,dnb
