match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4394,4,notout,33.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1124,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4391,11,notout,34.48,1,0
Matches/MatchScorecard_T20.asp?MatchCode=1120,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4291,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1014,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1010,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1003,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0983,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0971,1,runout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0961,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4267,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0918,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0948,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4265,9,lbwbMohammadNabi,64.29,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0945,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4352,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4301,1,notout,14.29,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4299,1,bAftabAlam,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4295,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0940,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4262,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4347,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4284,5,notout,45.45,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4257,5,notout,133.33,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0765,2,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0764,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0763,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0761,0,cO'DowdbvanMeekeren,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0760,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0747,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1038,0,bSmit,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4259,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1036,9,notout,100.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4343,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4152,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4106,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4150,0,cHolderbWilliams,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4192,4,cGulbadinNaibbMohammadNabi,30.77,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4190,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4189,1,notout,33.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0713,9,bRashidKhan,140.00,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0695,12,st†KarthikbKuldeepYadav,125.00,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0693,5,notout,38.46,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0688,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4143,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4163,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4158,0,runout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4156,1,bSikandarRaza,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4113,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4111,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4097,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4092,1,cIhsanullahbRashidKhan,12.50,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0602,2,bKarimJanat,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0601,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0597,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0592,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0543,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0538,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3902,21,notout,100.00,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=3901,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0546,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0513,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0512,19,notout,177.78,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=3599,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3600,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3557,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3559,4,bFawadAhmed,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3558,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3555,1,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0322,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0321,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3551,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0267,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0251,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0242,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0240,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0238,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0237,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0234,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0229,8,notout,116.67,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0226,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3381,1,runout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3378,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3307,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3261,5,notout,55.56,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3333,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3332,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3321,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3256,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3293,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3292,0,bSaeedAjmal,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3271,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3268,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3243,3,cJunaidSiddiquebShafiulIslam,23.08,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3249,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3158,6,notout,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3157,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3124,3,notout,21.43,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0153,1,c†RamdinbSammy,20.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0161,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2984,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2983,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0102,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2981,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0097,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0111,5,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0109,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2958,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2965,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2952,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2884,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2883,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2868,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2866,1,st†OumabKamande,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2673,0,lbwbVettori,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2682,8,notout,41.18,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=2679,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2677,4,notout,21.05,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2665,4,notout,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2658,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2646,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2642,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2669,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2601,-,dnb,-,-,-
