match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4397,43,c†TuckerbMcBrine
Matches/MatchScorecard_ODI.asp?MatchCode=4394,0,c†TuckerbRankin
Matches/MatchScorecard_ODI.asp?MatchCode=4391,22,cMcCarthybSimiSingh
Matches/MatchScorecard_T20.asp?MatchCode=1060,1,bNaveen-ul-Haq
Matches/MatchScorecard_ODI.asp?MatchCode=4379,45,bRashidKhan
Matches/MatchScorecard_T20.asp?MatchCode=1059,13,bNaveen-ul-Haq
Matches/MatchScorecard_T20.asp?MatchCode=1057,5,bMujeebUrRahman
Matches/MatchScorecard_T20.asp?MatchCode=1067,6,cRahulbKumar
Matches/MatchScorecard_T20.asp?MatchCode=1065,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1063,35,st†PantbJadeja
Matches/MatchScorecard_T20.asp?MatchCode=1122,51,cMalingabKumara
Matches/MatchScorecard_T20.asp?MatchCode=1119,39,cdeSilvabSandakan
