match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=3760,24,runout,95.65,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3588,71,notout,164.71,5,3
Matches/MatchScorecard_ODI.asp?MatchCode=3587,0,lbwbMohammedShami,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3586,6,notout,250.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3935,16,c†WilsonbO'Brien,87.50,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4323,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0555,23,cGulbadinNaibbDawlatZadran,237.50,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0415,37,notout,130.77,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0414,12,cCumminsbFaulkner,73.33,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0413,10,notout,90.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0371,2,cBaileybHenriques,28.57,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0214,11,bPattinson,76.92,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0212,22,cWarnerbCummins,105.26,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3828,39,c†RonchibMilne,97.30,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3827,5,cMunrobBracewell,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3826,15,cMilnebNeesham,107.69,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0464,33,cMunrobMcClenaghan,145.00,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0463,2,notout,66.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4307,40,cMehidyHasanMirazbMustafizurRahman,88.37,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0644,134,notout,280.56,7,9
Matches/MatchScorecard_T20.asp?MatchCode=0641,26,notout,131.58,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4419,40,notout,127.59,3,0
Matches/MatchScorecard_T20.asp?MatchCode=1109,15,cFinchbCummins,83.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1091,11,notout,84.62,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1089,2,c†CareybZampa,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0533,39,cMaxwellbAgar,183.33,2,2
Matches/MatchScorecard_ODI.asp?MatchCode=3771,54,notout,200.00,4,2
Matches/MatchScorecard_ODI.asp?MatchCode=4334,34,bShaheenShahAfridi,83.78,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0743,15,c&amp;bShadabKhan,144.44,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0741,87,notout,224.14,4,5
Matches/MatchScorecard_ODI.asp?MatchCode=4244,4,lbwbMohammadAmir,57.14,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4241,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4238,36,cImam-ul-HaqbShadabKhan,119.23,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=4237,18,notout,133.33,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0740,10,cBabarAzambFaheemAshraf,83.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0634,11,st†SarfarazAhmedbShadabKhan,128.57,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0636,36,cBabarAzambHasanAli,110.34,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0635,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4037,86,notout,72.12,1,3
