match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4323,0,cduPlessisbMorris
Matches/MatchScorecard_ODI.asp?MatchCode=4306,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3773,7,cWarnerbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=4290,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4315,8,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4340,1,bWahabRiaz
Matches/MatchScorecard_ODI.asp?MatchCode=4309,7,bMalinga
Matches/MatchScorecard_T20.asp?MatchCode=0544,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0541,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3916,7,cStirlingbO'Brien
Matches/MatchScorecard_ODI.asp?MatchCode=3912,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0565,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0551,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0444,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0441,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3722,0,bDockrell
Matches/MatchScorecard_T20.asp?MatchCode=0440,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3778,20,cMilnebAnderson
Matches/MatchScorecard_ODI.asp?MatchCode=3721,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0454,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3785,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3764,16,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3759,0,cMendisbMathews
Matches/MatchScorecard_ODI.asp?MatchCode=3754,0,cAnamulHaquebTaskinAhmed
Matches/MatchScorecard_ODI.asp?MatchCode=3730,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3707,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3711,7,cAhmedRazabKamranShahzad
Matches/MatchScorecard_ODI.asp?MatchCode=3623,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0340,3,notout
Matches/MatchScorecard_T20.asp?MatchCode=0336,5,notout
Matches/MatchScorecard_T20.asp?MatchCode=0334,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0354,4,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3483,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3482,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3561,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0313,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0310,6,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3560,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3310,1,c&amp;bRizwanCheema
Matches/MatchScorecard_ODI.asp?MatchCode=3309,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0143,2,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3153,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0139,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3149,10,lbwbBerrington
Matches/MatchScorecard_T20.asp?MatchCode=0137,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3166,1,c†LockhartbParker
Matches/MatchScorecard_ODI.asp?MatchCode=3164,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3183,8,csubbNgoche
Matches/MatchScorecard_ODI.asp?MatchCode=3147,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3142,7,cOtienobKamande
Matches/MatchScorecard_T20.asp?MatchCode=0163,25,cKallisbLangeveldt
Matches/MatchScorecard_T20.asp?MatchCode=0134,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3138,18,cMooneybCusack
Matches/MatchScorecard_T20.asp?MatchCode=0187,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3135,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0154,7,cNehrabKhan
Matches/MatchScorecard_T20.asp?MatchCode=0130,2,cCusackbBotha
Matches/MatchScorecard_ODI.asp?MatchCode=3007,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=2964,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3008,-,dnb
