match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4334,105,c†deKockbNgidi
Matches/MatchScorecard_T20.asp?MatchCode=0655,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1050,8,cRichardsonbAgar
Matches/MatchScorecard_T20.asp?MatchCode=1044,6,c&amp;bRichardson
Matches/MatchScorecard_T20.asp?MatchCode=1041,5,cSmithbRichardson
Matches/MatchScorecard_ODI.asp?MatchCode=3792,45,c†HaddinbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=4292,14,cBairstowbPlunkett
Matches/MatchScorecard_ODI.asp?MatchCode=4287,16,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4304,9,c†HopebRussell
Matches/MatchScorecard_ODI.asp?MatchCode=4294,48,runout
Matches/MatchScorecard_T20.asp?MatchCode=0791,64,cWilleybArcher
Matches/MatchScorecard_ODI.asp?MatchCode=4227,72,cWorkerbFerguson
Matches/MatchScorecard_ODI.asp?MatchCode=4200,14,cIhsanullahbMujeebUrRahman
Matches/MatchScorecard_T20.asp?MatchCode=0700,17,cMirebWPMasakadza
Matches/MatchScorecard_T20.asp?MatchCode=0654,10,cBrucebKitchen
Matches/MatchScorecard_ODI.asp?MatchCode=4110,59,cNichollsbWilliamson
Matches/MatchScorecard_ODI.asp?MatchCode=4340,29,lbwbRashidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4277,148,cLyonbRichardson
Matches/MatchScorecard_ODI.asp?MatchCode=4276,26,cMaxwellbLyon
Matches/MatchScorecard_ODI.asp?MatchCode=4275,1,cMarshbCummins
Matches/MatchScorecard_ODI.asp?MatchCode=4274,39,c†CareybFinch
Matches/MatchScorecard_ODI.asp?MatchCode=4273,112,notout
Matches/MatchScorecard_T20.asp?MatchCode=0702,0,cShortbRichardson
Matches/MatchScorecard_ODI.asp?MatchCode=4375,41,runout
Matches/MatchScorecard_T20.asp?MatchCode=0947,65,st†SamarawickramabdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=4337,79,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4349,7,cSoumyaSarkarbMustafizurRahman
Matches/MatchScorecard_ODI.asp?MatchCode=4376,64,bJayasuriya
Matches/MatchScorecard_T20.asp?MatchCode=0656,23,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4114,72,cHenrybSantner
Matches/MatchScorecard_ODI.asp?MatchCode=3802,62,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3801,101,notout
Matches/MatchScorecard_T20.asp?MatchCode=0425,31,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3798,46,c&amp;bMashrafeMortaza
Matches/MatchScorecard_ODI.asp?MatchCode=3797,60,cMahmudullahbTaskinAhmed
Matches/MatchScorecard_ODI.asp?MatchCode=3789,3,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3747,7,cMcCullumbMilne
Matches/MatchScorecard_ODI.asp?MatchCode=3745,26,cGuptillbAnderson
Matches/MatchScorecard_ODI.asp?MatchCode=3720,75,bMcClenaghan
Matches/MatchScorecard_ODI.asp?MatchCode=3719,15,cLathambVettori
Matches/MatchScorecard_ODI.asp?MatchCode=3717,45,cWilliamsonbHenry
Matches/MatchScorecard_ODI.asp?MatchCode=3715,36,cTaylorbAnderson
Matches/MatchScorecard_ODI.asp?MatchCode=3713,95,notout
Matches/MatchScorecard_T20.asp?MatchCode=0421,3,cLathambHenry
Matches/MatchScorecard_T20.asp?MatchCode=0420,12,cMcCullumbMcClenaghan
Matches/MatchScorecard_ODI.asp?MatchCode=3546,2,cUtseyabVitori
Matches/MatchScorecard_ODI.asp?MatchCode=3751,39,cRainabAshwin
Matches/MatchScorecard_T20.asp?MatchCode=0326,1,c&amp;bBadree
Matches/MatchScorecard_ODI.asp?MatchCode=3538,19,cSimmonsbBest
Matches/MatchScorecard_ODI.asp?MatchCode=3535,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3533,28,cPollardbRoach
Matches/MatchScorecard_ODI.asp?MatchCode=3799,59,c†MushfiqurRahimbMashrafeMortaza
Matches/MatchScorecard_ODI.asp?MatchCode=3772,80,cShaimanAnwarbMohammadNaveed
Matches/MatchScorecard_ODI.asp?MatchCode=3757,0,csubbTaylor
Matches/MatchScorecard_ODI.asp?MatchCode=3770,29,cWilliamsbSikandarRaza
