match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4323,9,cduPlessisbPhehlukwayo
Matches/MatchScorecard_ODI.asp?MatchCode=4306,21,st†CareybZampa
Matches/MatchScorecard_ODI.asp?MatchCode=4200,108,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4290,69,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4315,72,cHenrybFerguson
Matches/MatchScorecard_ODI.asp?MatchCode=4340,0,cImadWasimbShaheenShahAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=4309,4,c†PererabPradeep
Matches/MatchScorecard_T20.asp?MatchCode=0334,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3561,13,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3560,0,cKarimbVaraiya
Matches/MatchScorecard_ODI.asp?MatchCode=3650,11,c†ChakabvabMasakadza
Matches/MatchScorecard_ODI.asp?MatchCode=3649,17,cSikandarRazabChatara
Matches/MatchScorecard_ODI.asp?MatchCode=3938,15,lbwbMosaddeckHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3936,82,cSoumyaSarkarbTaijulIslam
Matches/MatchScorecard_ODI.asp?MatchCode=3873,35,bSikandarRaza
Matches/MatchScorecard_ODI.asp?MatchCode=3871,33,lbwbCremer
Matches/MatchScorecard_ODI.asp?MatchCode=3869,3,cMasakadzabJongwe
Matches/MatchScorecard_ODI.asp?MatchCode=3941,0,cTamimIqbalbMosharrafHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3633,3,lbwbAhmedRaza
Matches/MatchScorecard_ODI.asp?MatchCode=3632,42,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4332,23,c&amp;bBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=4203,0,st†DhonibKuldeepYadav
Matches/MatchScorecard_ODI.asp?MatchCode=4299,13,c†WilsonbAdair
Matches/MatchScorecard_ODI.asp?MatchCode=4262,13,bCameron-Dow
Matches/MatchScorecard_ODI.asp?MatchCode=4257,10,c†PoynterbSimiSingh
Matches/MatchScorecard_ODI.asp?MatchCode=4259,60,cSimiSinghbRankin
Matches/MatchScorecard_ODI.asp?MatchCode=4009,26,bMulder
Matches/MatchScorecard_ODI.asp?MatchCode=4006,36,c†O'BrienbKJO'Brien
Matches/MatchScorecard_ODI.asp?MatchCode=4192,39,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4190,2,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4189,61,cBalbirniebMurtagh
Matches/MatchScorecard_ODI.asp?MatchCode=4301,52,cMurtaghbAdair
Matches/MatchScorecard_ODI.asp?MatchCode=4326,87,bArcher
Matches/MatchScorecard_ODI.asp?MatchCode=4335,11,st†MushfiqurRahimbMosaddeckHossain
Matches/MatchScorecard_ODI.asp?MatchCode=4202,80,bMashrafeMortaza
Matches/MatchScorecard_ODI.asp?MatchCode=4198,65,c†LitonDasbRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=4195,39,bNLTCPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3996,13,c†MoorbMpofu
Matches/MatchScorecard_ODI.asp?MatchCode=3993,2,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3991,22,runout
