match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4238,2,st†KlaasenbShamsi
Matches/MatchScorecard_T20.asp?MatchCode=0740,45,cBEHendricksbShamsi
Matches/MatchScorecard_T20.asp?MatchCode=0741,71,bMorris
Matches/MatchScorecard_T20.asp?MatchCode=0685,20,cHamzaTahirbBerrington
Matches/MatchScorecard_T20.asp?MatchCode=0719,10,cFinchbTye
Matches/MatchScorecard_T20.asp?MatchCode=0705,0,cRichardsonbMaxwell
Matches/MatchScorecard_T20.asp?MatchCode=0687,18,st†CrossbLeask
Matches/MatchScorecard_T20.asp?MatchCode=0700,45,cZhuwawobMpofu
Matches/MatchScorecard_T20.asp?MatchCode=0697,12,cFinchbStanlake
Matches/MatchScorecard_T20.asp?MatchCode=0679,80,cMohammedbSmith
Matches/MatchScorecard_T20.asp?MatchCode=0696,11,c†MoorbChibhabha
Matches/MatchScorecard_T20.asp?MatchCode=0678,44,runout
Matches/MatchScorecard_T20.asp?MatchCode=0702,34,bMaxwell
Matches/MatchScorecard_T20.asp?MatchCode=0701,34,notout
Matches/MatchScorecard_T20.asp?MatchCode=0743,3,c†KlaasenbPhehlukwayo
