match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=1050,51,cStarcbRichardson
Matches/MatchScorecard_T20.asp?MatchCode=1044,78,notout
Matches/MatchScorecard_T20.asp?MatchCode=1041,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4375,36,notout
Matches/MatchScorecard_T20.asp?MatchCode=0947,19,notout
Matches/MatchScorecard_T20.asp?MatchCode=0941,27,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4376,32,notout
Matches/MatchScorecard_T20.asp?MatchCode=0531,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3861,3,cRootbWoakes
Matches/MatchScorecard_ODI.asp?MatchCode=3859,6,cWilleybWoakes
Matches/MatchScorecard_T20.asp?MatchCode=1076,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1075,18,c†LitonDasbShafiulIslam
