match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=3921,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4340,54,notout,90.74,5,0
Matches/MatchScorecard_T20.asp?MatchCode=0723,17,notout,280.00,1,1
Matches/MatchScorecard_T20.asp?MatchCode=0724,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0558,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0496,0,cGuptillbElliott,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0492,10,cMilnebMcClenaghan,200.00,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0491,21,cBoultbHenry,200.00,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=4349,51,cMahmudullahbMustafizurRahman,165.38,6,1
Matches/MatchScorecard_T20.asp?MatchCode=1050,6,cAgarbAbbott,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1044,12,runout,100.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=1041,0,cSmithbStarc,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0719,0,cFinchbTye,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1076,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1075,7,bAl-AminHossain,150.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4375,14,cBOPFernandobUdana,150.00,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0947,3,cdeSilvabKumara,60.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0946,55,lbwbUdana,162.07,8,0
Matches/MatchScorecard_ODI.asp?MatchCode=4337,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4334,26,csubbNgidi,153.33,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=4324,52,notout,117.95,6,0
Matches/MatchScorecard_T20.asp?MatchCode=0743,22,bBEHendricks,146.15,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=4304,1,cGaylebHolder,33.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0941,8,cdeSilvabRajitha,140.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0741,7,bMorris,200.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4247,55,notout,151.61,4,2
Matches/MatchScorecard_ODI.asp?MatchCode=4244,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4241,50,notout,186.96,7,0
Matches/MatchScorecard_ODI.asp?MatchCode=4237,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0740,5,cMillerbShamsi,200.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0722,3,notout,75.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0720,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4225,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4223,58,cdeGrandhommebSouthee,69.44,0,2
Matches/MatchScorecard_T20.asp?MatchCode=0726,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0634,19,notout,375.00,0,2
Matches/MatchScorecard_ODI.asp?MatchCode=4019,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0643,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0642,2,lbwbPerera,66.67,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0640,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4087,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4084,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4081,10,lbwbVandersay,38.46,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4079,12,notout,200.00,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0636,0,cduPlessisbPerera,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0635,17,cImranTahirbPerera,136.36,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4018,49,notout,122.86,2,2
Matches/MatchScorecard_ODI.asp?MatchCode=4037,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4017,6,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4050,28,notout,119.05,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=4045,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4034,0,cJadhavbPandya,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0617,5,cBrathwaitebWilliams,100.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0616,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0619,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0618,0,st†WaltonbBadree,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4277,62,notout,147.06,6,1
Matches/MatchScorecard_ODI.asp?MatchCode=4276,1,cMarshbRichardson,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4275,47,st†CareybZampa,81.13,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4274,23,notout,190.00,2,1
Matches/MatchScorecard_ODI.asp?MatchCode=4273,34,notout,215.38,4,1
Matches/MatchScorecard_T20.asp?MatchCode=0561,0,cCoulter-NilebFaulkner,0.00,0,0
