match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4226,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4224,11,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4222,7,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3896,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3903,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0533,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3700,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3697,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3695,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3694,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4421,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4423,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4415,1,bNortje
Matches/MatchScorecard_ODI.asp?MatchCode=4400,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4125,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4123,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4117,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4041,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4035,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4032,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3981,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3977,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3975,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3973,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3874,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3968,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3927,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3923,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3888,6,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3894,13,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3967,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3886,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3893,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3966,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0566,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0561,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3884,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3773,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3796,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3795,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3792,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3749,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3741,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3746,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0332,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3988,5,bBoult
Matches/MatchScorecard_ODI.asp?MatchCode=3984,0,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3909,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3905,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0360,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0359,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3898,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0306,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3557,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3129,-,dnb
