match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0679,20,cFaheemAshrafbMohammadAmir
Matches/MatchScorecard_T20.asp?MatchCode=0678,11,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4391,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4414,24,bPradeep
Matches/MatchScorecard_ODI.asp?MatchCode=4413,37,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4388,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4387,53,bMohammedShami
Matches/MatchScorecard_ODI.asp?MatchCode=4385,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1060,4,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4379,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4362,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=0735,2,cArifulHaquebMustafizurRahman
Matches/MatchScorecard_T20.asp?MatchCode=0734,32,cArifulHaquebMustafizurRahman
Matches/MatchScorecard_T20.asp?MatchCode=0733,32,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4230,12,bMashrafeMortaza
Matches/MatchScorecard_ODI.asp?MatchCode=4229,18,notout
Matches/MatchScorecard_T20.asp?MatchCode=0728,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4220,22,st†DhonibJadeja
Matches/MatchScorecard_ODI.asp?MatchCode=4228,39,cMehidyHasanMirazbMustafizurRahman
Matches/MatchScorecard_ODI.asp?MatchCode=4181,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4180,5,c†MushfiqurRahimbRubelHossain
Matches/MatchScorecard_T20.asp?MatchCode=0727,22,cSharmabKumar
Matches/MatchScorecard_T20.asp?MatchCode=0725,17,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4164,0,lbwbMujeebUrRahman
Matches/MatchScorecard_ODI.asp?MatchCode=4161,6,bWheal
Matches/MatchScorecard_ODI.asp?MatchCode=4159,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4154,17,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4221,5,cRayudubKuldeepYadav
Matches/MatchScorecard_T20.asp?MatchCode=1059,12,bKarimJanat
Matches/MatchScorecard_T20.asp?MatchCode=0701,1,notout
Matches/MatchScorecard_T20.asp?MatchCode=0874,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0872,3,cKohlibKumar
Matches/MatchScorecard_T20.asp?MatchCode=0682,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0707,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0710,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0709,2,bNazmulIslam
Matches/MatchScorecard_T20.asp?MatchCode=0877,-,dnb
