match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=3402,13,st†WadebDoherty
Matches/MatchScorecard_ODI.asp?MatchCode=3400,0,lbwbLee
Matches/MatchScorecard_ODI.asp?MatchCode=3398,9,cBaileybLee
Matches/MatchScorecard_ODI.asp?MatchCode=4019,25,st†SarfarazAhmedbImadWasim
Matches/MatchScorecard_ODI.asp?MatchCode=4018,11,lbwbHasanAli
Matches/MatchScorecard_ODI.asp?MatchCode=4017,70,cKamranAkmalbWahabRiaz
Matches/MatchScorecard_ODI.asp?MatchCode=4220,5,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4219,24,cSharmabBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=4216,21,cPantbMohammedShami
Matches/MatchScorecard_ODI.asp?MatchCode=4213,63,cDhawanbAhmed
Matches/MatchScorecard_ODI.asp?MatchCode=4228,11,cRubelHossainbShakibAlHasan
Matches/MatchScorecard_ODI.asp?MatchCode=4181,4,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4221,0,c†DhonibKumar
Matches/MatchScorecard_ODI.asp?MatchCode=4043,13,cMohammadNabibRashidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4040,2,lbwbDawlatZadran
Matches/MatchScorecard_ODI.asp?MatchCode=4005,7,cHalesbFinn
Matches/MatchScorecard_ODI.asp?MatchCode=4052,0,c†DhonibKumar
Matches/MatchScorecard_ODI.asp?MatchCode=4051,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4046,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4004,11,c&amp;bFinn
Matches/MatchScorecard_ODI.asp?MatchCode=4001,1,cRoybPlunkett
Matches/MatchScorecard_ODI.asp?MatchCode=3583,83,cDhawanbAshwin
Matches/MatchScorecard_ODI.asp?MatchCode=3581,71,st†DhonibAshwin
Matches/MatchScorecard_ODI.asp?MatchCode=3031,6,c†DhonibNehra
Matches/MatchScorecard_ODI.asp?MatchCode=3617,68,st†WilsonbStirling
Matches/MatchScorecard_ODI.asp?MatchCode=3474,9,cMaxwellbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=3473,53,c†WadebMaxwell
Matches/MatchScorecard_ODI.asp?MatchCode=3472,99,lbwbStarc
Matches/MatchScorecard_ODI.asp?MatchCode=3471,13,cClarkebStarc
Matches/MatchScorecard_ODI.asp?MatchCode=3338,29,bNasirHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3360,18,bPathan
Matches/MatchScorecard_ODI.asp?MatchCode=3359,8,runout
Matches/MatchScorecard_T20.asp?MatchCode=0357,13,cGuptillbNLMcCullum
Matches/MatchScorecard_ODI.asp?MatchCode=3598,91,lbwbNLMcCullum
Matches/MatchScorecard_ODI.asp?MatchCode=3596,1,cNeeshambMcClenaghan
Matches/MatchScorecard_ODI.asp?MatchCode=3593,5,bMcClenaghan
Matches/MatchScorecard_ODI.asp?MatchCode=3475,2,cFinchbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=3478,92,cErvinebMpofu
Matches/MatchScorecard_ODI.asp?MatchCode=3454,13,st†MushfiqurRahimbSohagGazi
Matches/MatchScorecard_ODI.asp?MatchCode=3453,30,lbwbEliasSunny
Matches/MatchScorecard_ODI.asp?MatchCode=3452,52,st†MushfiqurRahimbMahmudullah
Matches/MatchScorecard_ODI.asp?MatchCode=2989,0,lbwbMahbubulAlam
Matches/MatchScorecard_ODI.asp?MatchCode=3629,1,bRoot
Matches/MatchScorecard_ODI.asp?MatchCode=3622,5,cJordanbRoot
Matches/MatchScorecard_ODI.asp?MatchCode=3625,18,c&amp;bAli
Matches/MatchScorecard_ODI.asp?MatchCode=3481,47,cWallerbMutombodzi
Matches/MatchScorecard_ODI.asp?MatchCode=3480,67,c†TaylorbMasakadza
