match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=1109,0,bAgar
Matches/MatchScorecard_T20.asp?MatchCode=1091,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1089,1,cWarnerbAgar
Matches/MatchScorecard_ODI.asp?MatchCode=4269,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4334,1,bWahabRiaz
Matches/MatchScorecard_ODI.asp?MatchCode=4328,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4264,6,st†DickwellabDananjaya
Matches/MatchScorecard_ODI.asp?MatchCode=4303,7,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4272,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4271,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4261,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4307,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0716,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0729,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4226,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4224,21,notout
Matches/MatchScorecard_T20.asp?MatchCode=0715,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4182,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4186,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4222,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4183,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4419,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4415,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1087,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1084,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4135,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4130,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4128,7,lbwbKuldeepYadav
Matches/MatchScorecard_ODI.asp?MatchCode=4133,5,notout
Matches/MatchScorecard_T20.asp?MatchCode=1082,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4408,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4401,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0605,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0604,2,notout
Matches/MatchScorecard_T20.asp?MatchCode=0603,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0711,4,c†ChandimalbRajitha
Matches/MatchScorecard_ODI.asp?MatchCode=4187,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4206,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4207,5,notout
