match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4328,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3794,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0588,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3809,14,cStokesbFinn
Matches/MatchScorecard_ODI.asp?MatchCode=3807,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3806,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3888,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3967,7,cFaulknerbCummins
Matches/MatchScorecard_ODI.asp?MatchCode=3886,0,bHazlewood
Matches/MatchScorecard_ODI.asp?MatchCode=3966,32,cBaileybCummins
Matches/MatchScorecard_ODI.asp?MatchCode=3884,5,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3796,0,cStarcbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=4227,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4333,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4102,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4101,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4315,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4337,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4114,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3883,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3879,56,notout
Matches/MatchScorecard_T20.asp?MatchCode=0491,12,cShahidAfridibMohammadAmir
Matches/MatchScorecard_ODI.asp?MatchCode=3720,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3719,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3717,1,bShahidAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=3715,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0421,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0420,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4353,1,cKohlibKumar
Matches/MatchScorecard_ODI.asp?MatchCode=4249,20,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3953,44,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3952,6,bBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=3612,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4026,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4248,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3804,0,lbwbRashid
Matches/MatchScorecard_T20.asp?MatchCode=0432,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4233,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4232,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4231,7,cNLTCPererabPradeep
Matches/MatchScorecard_ODI.asp?MatchCode=4355,5,bArcher
Matches/MatchScorecard_ODI.asp?MatchCode=4311,7,bMohammadSaifuddin
Matches/MatchScorecard_ODI.asp?MatchCode=4346,7,bWood
Matches/MatchScorecard_ODI.asp?MatchCode=4251,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4250,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4305,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3971,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0487,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3872,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3870,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3824,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3823,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3687,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3865,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3726,22,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4027,5,bRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3866,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3729,-,dnb
