match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4307,6,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4086,16,cdeVilliersbImranTahir
Matches/MatchScorecard_ODI.asp?MatchCode=4329,6,cWarnerbStarc
Matches/MatchScorecard_ODI.asp?MatchCode=4035,15,bStarc
Matches/MatchScorecard_ODI.asp?MatchCode=4204,13,csubbJunaidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4286,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4325,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4296,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4293,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0735,21,cAllenbCottrell
Matches/MatchScorecard_T20.asp?MatchCode=0734,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0733,9,c†HopebPaul
Matches/MatchScorecard_ODI.asp?MatchCode=4230,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4229,11,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4228,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4181,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4180,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4179,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0684,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0672,3,cPandeybUnadkat
Matches/MatchScorecard_T20.asp?MatchCode=0677,22,notout
Matches/MatchScorecard_T20.asp?MatchCode=0675,8,cRainabMohammedSiraj
Matches/MatchScorecard_ODI.asp?MatchCode=4349,8,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4205,35,cRayudubJadhav
Matches/MatchScorecard_ODI.asp?MatchCode=4199,46,cDhawanbBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=4022,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4024,7,cRancebBennett
Matches/MatchScorecard_ODI.asp?MatchCode=4358,10,csubbKumara
Matches/MatchScorecard_T20.asp?MatchCode=0707,12,cNursebWilliams
Matches/MatchScorecard_ODI.asp?MatchCode=4311,7,c†LathambBoult
Matches/MatchScorecard_ODI.asp?MatchCode=4251,17,cNichollsbNeesham
Matches/MatchScorecard_ODI.asp?MatchCode=4250,30,cNeeshambSantner
Matches/MatchScorecard_ODI.asp?MatchCode=4314,14,cBairstowbArcher
Matches/MatchScorecard_ODI.asp?MatchCode=4420,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4418,5,bMumba
Matches/MatchScorecard_ODI.asp?MatchCode=4416,8,cKamunhukamwebMumba
Matches/MatchScorecard_ODI.asp?MatchCode=4357,49,cKarunaratnebPradeep
Matches/MatchScorecard_ODI.asp?MatchCode=4356,2,cMendisbdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=4335,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4252,44,cGuptillbSouthee
Matches/MatchScorecard_ODI.asp?MatchCode=4217,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4214,1,c†TaylorbJarvis
Matches/MatchScorecard_T20.asp?MatchCode=0673,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4202,5,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4198,4,cHashmatullahShahidibRahmatShah
Matches/MatchScorecard_ODI.asp?MatchCode=4193,15,c&amp;bLakmal
Matches/MatchScorecard_T20.asp?MatchCode=0676,0,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4124,5,c&amp;bDananjaya
Matches/MatchScorecard_T20.asp?MatchCode=0644,14,c†MosehlebPhehlukwayo
Matches/MatchScorecard_T20.asp?MatchCode=0641,16,bPaterson
Matches/MatchScorecard_T20.asp?MatchCode=0621,0,lbwbMalinga
Matches/MatchScorecard_ODI.asp?MatchCode=4012,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4011,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4014,61,cTharangabKulasekara
