match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4247,11,c†deKockbPretorius
Matches/MatchScorecard_ODI.asp?MatchCode=4244,5,notout
Matches/MatchScorecard_T20.asp?MatchCode=0740,2,runout
Matches/MatchScorecard_T20.asp?MatchCode=1050,0,bStarc
Matches/MatchScorecard_T20.asp?MatchCode=1044,15,st†CareybAgar
Matches/MatchScorecard_T20.asp?MatchCode=1041,33,cCumminsbAgar
Matches/MatchScorecard_ODI.asp?MatchCode=3981,6,cStarcbCummins
Matches/MatchScorecard_ODI.asp?MatchCode=3977,11,lbwbZampa
Matches/MatchScorecard_ODI.asp?MatchCode=3975,15,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3973,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3972,21,cMarshbCummins
Matches/MatchScorecard_T20.asp?MatchCode=0741,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3939,12,runout
Matches/MatchScorecard_T20.asp?MatchCode=0580,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3944,4,lbwbJoseph
Matches/MatchScorecard_ODI.asp?MatchCode=3932,38,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3943,6,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3930,6,lbwbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4277,13,cLyonbMaxwell
Matches/MatchScorecard_ODI.asp?MatchCode=4276,118,cHandscombbStoinis
Matches/MatchScorecard_ODI.asp?MatchCode=4275,0,c†CareybCummins
Matches/MatchScorecard_ODI.asp?MatchCode=4274,130,cMaxwellbCoulter-Nile
Matches/MatchScorecard_ODI.asp?MatchCode=4273,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3883,17,runout
Matches/MatchScorecard_T20.asp?MatchCode=0496,5,runout
Matches/MatchScorecard_T20.asp?MatchCode=0481,7,bParry
Matches/MatchScorecard_ODI.asp?MatchCode=3863,13,c†ButtlerbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=3861,1,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3859,18,bRashid
Matches/MatchScorecard_ODI.asp?MatchCode=3814,22,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3822,33,c†ChandimalbNLTCPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3821,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3820,38,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3819,62,lbwbPradeep
Matches/MatchScorecard_ODI.asp?MatchCode=3838,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0425,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3798,15,lbwbShakibAlHasan
Matches/MatchScorecard_ODI.asp?MatchCode=3797,79,cNasirHossainbRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3837,9,cNyumbubCremer
Matches/MatchScorecard_ODI.asp?MatchCode=3836,85,notout
Matches/MatchScorecard_T20.asp?MatchCode=0743,29,cDalabSipamla
Matches/MatchScorecard_T20.asp?MatchCode=0486,28,c&amp;bRashid
Matches/MatchScorecard_T20.asp?MatchCode=1076,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1075,5,notout
Matches/MatchScorecard_T20.asp?MatchCode=0467,17,cWilliamsbJongwe
Matches/MatchScorecard_T20.asp?MatchCode=0466,35,notout
Matches/MatchScorecard_T20.asp?MatchCode=0460,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0427,6,cSikandarRazabMpofu
Matches/MatchScorecard_ODI.asp?MatchCode=3799,4,c&amp;bShakibAlHasan
Matches/MatchScorecard_T20.asp?MatchCode=0461,18,bNLTCPerera
