match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4307,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4080,18,cPatersonbRabada
Matches/MatchScorecard_ODI.asp?MatchCode=4286,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4325,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4296,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0735,6,c†HopebPaul
Matches/MatchScorecard_T20.asp?MatchCode=0734,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0733,1,cPooranbBrathwaite
Matches/MatchScorecard_ODI.asp?MatchCode=4230,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4295,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0666,22,csubbUdana
Matches/MatchScorecard_ODI.asp?MatchCode=4349,0,cMohammadAmirbShaheenShahAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=4345,64,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4116,7,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4311,33,bHenry
Matches/MatchScorecard_ODI.asp?MatchCode=4251,10,bFerguson
Matches/MatchScorecard_ODI.asp?MatchCode=4250,44,cGuptillbSantner
Matches/MatchScorecard_ODI.asp?MatchCode=4314,5,bStokes
Matches/MatchScorecard_ODI.asp?MatchCode=4420,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4416,31,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4335,2,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4252,48,cGuptillbBoult
Matches/MatchScorecard_ODI.asp?MatchCode=4217,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4214,58,cMavutabChatara
Matches/MatchScorecard_ODI.asp?MatchCode=4124,8,runout
Matches/MatchScorecard_T20.asp?MatchCode=0644,25,cAmlabHendricks
Matches/MatchScorecard_T20.asp?MatchCode=0641,43,notout
Matches/MatchScorecard_T20.asp?MatchCode=0621,7,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4218,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0914,2,c&amp;bRashidKhan
Matches/MatchScorecard_T20.asp?MatchCode=0912,7,notout
Matches/MatchScorecard_T20.asp?MatchCode=0620,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1127,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0925,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0919,7,notout
Matches/MatchScorecard_T20.asp?MatchCode=1129,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0663,-,dnb
