match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4402,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1079,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1077,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1074,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4400,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4399,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4398,11,c†CareybRichardson,66.67,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4388,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4387,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4385,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4234,1,cMaxwellbStoinis,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1067,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4360,3,notout,60.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4362,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4359,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4266,10,cCumminsbRichardson,200.00,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4342,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4338,0,c†HopebCottrell,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4332,1,bGulbadinNaib,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4263,2,notout,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4270,3,c&amp;bRichardson,42.86,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4249,1,runout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4345,1,bMustafizurRahman,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4258,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4245,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4242,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4239,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4236,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4235,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4216,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4213,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4074,7,notout,100.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0631,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4057,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4056,1,cChasebHolder,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0576,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0575,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3781,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3775,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3795,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3791,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3786,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3760,5,notout,80.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3751,3,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3744,30,c†ButtlerbWoakes,138.89,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=3741,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3735,1,cAlibAnderson,14.29,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3731,2,notout,66.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3680,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3683,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3667,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3664,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3678,23,bRampaul,111.76,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0411,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3672,0,cHalesbStokes,0.00,0,0
