match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4332,0,bMohammedShami,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4203,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1128,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0764,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0712,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0684,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0683,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0681,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0659,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0658,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4348,8,notout,140.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4259,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4306,16,bCummins,144.44,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0925,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0914,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4202,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4326,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4164,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4154,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1060,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1059,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1057,9,notout,100.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4379,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4378,0,cShepherdbCottrell,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4377,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4267,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4265,1,notout,25.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4262,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4257,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0763,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4097,5,notout,50.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4093,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4092,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1124,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1120,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0923,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0913,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4340,8,notout,77.78,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4335,0,bMohammadSaifuddin,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4301,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4299,0,c&amp;bAdair,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4309,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4131,19,bCremer,187.50,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4200,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4198,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4195,0,bNLTCPerera,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4129,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4192,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4190,14,notout,133.33,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4189,4,notout,80.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0713,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4147,1,runout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4145,3,bMuzarabani,60.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4140,0,bWheal,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4163,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4160,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4136,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4134,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4132,-,dnb,-,-,-,Middle Order
