match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0765,20,cBalbirniebDockrell
Matches/MatchScorecard_T20.asp?MatchCode=0615,3,cDockrellbO'Brien
Matches/MatchScorecard_T20.asp?MatchCode=0614,110,cStirlingbMcCarthy
Matches/MatchScorecard_T20.asp?MatchCode=0613,32,c†WilsonbO'Brien
Matches/MatchScorecard_ODI.asp?MatchCode=4010,5,csubbMurtagh
Matches/MatchScorecard_T20.asp?MatchCode=0592,34,runout
Matches/MatchScorecard_T20.asp?MatchCode=0372,8,cNasirHossainbShakibAlHasan
Matches/MatchScorecard_T20.asp?MatchCode=0376,8,cNadeemAhmedbTanwirAfzal
Matches/MatchScorecard_T20.asp?MatchCode=0914,12,cSabbirRahmanbMohammadSaifuddin
Matches/MatchScorecard_T20.asp?MatchCode=0913,15,cNdlovubWilliams
Matches/MatchScorecard_T20.asp?MatchCode=0595,0,cZahoorKhanbAmjadJaved
Matches/MatchScorecard_T20.asp?MatchCode=0587,46,cMuhammadUsmanbRohanMustafa
Matches/MatchScorecard_T20.asp?MatchCode=0585,12,cRameezShahzadbAmjadJaved
