match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=3997,0,cAmlabPhehlukwayo
Matches/MatchScorecard_ODI.asp?MatchCode=3995,2,cDuminybPretorius
Matches/MatchScorecard_ODI.asp?MatchCode=3992,2,cBehardienbMorris
Matches/MatchScorecard_T20.asp?MatchCode=0588,7,cShakibAlHasanbRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=4032,15,cMaxwellbHazlewood
Matches/MatchScorecard_ODI.asp?MatchCode=2938,30,notout
Matches/MatchScorecard_T20.asp?MatchCode=0084,42,cFergusonbHopes
Matches/MatchScorecard_ODI.asp?MatchCode=2933,31,bClarke
Matches/MatchScorecard_ODI.asp?MatchCode=4102,2,cGaylebCottrell
Matches/MatchScorecard_ODI.asp?MatchCode=4101,7,cHolderbCottrell
Matches/MatchScorecard_T20.asp?MatchCode=0124,15,cUmarGulbAbdulRazzaq
Matches/MatchScorecard_T20.asp?MatchCode=0125,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3054,0,lbwbShahidAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=3051,0,lbwbShahidAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=3033,3,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3013,21,cRainabYuvrajSingh
Matches/MatchScorecard_ODI.asp?MatchCode=2943,2,st†DhonibHarbhajanSingh
Matches/MatchScorecard_T20.asp?MatchCode=0086,6,cIKPathanbYuvrajSingh
Matches/MatchScorecard_T20.asp?MatchCode=0085,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4026,42,cJoycebChase
Matches/MatchScorecard_ODI.asp?MatchCode=4023,93,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3988,8,c†HandscombbFaulkner
Matches/MatchScorecard_ODI.asp?MatchCode=3984,84,cStarcbFaulkner
Matches/MatchScorecard_T20.asp?MatchCode=0103,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4024,52,lbwbRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=4039,39,cTamimIqbalbMosaddeckHossain
Matches/MatchScorecard_ODI.asp?MatchCode=4036,11,lbwbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=3971,114,cMashrafeMortazabMustafizurRahman
Matches/MatchScorecard_ODI.asp?MatchCode=3970,124,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3969,22,lbwbShakibAlHasan
Matches/MatchScorecard_ODI.asp?MatchCode=3083,19,bShakibAlHasan
Matches/MatchScorecard_ODI.asp?MatchCode=3081,0,lbwbShafiulIslam
Matches/MatchScorecard_ODI.asp?MatchCode=3079,82,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4027,74,cMashrafeMortazabNasirHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3034,42,runout
Matches/MatchScorecard_T20.asp?MatchCode=0346,6,cMendisbMathews
Matches/MatchScorecard_ODI.asp?MatchCode=2914,0,lbwbPowell
Matches/MatchScorecard_ODI.asp?MatchCode=3022,1,lbwbvanderMerwe
Matches/MatchScorecard_T20.asp?MatchCode=0100,1,c&amp;bKallis
Matches/MatchScorecard_ODI.asp?MatchCode=2911,26,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3101,26,cWatsonbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=3099,0,lbwbHarris
Matches/MatchScorecard_ODI.asp?MatchCode=3096,21,bBollinger
Matches/MatchScorecard_ODI.asp?MatchCode=2941,12,cHopesbHilfenhaus
Matches/MatchScorecard_ODI.asp?MatchCode=2939,15,cHilfenhausbWhite
Matches/MatchScorecard_ODI.asp?MatchCode=2942,0,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3029,18,c†MorganbSidebottom
Matches/MatchScorecard_ODI.asp?MatchCode=3026,17,cJayawardenebJayasuriya
Matches/MatchScorecard_T20.asp?MatchCode=0123,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0122,5,notout
