match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4317,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4312,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4304,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4397,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4360,0,lbwbMohammedShami
Matches/MatchScorecard_ODI.asp?MatchCode=4338,7,cSharmabMohammedShami
Matches/MatchScorecard_ODI.asp?MatchCode=4333,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4325,6,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4321,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=0768,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4348,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4256,0,st†ButtlerbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4255,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4254,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4253,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4344,1,lbwbMalinga
Matches/MatchScorecard_ODI.asp?MatchCode=4260,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0735,0,runout
Matches/MatchScorecard_T20.asp?MatchCode=0734,0,bMahmudullah
Matches/MatchScorecard_T20.asp?MatchCode=0733,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4229,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0728,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4213,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4228,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=0727,10,notout
Matches/MatchScorecard_T20.asp?MatchCode=0725,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4221,0,lbwbJadeja
Matches/MatchScorecard_T20.asp?MatchCode=0874,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0872,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=1122,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1119,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0877,-,dnb
